querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
10194, 8, 38, 341743, 700, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 0.000000, 0.000000, 10191
22718, 4, 3451, 313424, 42618, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 22.733910, 0.003883, 32907
18655, 5, 2251, 288838, 38885, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 22.708151, 0.015523, 51560
17604, 5, 2187, 277835, 38354, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 22.689241, 0.034906, 69161
20396, 4, 2244, 287564, 36833, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 22.677170, 0.062013, 89555
27809, 11, 6281, 373027, 36853, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 22.671923, 0.096824, 117359
20755, 8, 3585, 323579, 40370, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 22.673485, 0.139316, 138110
19188, 6, 2397, 282293, 38542, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 22.681835, 0.189462, 157295
17578, 9, 1229, 270480, 37855, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 23.273754, 0.247234, 174870
17362, 5, 1438, 290319, 37313, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 23.343721, 0.312600, 192230
19482, 6, 1533, 277862, 38983, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 23.420321, 0.385527, 211708
17254, 4, 1232, 256623, 37737, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 23.503527, 0.465978, 228960
16762, 4, 1239, 274845, 42400, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 23.593298, 0.553913, 245720
22382, 10, 2665, 328337, 42651, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 23.689598, 0.649291, 268097
19013, 7, 1716, 306750, 41738, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 23.792393, 0.752068, 287106
19624, 6, 1568, 276068, 46890, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 23.901632, 0.862197, 306727
17931, 6, 1586, 263686, 44346, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 24.017273, 0.979630, 324655
21368, 9, 2161, 281112, 49995, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 24.139271, 1.104315, 346019
17986, 6, 1422, 266235, 44116, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 24.267574, 1.236198, 364002
21294, 8, 2243, 314818, 48604, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 24.402136, 1.375224, 385292
24215, 12, 2740, 347725, 58328, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 24.542902, 1.521335, 409501
22890, 9, 2579, 367633, 56715, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 24.689821, 1.674471, 432387
20069, 8, 2086, 317376, 49576, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 24.842833, 1.834570, 452452
19913, 7, 2096, 277945, 52038, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 25.001879, 2.001568, 472362
19534, 4, 1309, 235310, 52033, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 25.166910, 2.175399, 491894
17219, 6, 1516, 244960, 59324, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 25.337858, 2.355994, 509111
20190, 8, 2248, 294727, 51541, 0, 0, 67358, 0, 0, 0, 0, 0, 0, 25.514656, 2.543284, 529297
