querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
119377, 11, 943, 1302553, 278556, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 387.477325, 339.123474, 119368
7409, 11, 115, 184846, 14545, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 1.074141, 0.365176, 126769
78334, 9, 196, 408856, 481898, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 373.220032, 304.093292, 205096
8193, 26, 583, 186456, 21604, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 3.442805, 1.638407, 213269
40565, 9, 132, 412235, 324378, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 256.518341, 194.679367, 253827
38097, 10, 76, 408685, 263853, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 222.199524, 187.058197, 291917
7474, 11, 374, 179955, 14331, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 4.409128, 3.834274, 299384
6787, 8, 24, 174363, 17505, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 8.854046, 1.939525, 306164
7050, 8, 27, 168768, 16141, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 1.046239, 0.892899, 313208
57366, 7, 82, 439337, 454262, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 404.565674, 251.284012, 370568
12779, 20, 31, 350132, 28824, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 4.629981, 1.697101, 383332
7748, 11, 92, 187423, 15760, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 0.286359, 0.119568, 391071
79299, 9, 58, 448922, 460968, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 386.157349, 322.906403, 470363
8108, 10, 21, 193047, 18848, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 4.436529, 3.514809, 478463
10936, 9, 6, 265613, 75206, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 60.761093, 6.178798, 489392
8527, 9, 25, 209349, 28519, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 6.464405, 4.848814, 497912
14399, 10, 22, 302669, 103604, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 121.606789, 102.810822, 512303
14965, 11, 22, 268475, 151246, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 19.849771, 12.769119, 527259
53010, 10, 34, 446004, 316304, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 337.266937, 253.340515, 580262
10274, 11, 45, 229925, 41775, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 10.080393, 5.605164, 590528
8803, 10, 48, 195161, 33733, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 2.490295, 2.319895, 599324
37478, 9, 519, 414630, 340244, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 159.940308, 151.521957, 636794
80411, 10, 13, 410390, 390295, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 375.430115, 338.448639, 717198
8096, 10, 51, 201619, 19559, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 6.116732, 1.670906, 725286
18428, 10, 9, 292353, 145361, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 125.453903, 108.396286, 743707
8288, 11, 23, 202313, 32292, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 6.915287, 0.887677, 751985
6813, 10, 89, 172895, 12794, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 7.031418, 5.915697, 758791
8381, 8, 55, 188247, 27927, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 0.649728, 0.362603, 767166
7193, 9, 148, 181592, 13740, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 0.852172, 0.480697, 774350
85888, 7, 103, 466439, 766438, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 377.544403, 325.659393, 860232
13006, 10, 69, 222013, 90182, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 42.745243, 35.937546, 873231
17164, 10, 37, 325991, 103548, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 120.974510, 114.644341, 890387
16213, 11, 66, 315941, 104933, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 151.196289, 115.778435, 906592
9340, 13, 29, 199847, 44556, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 24.814171, 18.711533, 915922
20950, 11, 6, 389669, 174354, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 211.051712, 95.382973, 936864
17989, 17, 28, 274052, 150723, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 19.245876, 17.472527, 954840
11079, 14, 617, 245763, 35990, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 1.717220, 1.470446, 965908
22296, 11, 28, 269029, 242940, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 88.532257, 67.701988, 988196
11810, 19, 115, 286842, 28136, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 1.844448, 1.755522, 999992
13423, 14, 24, 247465, 121688, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 37.330582, 26.423359, 1013404
85780, 9, 148, 477244, 712557, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 462.564728, 345.895203, 1099176
16701, 11, 49, 271445, 102778, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 61.539516, 53.962887, 1115869
29721, 11, 284, 368700, 284836, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 135.634598, 126.116570, 1145582
11536, 10, 44, 218381, 69782, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 38.738010, 34.010887, 1157111
81981, 10, 27, 416860, 712614, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 446.571594, 258.337585, 1239085
83802, 11, 152, 408371, 604783, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 453.284790, 321.179871, 1322879
54554, 10, 687, 413390, 451578, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 304.203003, 243.376450, 1377426
48738, 25, 14, 354719, 309772, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 266.244934, 204.954391, 1426145
91033, 10, 657, 415098, 758930, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 410.479340, 323.347076, 1517169
77671, 25, 725, 422452, 501215, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 375.031586, 277.570007, 1594820
81221, 11, 46, 412369, 634556, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 454.347809, 334.601196, 1676033
76990, 10, 33, 415631, 671292, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 439.866486, 307.404266, 1753015
83128, 9, 1087, 415159, 796943, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 417.677399, 320.210419, 1836136
84285, 10, 70, 413722, 694965, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 415.566498, 280.394684, 1920414
7514, 10, 54, 185574, 19180, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 1.993079, 1.354596, 1927921
47954, 10, 7, 402352, 394409, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 180.576859, 169.126205, 1975868
51746, 25, 6434, 350909, 392306, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 234.154556, 197.533722, 2027595
32552, 10, 29, 409505, 293639, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 370.033356, 112.079292, 2060140
63765, 10, 43, 409173, 504887, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 323.655243, 295.079834, 2123898
41761, 11, 1103, 412139, 406480, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 270.136597, 141.814804, 2165651
48436, 11, 44, 409512, 348512, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 289.736847, 242.901443, 2214080
8962, 10, 94, 198533, 40802, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 3.924099, 3.396461, 2223035
7487, 9, 335, 181761, 10954, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 0.263123, 0.240212, 2230514
22352, 10, 27, 419410, 145955, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 197.683990, 138.824524, 2252859
7268, 10, 352, 178285, 8959, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 0.767269, 0.450257, 2260120
7179, 9, 51, 174374, 21403, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 7.769737, 3.273175, 2267292
7589, 8, 49, 185849, 23258, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 9.757325, 3.416408, 2274874
8783, 10, 522, 207216, 22221, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 0.382158, 0.382158, 2283650
8487, 10, 70, 189267, 26835, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 0.560428, 0.288726, 2292129
10050, 14, 225, 241070, 11994, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 0.313397, 0.313397, 2302167
88081, 15, 2233, 465599, 770145, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 319.476624, 319.476624, 2390235
9043, 10, 214, 197474, 21700, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 0.628769, 0.597749, 2399271
81243, 9, 31, 411365, 445878, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 447.915131, 338.127838, 2480505
16143, 26, 76, 344699, 177108, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 243.282745, 46.158836, 2496628
7892, 10, 27, 194407, 29468, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 48.483425, 25.151039, 2504512
8718, 10, 23, 219216, 42374, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 73.834869, 38.205299, 2513223
7671, 10, 14, 194134, 24673, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 60.225792, 33.193527, 2520886
9431, 9, 23, 263617, 60322, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 106.844887, 31.335377, 2530310
7403, 9, 16, 215443, 18425, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 2.204525, 0.632323, 2537706
8222, 8, 121, 219058, 19963, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 0.801391, 0.724536, 2545921
9260, 10, 524, 191083, 14532, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 0.660996, 0.660996, 2555174
9707, 13, 15, 236516, 38825, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 17.502621, 3.736274, 2564871
29504, 11, 58, 396553, 236906, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 111.794373, 108.421982, 2594367
11232, 15, 1232, 238876, 19144, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 1.278442, 1.278442, 2605588
15005, 14, 106, 244539, 135427, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 54.322231, 47.070496, 2620582
10372, 11, 41, 264438, 74841, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 10.042885, 1.254378, 2630945
79816, 9, 46, 500517, 665959, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 398.177765, 270.692719, 2710754
10719, 10, 105, 210765, 47035, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 2.743678, 2.554768, 2721465
11517, 10, 21, 237294, 88014, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 13.196260, 6.934216, 2732975
75944, 11, 175, 405333, 619706, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 347.569611, 267.949097, 2808910
53428, 10, 1109, 415805, 434894, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 272.237579, 253.918594, 2862331
7427, 10, 72, 180421, 18729, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 0.597542, 0.327885, 2869751
9634, 10, 106, 197151, 55147, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 16.000961, 14.409753, 2879378
79571, 10, 2000, 417499, 757104, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 351.739532, 274.320892, 2958940
84118, 11, 558, 416159, 623805, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 395.855225, 318.090515, 3043049
9629, 10, 19, 208672, 49799, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 20.265921, 15.230557, 3052671
11727, 11, 9, 261451, 79232, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 38.195637, 7.152710, 3064391
9047, 10, 28, 207815, 43371, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 20.710947, 16.816156, 3073431
11983, 12, 14, 274999, 78913, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 143.001312, 87.544144, 3085405
9983, 16, 38, 255543, 32088, 0, 0, 65541, 0, 0, 0, 0, 0, 0, 6.313570, 1.427212, 3095376
30962.420000, 11.330000, 275.010000, 307347.750000, 217094.820000, 0.000000, 0.000000, 65541, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 144.755875, 107.048738, 3095376.000000
