querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
18975, 4, 1573, 278609, 354, 0, 0, 82396, 65754, 0, 0, 0, 2515, 1738011, 13.247921, 6.812838, 18974
14472, 3, 1287, 253630, 2993, 0, 0, 82396, 65234, 0, 0, 0, 225, 255517, 1.293659, 1.293659, 33444
28787, 6, 5310, 398986, 759, 0, 0, 82396, 66866, 0, 0, 0, 11680, 1470014, 9.130865, 0.411729, 62230
24076, 4, 367, 304346, 1444, 0, 0, 82396, 68450, 0, 0, 0, 25271, 1298090, 11.816183, 0.550013, 86304
22876, 6, 3064, 438934, 267, 0, 0, 82396, 65678, 0, 0, 0, 627, 692207, 4.793808, 1.692372, 109178
20616, 4, 1920, 316479, 689, 0, 0, 82396, 67055, 0, 0, 0, 3473, 989812, 8.603467, 0.407790, 129794
22932, 4, 3931, 321776, 763, 0, 0, 82396, 67522, 0, 0, 0, 28571, 1117899, 5.861742, 0.085353, 152724
21345, 2, 2472, 290392, 611, 0, 0, 82396, 67006, 0, 0, 0, 4029, 1344964, 3.175321, 0.611919, 174067
29079, 5, 3859, 426795, 730, 0, 0, 82396, 67124, 0, 0, 0, 9085, 1335312, 6.640937, 0.404469, 203145
32219, 4, 420, 303375, 781, 0, 0, 82396, 66198, 0, 0, 0, 4763, 5559769, 11.773192, 11.225079, 235363
20359, 3, 3280, 245404, 457, 0, 0, 82396, 66454, 0, 0, 0, 5688, 1165458, 2.618153, 0.301291, 255721
23300, 3, 3195, 348490, 632, 0, 0, 82396, 66446, 0, 0, 0, 2250, 1243150, 5.134459, 0.482695, 279020
23952, 6, 1063, 461897, 170, 0, 0, 82396, 65473, 0, 0, 0, 977, 833392, 0.568075, 0.419714, 302971
24688, 5, 4021, 321431, 540, 0, 0, 82396, 66708, 0, 0, 0, 5627, 1275699, 2.089508, 0.116234, 327657
