querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
50040, 26, 172, 382158, 121307, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 92.752441, 78.210190, 50019
1037411, 8, 137, 227463, 78851, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 272.469727, 206.411499, 1087424
1034700, 25, 278, 458041, 66021, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 248.633591, 171.566620, 2122105
1106010, 39, 826, 499763, 91464, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 312.460632, 256.000031, 3228089
913162, 25, 192, 448562, 75166, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 211.898788, 155.947861, 4141232
80783, 26, 981, 502325, 60935, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 121.478043, 121.478043, 4221997
1030266, 11, 232, 248786, 64018, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 348.726166, 182.873856, 5252256
35442, 26, 128, 448066, 22354, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 12.455821, 9.063293, 5287680
1027306, 11, 183, 275068, 77959, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 323.715607, 219.588623, 6314979
1160550, 26, 316, 453526, 68673, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 305.053680, 185.919189, 7475510
740690, 26, 283, 440858, 60370, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 192.653748, 128.844208, 8216182
977031, 26, 204, 428585, 78869, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 345.055084, 237.750717, 9193194
967250, 25, 752, 462530, 73602, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 174.975815, 141.374176, 10160425
918267, 26, 270, 476865, 70867, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 326.549530, 219.835876, 11078673
1162877, 25, 317, 442626, 71511, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 321.671478, 205.275497, 12241530
49857, 26, 103, 424700, 42682, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 50.144909, 43.800823, 12291367
889785, 9, 113, 237673, 57501, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 307.785400, 149.911179, 13181146
1223291, 26, 473, 472070, 69085, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 199.513809, 138.869049, 14404419
1182375, 27, 248, 646592, 68171, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 275.449066, 144.602417, 15586775
1039247, 27, 428, 649495, 66967, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 330.188293, 162.322830, 16626001
1109479, 26, 229, 514900, 74921, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 230.763062, 169.900986, 17735461
80515, 27, 260, 488821, 33829, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 119.402115, 86.938255, 17815957
1216051, 10, 136, 235810, 65201, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 304.122620, 183.295746, 19032001
1354740, 27, 917, 686153, 74837, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 270.362274, 194.510422, 20386722
62191, 26, 258, 557691, 195716, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 207.676270, 100.896454, 20448894
26761, 11, 60, 306315, 14221, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 24.491373, 19.359430, 20475648
1388141, 12, 255, 372267, 79566, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 319.261841, 233.221298, 21863781
1391834, 27, 623, 567859, 77420, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 334.371399, 218.898773, 23255596
1220184, 49, 255, 831015, 73338, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 334.886108, 185.422882, 24475754
1279484, 27, 843, 612158, 76154, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 310.851044, 205.612701, 25755219
58296, 27, 211, 519241, 163159, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 154.562576, 76.868340, 25813495
1131704, 11, 223, 373658, 66657, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 282.573914, 145.756668, 26945191
1262325, 45, 248, 569095, 69966, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 325.324158, 191.364471, 28207485
1232348, 26, 350, 664195, 66796, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 327.068237, 181.738907, 29439815
1254846, 28, 299, 671681, 77483, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 339.803589, 222.015717, 30694642
1556124, 27, 578, 605850, 89192, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 380.949219, 256.000000, 32250746
1255688, 27, 290, 650710, 85797, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 403.837799, 235.551422, 33506415
983139, 25, 239, 431864, 65485, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 348.700317, 183.872894, 34489536
1186995, 26, 362, 493933, 63995, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 246.690536, 139.074951, 35676512
1587025, 26, 355, 492299, 70527, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 209.449997, 163.390503, 37263518
1326135, 26, 494, 655053, 71233, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 289.391968, 219.444733, 38589635
1089297, 26, 312, 579686, 71630, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 274.401489, 195.208649, 39678913
1477454, 25, 361, 432247, 79948, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 376.057678, 251.223862, 41156349
1214888, 26, 330, 595513, 75397, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 234.273575, 148.668640, 42371218
1369241, 26, 274, 585785, 77501, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 316.695618, 224.020676, 43740440
52221, 27, 97, 516982, 85900, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 21.057049, 14.172218, 43792642
1194327, 11, 159, 266955, 59733, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 294.204041, 146.828552, 44986961
1252272, 28, 291, 662422, 67765, 0, 0, 65552, 0, 0, 0, 0, 0, 0, 340.616302, 135.984467, 46239213
