querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
609518, 9, 235, 689733, 97808, 0, 0, 67050, 67050, 0, 0, 0, 81069699, 100000488, 166.160919, 135.980820, 609514
71895, 8, 1431, 232223, 38225, 0, 0, 67050, 66344, 0, 0, 0, 285599, 48925633, 35.997318, 35.997318, 681404
436235, 7, 233, 361805, 92034, 0, 0, 67050, 67050, 0, 0, 0, 60850312, 100000709, 144.484711, 121.714348, 1117635
54720, 8, 1252, 226892, 27150, 0, 0, 67050, 66038, 0, 0, 0, 165967, 34623046, 33.852539, 33.050209, 1172351
486306, 6, 420, 361260, 96695, 0, 0, 67050, 67050, 0, 0, 0, 71508721, 100001341, 154.186478, 133.919449, 1658653
77150, 8, 663, 263643, 112721, 0, 0, 67050, 66582, 0, 0, 0, 472788, 55552375, 42.193722, 37.562794, 1735798
485182, 6, 143, 381019, 94024, 0, 0, 67050, 67050, 0, 0, 0, 76782192, 100000474, 170.448242, 141.361832, 2220975
71623, 14, 1570, 239431, 67756, 0, 0, 67050, 66386, 0, 0, 0, 330669, 49499614, 40.086651, 37.818684, 2292591
513102, 7, 72, 378930, 97887, 0, 0, 67050, 67050, 0, 0, 0, 83985627, 100000213, 163.994019, 142.787064, 2805689
78381, 7, 871, 236215, 56621, 0, 0, 67050, 66506, 0, 0, 0, 427018, 59801739, 38.735657, 38.735657, 2884066
572143, 7, 120, 379787, 99187, 0, 0, 67050, 67050, 0, 0, 0, 96787723, 100000407, 170.203766, 147.225845, 3456205
55155, 6, 1104, 204568, 72165, 0, 0, 67050, 66276, 0, 0, 0, 189842, 38249500, 36.342735, 33.858295, 3511356
497525, 7, 711, 378259, 99200, 0, 0, 67050, 67050, 0, 0, 0, 83889238, 100002992, 160.186005, 146.604675, 4008875
57066, 9, 861, 214065, 59281, 0, 0, 67050, 66380, 0, 0, 0, 248985, 43256559, 38.862202, 36.259361, 4065935
531083, 8, 368, 383575, 98678, 0, 0, 67050, 67050, 0, 0, 0, 91982746, 100001393, 164.168304, 141.119568, 4597013
71940, 7, 1171, 239331, 48193, 0, 0, 67050, 66416, 0, 0, 0, 446374, 54956468, 39.176804, 39.176804, 4668949
558524, 7, 295, 386691, 103155, 0, 0, 67050, 67050, 0, 0, 0, 93777215, 100001067, 167.449524, 153.828018, 5227468
