querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
578519, 5, 1473, 575226, 166766, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 62.824905, 51.895206, 578518
468888, 3, 494, 402137, 248306, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 94.446457, 36.224583, 1047406
395973, 3, 1874, 393674, 673031, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 49.490955, 19.078072, 1443379
375997, 3, 32, 398067, 286336, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 140.569305, 21.251453, 1819376
372813, 3, 14, 375946, 129767, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 68.052383, 30.531570, 2192188
481760, 3, 79, 375924, 92383, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 130.806686, 64.408295, 2673946
447565, 2, 221, 388936, 132495, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 85.003517, 55.455639, 3121511
349615, 2, 1818, 403300, 189985, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 51.944687, 18.778326, 3471126
444020, 2, 3579, 396255, 103954, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 117.460381, 56.610981, 3915146
357157, 2, 1927, 392370, 113199, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 43.609009, 35.827148, 4272303
387026, 2, 2149, 397310, 211722, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 64.073700, 29.562952, 4659329
415078, 2, 120, 402313, 311288, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 83.148933, 40.874527, 5074406
381543, 2, 1622, 397942, 231032, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 32.436672, 25.919353, 5455948
272849, 1, 2467, 397552, 222750, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 31.971146, 31.971146, 5728797
366134, 2, 43, 395616, 106642, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 51.091499, 34.025208, 6094930
396584, 7, 1041, 350397, 83789, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 80.020241, 47.194710, 6491513
398932, 2, 963, 399819, 91060, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 51.435680, 33.831337, 6890445
396068, 2, 419, 403705, 272374, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 56.095245, 39.507542, 7286513
351798, 2, 175, 392000, 361525, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 63.036057, 23.175106, 7638311
328179, 2, 55, 387507, 433060, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 125.041069, 11.921935, 7966490
416465, 7, 1082, 369315, 167580, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 80.093819, 39.000286, 8382954
115113, 2, 1215, 283484, 75396, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 7.285890, 4.172885, 8498067
266295, 5, 1100, 337858, 124944, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 35.871418, 14.442435, 8764361
238359, 2, 12, 409853, 477502, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 140.970825, 15.494273, 9002720
403002, 2, 1578, 392398, 210657, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 29.681419, 23.890129, 9405722
372226, 2, 42, 394699, 184184, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 159.027145, 42.481499, 9777948
380062, 2, 300, 396610, 204274, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 55.749310, 32.695908, 10158009
256477, 3, 8, 397418, 381694, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 71.811188, 12.823499, 10414485
357839, 2, 181, 388863, 124696, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 129.325958, 32.532623, 10772324
329194, 2, 40, 395965, 291098, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 119.237869, 16.004932, 11101517
283869, 2, 881, 397567, 457290, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 46.759357, 11.604307, 11385385
176736, 5, 5113, 308135, 321507, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 4.416142, 4.416142, 11562120
359472, 3, 3338, 398441, 124866, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 66.453850, 26.473783, 11921591
372757, 3, 2341, 399715, 149895, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 55.473976, 26.615770, 12294348
237722, 3, 597, 401898, 176918, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 44.510925, 14.905595, 12532070
364649, 2, 263, 397609, 389242, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 68.212502, 25.421724, 12896719
329030, 5, 2723, 391084, 263201, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 36.561581, 20.533939, 13225748
339066, 2, 175, 392957, 175869, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 32.986862, 21.073168, 13564813
337473, 3, 185, 406498, 218543, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 74.356720, 22.067574, 13902286
388859, 2, 446, 392528, 558569, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 71.601883, 30.800413, 14291145
339165, 2, 177, 394680, 101264, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 114.535034, 27.061529, 14630310
370930, 6, 17, 358739, 342573, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 132.233124, 38.543865, 15001240
403227, 2, 149, 408342, 549221, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 57.587307, 26.072588, 15404467
287461, 2, 399, 394532, 695220, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 52.185513, 18.391695, 15691928
368253, 2, 2602, 382343, 264624, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 39.332706, 31.381676, 16060181
141730, 7, 210, 341313, 216104, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 73.912247, 5.655378, 16201909
320954, 2, 254, 405515, 350011, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 83.063530, 19.622787, 16522863
337044, 2, 86, 391993, 96520, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 57.954185, 29.521936, 16859907
350133, 3, 1470, 408509, 219123, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 54.309555, 15.978544, 17210039
364425, 2, 234, 393508, 576118, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 95.407166, 31.344017, 17574464
367793, 3, 123, 394589, 350333, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 119.079842, 26.018690, 17942257
319773, 3, 231, 402176, 353593, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 83.063530, 19.622787, 18262029
42924, 1, 959, 393987, 127566, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 68.104820, 0.909322, 18304953
389267, 2, 1425, 395670, 154361, 0, 0, 69514, 0, 0, 0, 0, 0, 0, 64.555649, 35.669899, 18694220
