querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
449914, 8, 305, 530835, 119877, 0, 0, 65548, 65548, 0, 0, 0, 35673871, 35852408, 334.085297, 197.435654, 449908
35291, 11, 142, 293919, 136071, 0, 0, 65548, 65542, 0, 0, 0, 18212, 16768673, 131.901672, 104.374054, 485191
238893, 9, 192, 378764, 105166, 0, 0, 65548, 65548, 0, 0, 0, 24756663, 35852098, 232.109238, 180.244339, 724078
292661, 18, 335, 476053, 102761, 0, 0, 65548, 65548, 0, 0, 0, 30436839, 35852079, 313.413055, 197.705124, 1016729
83809, 9, 355, 394037, 206621, 0, 0, 65548, 65548, 0, 0, 0, 676066, 32577876, 170.043549, 143.106445, 1100532
286384, 8, 210, 373977, 98210, 0, 0, 65548, 65548, 0, 0, 0, 35848249, 35852125, 382.286194, 252.393997, 1386909
202487, 9, 187, 371307, 91298, 0, 0, 65548, 65548, 0, 0, 0, 28136224, 35852157, 277.516724, 161.773743, 1589390
367893, 8, 169, 377334, 116980, 0, 0, 65548, 65548, 0, 0, 0, 35850283, 35852054, 325.828918, 255.999405, 1957278
310254, 9, 165, 368602, 114226, 0, 0, 65548, 65548, 0, 0, 0, 34602997, 35852082, 325.467133, 226.760910, 2267526
235018, 9, 172, 391023, 94714, 0, 0, 65548, 65548, 0, 0, 0, 33565424, 35852086, 329.599792, 149.130676, 2502538
281770, 11, 185, 379531, 104207, 0, 0, 65548, 65548, 0, 0, 0, 34119330, 35852139, 352.807953, 177.441101, 2784301
120680, 9, 299, 382195, 67581, 0, 0, 65548, 65548, 0, 0, 0, 16143320, 35852997, 49.621147, 25.845432, 2904975
358736, 9, 174, 382615, 118149, 0, 0, 65548, 65548, 0, 0, 0, 35852101, 35852101, 401.604614, 255.999298, 3263705
331107, 10, 236, 390452, 120042, 0, 0, 65548, 65548, 0, 0, 0, 33025495, 35852285, 246.658951, 226.074768, 3594805
194457, 10, 162, 377929, 104696, 0, 0, 65548, 65548, 0, 0, 0, 23588335, 35852132, 184.934845, 169.612061, 3789255
252624, 9, 209, 414661, 109349, 0, 0, 65548, 65548, 0, 0, 0, 31747588, 35852205, 265.216644, 196.722870, 4041871
306859, 9, 202, 404325, 117665, 0, 0, 65548, 65548, 0, 0, 0, 34986388, 35852193, 310.990540, 250.125214, 4348724
205443, 17, 438, 421466, 106024, 0, 0, 65548, 65548, 0, 0, 0, 20989827, 35852225, 220.849121, 180.750015, 4554157
332677, 10, 202, 403364, 120837, 0, 0, 65548, 65548, 0, 0, 0, 35237808, 35852140, 326.960022, 255.998138, 4886827
312431, 10, 199, 380203, 118229, 0, 0, 65548, 65548, 0, 0, 0, 34951033, 35852186, 293.242798, 226.219116, 5199251
292324, 17, 733, 480166, 100774, 0, 0, 65548, 65548, 0, 0, 0, 35771668, 35852814, 337.132477, 191.079590, 5491565
293794, 10, 219, 388754, 120213, 0, 0, 65548, 65548, 0, 0, 0, 31755146, 35852248, 288.717651, 183.750427, 5785352
298207, 9, 186, 380186, 110538, 0, 0, 65548, 65548, 0, 0, 0, 35239655, 35852130, 367.176910, 191.238434, 6083552
169288, 9, 268, 381467, 119440, 0, 0, 65548, 65548, 0, 0, 0, 15615682, 35852486, 214.503189, 169.300980, 6252834
110183, 8, 159, 388877, 141986, 0, 0, 65548, 65548, 0, 0, 0, 6957293, 35832298, 227.333252, 147.729996, 6363011
33661, 9, 142, 248983, 57427, 0, 0, 65548, 65542, 0, 0, 0, 22178, 17868941, 161.207733, 88.271446, 6396666
325924, 7, 199, 376214, 120901, 0, 0, 65548, 65548, 0, 0, 0, 32793584, 35852134, 262.252258, 237.982239, 6722584
210658, 7, 156, 378693, 130926, 0, 0, 65548, 65548, 0, 0, 0, 20349574, 35852075, 234.610016, 162.195740, 6933237
296313, 8, 202, 396739, 117996, 0, 0, 65548, 65548, 0, 0, 0, 33272161, 35852207, 297.870972, 173.879700, 7229544
267539, 10, 247, 381482, 109840, 0, 0, 65548, 65548, 0, 0, 0, 31965073, 35852301, 243.115952, 219.060059, 7497076
226703, 9, 193, 410686, 133904, 0, 0, 65548, 65548, 0, 0, 0, 23976406, 35852168, 235.248840, 174.843048, 7723773
325882, 10, 198, 412730, 115124, 0, 0, 65548, 65548, 0, 0, 0, 35714860, 35852122, 358.956390, 255.998871, 8049648
309831, 9, 175, 402855, 117334, 0, 0, 65548, 65548, 0, 0, 0, 34121917, 35852090, 290.773621, 230.416183, 8359472
335617, 10, 254, 392328, 114159, 0, 0, 65548, 65548, 0, 0, 0, 35799249, 35852352, 332.863953, 255.999191, 8695080
218779, 10, 3226, 383937, 87982, 0, 0, 65548, 65548, 0, 0, 0, 33195061, 35864322, 171.609177, 136.511703, 8913852
299110, 9, 201, 408410, 116959, 0, 0, 65548, 65548, 0, 0, 0, 33873383, 35852152, 320.673737, 211.081268, 9212955
169058, 8, 152, 413596, 104754, 0, 0, 65548, 65548, 0, 0, 0, 18119495, 35852079, 206.343216, 154.440582, 9382007
226809, 9, 169, 404104, 110666, 0, 0, 65548, 65548, 0, 0, 0, 26483940, 35852093, 242.358078, 178.396225, 9608809
62795, 8, 163, 368627, 109926, 0, 0, 65548, 65548, 0, 0, 0, 164131, 26175994, 158.319977, 123.541138, 9671598
283874, 8, 191, 375037, 120513, 0, 0, 65548, 65548, 0, 0, 0, 31364366, 35852129, 207.556061, 202.385361, 9955466
220633, 8, 174, 399575, 101406, 0, 0, 65548, 65548, 0, 0, 0, 28291426, 35852107, 255.632919, 172.721222, 10176093
299702, 10, 156, 406883, 113596, 0, 0, 65548, 65548, 0, 0, 0, 35665624, 35852060, 326.535339, 239.335861, 10475788
241635, 10, 177, 408053, 100292, 0, 0, 65548, 65548, 0, 0, 0, 32360643, 35852118, 293.744232, 187.490829, 10717415
303237, 9, 157, 407142, 114641, 0, 0, 65548, 65548, 0, 0, 0, 34494762, 35852046, 287.268829, 216.625839, 11020645
356261, 10, 184, 413841, 121912, 0, 0, 65548, 65548, 0, 0, 0, 35714390, 35852112, 331.166168, 253.178970, 11376900
255146, 11, 177, 407488, 124065, 0, 0, 65548, 65548, 0, 0, 0, 28367017, 35852127, 262.047089, 204.300858, 11632038
347368, 17, 416, 473881, 114268, 0, 0, 65548, 65548, 0, 0, 0, 35786535, 35852188, 359.383911, 255.997589, 11979397
268886, 10, 209, 408029, 108391, 0, 0, 65548, 65548, 0, 0, 0, 33724187, 35852182, 280.497986, 167.752960, 12248275
216240, 10, 292, 382462, 91115, 0, 0, 65548, 65548, 0, 0, 0, 33216373, 35852424, 305.717621, 133.815704, 12464508
221646, 10, 181, 385842, 89421, 0, 0, 65548, 65548, 0, 0, 0, 35166314, 35852144, 312.313385, 187.660080, 12686147
244672, 11, 353, 404938, 106996, 0, 0, 65548, 65548, 0, 0, 0, 30859774, 35852684, 242.660156, 198.576431, 12930811
102393, 10, 180, 406287, 118339, 0, 0, 65548, 65548, 0, 0, 0, 4497872, 35830018, 219.273819, 130.333771, 13033197
167789, 9, 172, 416991, 118659, 0, 0, 65548, 65548, 0, 0, 0, 16244249, 35852094, 219.097702, 163.139114, 13200979
197593, 10, 179, 403082, 100987, 0, 0, 65548, 65548, 0, 0, 0, 26938400, 35852191, 240.404739, 165.903503, 13398565
310170, 8, 166, 402801, 118531, 0, 0, 65548, 65548, 0, 0, 0, 34046634, 35852057, 298.920715, 218.450836, 13708730
232734, 11, 196, 405518, 95174, 0, 0, 65548, 65548, 0, 0, 0, 33815906, 35852164, 342.250763, 165.466095, 13941456
206659, 9, 166, 409681, 107366, 0, 0, 65548, 65548, 0, 0, 0, 23548260, 35852120, 244.643631, 169.437149, 14148109
174314, 9, 279, 404523, 96703, 0, 0, 65548, 65548, 0, 0, 0, 23618101, 35852513, 188.368515, 156.284103, 14322417
153547, 11, 931, 407522, 75293, 0, 0, 65548, 65548, 0, 0, 0, 23417155, 35855204, 97.940132, 62.225811, 14475956
264500, 18, 348, 474871, 101363, 0, 0, 65548, 65548, 0, 0, 0, 33086321, 35852071, 301.571106, 193.379730, 14740446
268668, 10, 197, 402371, 126148, 0, 0, 65548, 65548, 0, 0, 0, 28110247, 35852171, 267.964813, 193.958160, 15009107
314259, 9, 186, 379729, 122221, 0, 0, 65548, 65548, 0, 0, 0, 34188275, 35852122, 269.317413, 214.270874, 15323360
273594, 11, 258, 382754, 107127, 0, 0, 65548, 65548, 0, 0, 0, 34643251, 35852407, 265.620789, 225.187195, 15596946
190049, 10, 211, 410075, 121047, 0, 0, 65548, 65548, 0, 0, 0, 18389340, 35852204, 225.980133, 155.138031, 15786988
333164, 10, 177, 406643, 122568, 0, 0, 65548, 65548, 0, 0, 0, 35577216, 35852103, 309.906525, 255.996674, 16120146
170775, 9, 549, 407640, 80969, 0, 0, 65548, 65548, 0, 0, 0, 26912627, 35853649, 152.835587, 78.389557, 16290915
47717, 9, 171, 345683, 155424, 0, 0, 65548, 65548, 0, 0, 0, 21371, 17922490, 160.413498, 113.621574, 16338626
296072, 10, 239, 382258, 117100, 0, 0, 65548, 65548, 0, 0, 0, 35120668, 35852294, 267.110291, 197.244995, 16634690
186452, 11, 180, 402129, 103268, 0, 0, 65548, 65548, 0, 0, 0, 23009401, 35852137, 256.620636, 169.189667, 16821135
358007, 20, 336, 448347, 119220, 0, 0, 65548, 65548, 0, 0, 0, 34327960, 35852058, 313.151978, 252.332520, 17179130
80350, 10, 177, 398852, 211855, 0, 0, 65548, 65548, 0, 0, 0, 822096, 31866816, 191.712708, 122.196739, 17259474
