querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
435318, 5, 414, 408925, 84657, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 87.388664, 58.313084, 435316
343147, 5, 232, 221202, 78563, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 82.695152, 50.527905, 778461
214618, 4, 408, 217121, 63401, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 84.207748, 27.719851, 993077
134147, 6, 428, 247845, 59334, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 83.982758, 18.846327, 1127221
189487, 5, 225, 216501, 61059, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 83.091270, 41.486561, 1316706
89169, 5, 214, 219329, 127332, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 89.973328, 17.505371, 1405872
227101, 5, 517, 225443, 68054, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 77.065193, 44.488045, 1632971
91299, 7, 288, 219489, 113094, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 100.059479, 13.696170, 1724267
178682, 5, 293, 215545, 59413, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 101.120941, 27.487125, 1902946
280327, 6, 396, 224124, 74647, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 77.184280, 45.055248, 2183270
208812, 6, 179, 224503, 63331, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 99.023262, 27.855700, 2392079
201010, 5, 467, 230657, 61977, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 70.610298, 31.738073, 2593087
166219, 5, 401, 226548, 60558, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 81.238823, 23.492710, 2759304
16890, 6, 579, 232554, 98312, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 96.530968, 4.571398, 2776191
115133, 5, 253, 256012, 158657, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 51.154778, 28.195803, 2891322
118129, 5, 624, 224212, 60897, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 91.309723, 13.704042, 3009447
93603, 5, 392, 223418, 125621, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 74.972885, 17.797743, 3103048
402017, 6, 537, 217494, 83511, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 97.635101, 65.592468, 3505061
181657, 5, 502, 220515, 61243, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 102.432739, 27.723684, 3686716
241280, 5, 681, 223444, 67573, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 83.487328, 31.704723, 3927994
212093, 6, 287, 230117, 66428, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 41.321339, 41.321339, 4140084
275619, 5, 429, 225802, 73648, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 94.753281, 41.904881, 4415700
263343, 5, 993, 221773, 70221, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 96.048996, 35.668541, 4679040
124076, 5, 308, 212836, 53671, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 22.799051, 22.799051, 4803114
417005, 4, 288, 223747, 84706, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 98.940475, 60.373013, 5220117
199149, 5, 311, 222560, 64407, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 56.108379, 36.560383, 5419263
189925, 5, 233, 222216, 62349, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 89.007820, 38.064648, 5609186
129042, 6, 385, 221524, 62854, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 94.519753, 22.678825, 5738225
276106, 6, 790, 220884, 74096, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 76.587852, 44.528969, 6014328
106434, 5, 622, 222240, 98178, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 69.966270, 19.007860, 6120760
78482, 5, 565, 216140, 105102, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 61.919220, 13.617278, 6199240
223929, 5, 622, 221231, 66391, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 70.784882, 36.291794, 6423166
269014, 5, 478, 224555, 71598, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 94.483948, 32.476677, 6692177
164340, 5, 415, 230374, 63680, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 91.295853, 31.130821, 6856515
248158, 5, 370, 227669, 70374, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 85.346687, 41.792667, 7104671
68099, 5, 738, 207943, 117466, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 37.036064, 23.190847, 7172768
199937, 5, 328, 215685, 63526, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 86.496819, 28.527765, 7372702
133453, 5, 609, 222088, 66229, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 89.033669, 23.610628, 7506153
64248, 6, 678, 181042, 24077, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 22.093056, 18.232746, 7570398
158309, 5, 482, 223444, 62814, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 71.673889, 32.312057, 7728704
305958, 6, 303, 221029, 75884, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 113.717278, 44.912434, 8034659
296881, 5, 653, 219693, 75433, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 90.496933, 41.485909, 8331538
183097, 5, 347, 220364, 62306, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 78.602196, 32.090679, 8514632
229023, 5, 343, 223342, 68442, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 78.673065, 41.483860, 8743652
208379, 15, 973, 232619, 66034, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 89.936882, 27.592953, 8952024
380268, 5, 266, 234315, 82008, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 112.227249, 56.771568, 9332290
216779, 5, 339, 218947, 65290, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 95.726105, 32.009388, 9549067
247023, 6, 387, 223460, 69137, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 94.843689, 36.430618, 9796087
288178, 5, 230, 222159, 73698, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 79.337265, 40.384701, 10084262
219845, 5, 257, 223246, 66413, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 57.477276, 39.277550, 10304103
229260, 6, 402, 221897, 71334, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 67.104401, 43.644066, 10533360
286097, 5, 330, 223697, 73693, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 90.932968, 42.023743, 10819455
414909, 6, 268, 223625, 85042, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 110.867126, 63.745911, 11234362
79355, 4, 326, 223053, 132611, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 68.098831, 21.863985, 11313714
74945, 5, 343, 219098, 130347, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 56.953442, 22.680079, 11388655
177520, 5, 555, 214605, 67228, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 50.107342, 38.002480, 11566172
81766, 16, 260, 220523, 119224, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 57.623177, 18.850571, 11647926
102927, 5, 272, 218280, 158782, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 65.991386, 28.205851, 11750850
167631, 5, 252, 218615, 61175, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 85.695877, 27.652830, 11918479
151508, 5, 347, 225974, 58645, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 75.328438, 22.912668, 12069985
147754, 5, 491, 223909, 59643, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 43.940926, 23.000969, 12217737
56628, 5, 516, 224867, 114643, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 71.481216, 17.796833, 12274363
100961, 5, 284, 219067, 94272, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 110.877838, 13.540947, 12375322
416549, 5, 286, 222400, 84669, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 97.407677, 56.117012, 12791869
101771, 6, 333, 220582, 134710, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 62.869164, 27.061838, 12893638
368390, 5, 107, 219185, 81602, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 107.845085, 50.057037, 13262025
356799, 6, 237, 221441, 80877, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 96.236130, 46.630829, 13618821
190186, 5, 421, 221150, 65972, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 93.494606, 41.496246, 13809005
168912, 6, 303, 218630, 62197, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 104.151649, 33.191639, 13977914
152270, 6, 489, 221123, 59178, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 27.615240, 27.511236, 14130181
17185, 6, 422, 221334, 94488, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 86.411720, 4.606647, 14147363
296296, 7, 793, 226559, 76867, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 79.161972, 48.301182, 14443656
232495, 6, 237, 267078, 67311, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 70.841919, 41.896980, 14676148
197851, 6, 356, 221181, 62630, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 97.224197, 27.382591, 14873996
155371, 7, 217, 224487, 60858, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 52.507675, 27.565725, 15029364
163577, 5, 588, 221570, 59470, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 92.112198, 26.993242, 15192939
139655, 5, 394, 222003, 70627, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 71.913544, 31.885832, 15332592
123337, 5, 752, 219023, 71375, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 88.843163, 17.340387, 15455927
228608, 5, 256, 219451, 66506, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 108.191727, 32.094158, 15684533
192767, 5, 232, 219951, 67857, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 64.197258, 41.629662, 15877298
171154, 6, 229, 225386, 61023, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 76.307564, 26.903606, 16048449
176795, 6, 357, 218131, 62404, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 88.587830, 27.883385, 16225241
142118, 5, 670, 218718, 60420, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 26.594046, 26.594046, 16367357
257798, 5, 349, 221331, 71396, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 104.766747, 30.934755, 16625153
278864, 5, 94, 229921, 74352, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 85.380104, 45.383980, 16904015
183119, 5, 463, 219574, 62599, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 86.981453, 32.617165, 17087132
183235, 5, 499, 218269, 62870, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 92.151176, 28.808411, 17270365
179193, 5, 467, 232056, 61666, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 94.724617, 31.350603, 17449556
55650, 5, 473, 232297, 112231, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 70.065002, 18.446001, 17505203
99062, 5, 224, 193797, 35382, 0, 0, 65558, 0, 0, 0, 0, 0, 0, 28.116529, 28.116529, 17604263
