querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
9390, 9, 160, 245495, 1973, 0, 0, 67330, 2, 0, 0, 0, 3369, 3368, 0.000000, 0.000000, 9384
24754, 14, 1009, 470376, 179386, 0, 0, 67330, 93, 0, 0, 0, 452801, 502320, 36.124588, 0.003883, 34130
18511, 14, 571, 342885, 165532, 0, 0, 67330, 88, 0, 0, 0, 454278, 506583, 36.058811, 0.015523, 52632
17313, 9, 412, 348275, 153400, 0, 0, 67330, 82, 0, 0, 0, 413040, 469794, 35.999371, 0.034906, 69939
18782, 12, 520, 352677, 153006, 0, 0, 67330, 90, 0, 0, 0, 447558, 491040, 35.946259, 0.062013, 88714
19368, 14, 613, 345327, 160040, 0, 0, 67330, 86, 0, 0, 0, 450149, 502832, 35.899471, 0.096824, 108073
16790, 8, 386, 290771, 154375, 0, 0, 67330, 94, 0, 0, 0, 476720, 536586, 35.858994, 0.139316, 124857
18914, 13, 611, 328702, 150501, 0, 0, 67330, 98, 0, 0, 0, 457526, 547262, 35.824818, 0.189462, 143763
16156, 9, 444, 317549, 149458, 0, 0, 67330, 117, 0, 0, 0, 468070, 639556, 35.796928, 0.247234, 159914
14522, 8, 344, 269029, 127881, 0, 0, 67330, 99, 0, 0, 0, 504183, 608836, 35.775307, 0.312600, 174430
16936, 12, 526, 323235, 145642, 0, 0, 67330, 119, 0, 0, 0, 404596, 657057, 35.759937, 0.385527, 191358
16262, 9, 416, 282199, 139600, 0, 0, 67330, 129, 0, 0, 0, 467309, 720189, 35.750801, 0.465978, 207613
16855, 13, 815, 286641, 139082, 0, 0, 67330, 137, 0, 0, 0, 372363, 713970, 21.977667, 0.553913, 224459
17905, 11, 795, 304713, 145333, 0, 0, 67330, 176, 0, 0, 0, 397169, 890692, 21.957674, 0.649291, 242357
17609, 11, 731, 312199, 150899, 0, 0, 67330, 195, 0, 0, 0, 377274, 985065, 21.944410, 0.752068, 259959
16649, 9, 611, 270946, 131691, 0, 0, 67330, 263, 0, 0, 0, 444542, 1318471, 21.937853, 0.862197, 276602
20063, 14, 793, 339103, 150990, 0, 0, 67330, 361, 0, 0, 0, 457355, 1602390, 21.937963, 0.979630, 296656
19426, 12, 702, 326751, 148842, 0, 0, 67330, 488, 0, 0, 0, 389206, 1982620, 21.944714, 1.104315, 316073
21197, 15, 898, 341158, 169757, 0, 0, 67330, 591, 0, 0, 0, 425924, 2232339, 21.958061, 1.236198, 337260
19144, 13, 695, 276064, 144175, 0, 0, 67330, 703, 0, 0, 0, 412932, 2683991, 21.977974, 1.375224, 356396
20246, 13, 873, 292627, 145000, 0, 0, 67330, 873, 0, 0, 0, 440655, 3291640, 22.004412, 1.521335, 376633
17834, 10, 577, 238711, 150483, 0, 0, 67330, 1088, 0, 0, 0, 387332, 4093324, 22.037329, 1.674471, 394460
16334, 8, 514, 209192, 123607, 0, 0, 67330, 1319, 0, 0, 0, 475206, 4818334, 22.076681, 1.834570, 410788
16629, 10, 644, 215005, 84229, 0, 0, 67330, 1532, 0, 0, 0, 375076, 5437610, 22.122425, 2.001568, 427411
14955, 8, 536, 190892, 79450, 0, 0, 67330, 1739, 0, 0, 0, 436351, 5981994, 22.174515, 2.175399, 442362
15526, 9, 573, 191587, 79039, 0, 0, 67330, 1986, 0, 0, 0, 380143, 6586103, 22.232891, 2.355994, 457882
15207, 9, 540, 186995, 75944, 0, 0, 67330, 2262, 0, 0, 0, 391522, 7133701, 22.297516, 2.543284, 473083
16344, 9, 539, 190068, 115037, 0, 0, 67330, 2517, 0, 0, 0, 393892, 7562055, 22.368320, 2.737198, 489421
15647, 9, 565, 183978, 85313, 0, 0, 67330, 2780, 0, 0, 0, 435309, 8018235, 22.445263, 2.937662, 505062
16719, 8, 564, 186642, 109635, 0, 0, 67330, 3077, 0, 0, 0, 398525, 8537399, 22.528282, 3.144603, 521776
17142, 9, 574, 182961, 85643, 0, 0, 67330, 3445, 0, 0, 0, 455664, 9216686, 22.617315, 3.357941, 538912
17240, 9, 562, 182334, 96110, 0, 0, 67330, 3811, 0, 0, 0, 424138, 9967601, 22.712309, 3.577602, 556146
18697, 8, 592, 193169, 104702, 0, 0, 67330, 4259, 0, 0, 0, 454153, 10877364, 22.813202, 3.803504, 574838
19523, 10, 610, 199543, 81737, 0, 0, 67330, 4772, 0, 0, 0, 474194, 11988527, 22.919928, 4.035569, 594355
20388, 9, 601, 186821, 109231, 0, 0, 67330, 5321, 0, 0, 0, 450318, 13121593, 23.032423, 4.273713, 614738
21361, 9, 610, 192539, 92763, 0, 0, 67330, 5908, 0, 0, 0, 439502, 14334118, 23.150623, 4.517853, 636093
22987, 10, 652, 194333, 106393, 0, 0, 67330, 6554, 0, 0, 0, 467805, 15809000, 23.274464, 4.767905, 659073
24094, 11, 636, 194797, 103859, 0, 0, 67330, 7186, 0, 0, 0, 474355, 17262853, 23.403877, 5.023783, 683160
26605, 10, 659, 219385, 137493, 0, 0, 67330, 7877, 0, 0, 0, 477702, 18595483, 23.538790, 5.285402, 709758
26913, 8, 637, 205245, 98811, 0, 0, 67330, 8518, 0, 0, 0, 426606, 19855100, 23.679140, 5.552672, 736666
28736, 9, 654, 204429, 137324, 0, 0, 67330, 9198, 0, 0, 0, 495938, 20959809, 23.824848, 5.825510, 765397
29741, 9, 656, 223123, 134199, 0, 0, 67330, 9893, 0, 0, 0, 477272, 22048467, 23.975845, 6.103819, 795132
30859, 11, 632, 212289, 122472, 0, 0, 67330, 10549, 0, 0, 0, 540601, 23017107, 24.132061, 6.387516, 825984
32215, 10, 654, 216355, 155560, 0, 0, 67330, 11208, 0, 0, 0, 509127, 23916360, 24.293421, 6.676507, 858193
34489, 11, 651, 215503, 127662, 0, 0, 67330, 11913, 0, 0, 0, 989567, 24821136, 24.459850, 6.970702, 892674
33442, 10, 648, 211357, 114558, 0, 0, 67330, 12604, 0, 0, 0, 571051, 25788016, 24.631273, 7.270008, 926110
34613, 10, 645, 210029, 121721, 0, 0, 67330, 13340, 0, 0, 0, 533564, 26897475, 24.807615, 7.574333, 960716
36170, 10, 648, 212616, 131804, 0, 0, 67330, 14106, 0, 0, 0, 585792, 28301460, 24.988802, 7.883585, 996880
37767, 11, 676, 210699, 105530, 0, 0, 67330, 15061, 0, 0, 0, 612390, 30215724, 25.174751, 8.197671, 1034640
40112, 10, 662, 205315, 116803, 0, 0, 67330, 16085, 0, 0, 0, 597588, 32482970, 25.365396, 8.516496, 1074745
42812, 10, 657, 215713, 122969, 0, 0, 67330, 17120, 0, 0, 0, 630936, 34572165, 25.560642, 8.839969, 1117550
44906, 10, 649, 211098, 125112, 0, 0, 67330, 18355, 0, 0, 0, 674566, 36786779, 25.760426, 9.167991, 1162448
49330, 10, 654, 213221, 96742, 0, 0, 67330, 19640, 0, 0, 0, 1353672, 39118064, 25.964659, 9.500475, 1211772
