querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
112535, 16, 459, 717553, 308549, 0, 0, 65675, 62068, 0, 0, 0, 4996732, 4999932, 393.390411, 339.123474, 112524
7436, 13, 241, 175202, 16323, 0, 0, 65675, 1890, 0, 0, 0, 4995, 215018, 0.784765, 0.365176, 119952
78021, 9, 737, 299486, 359262, 0, 0, 65675, 60917, 0, 0, 0, 4166207, 4982890, 388.564941, 304.093292, 197966
7366, 12, 104, 181437, 18433, 0, 0, 65675, 1364, 0, 0, 0, 1957, 331022, 3.116335, 1.638407, 205324
41007, 9, 129, 299524, 378225, 0, 0, 65675, 54079, 0, 0, 0, 1808383, 4888474, 226.365753, 194.679367, 246325
37455, 11, 237, 304266, 343106, 0, 0, 65675, 53157, 0, 0, 0, 1668024, 4838400, 201.509933, 187.058197, 283772
7026, 10, 73, 172150, 17470, 0, 0, 65675, 1079, 0, 0, 0, 1396, 304241, 6.926929, 3.834274, 290791
6936, 9, 37, 169688, 14544, 0, 0, 65675, 2140, 0, 0, 0, 489, 290526, 2.780291, 1.939525, 297720
7548, 9, 15, 164530, 46015, 0, 0, 65675, 5396, 0, 0, 0, 906, 507172, 4.934476, 0.892899, 305261
56683, 10, 82, 299881, 333589, 0, 0, 65675, 58789, 0, 0, 0, 4017561, 4999927, 388.476624, 251.284012, 361935
7603, 11, 19, 172400, 35625, 0, 0, 65675, 2852, 0, 0, 0, 1140, 392431, 3.320598, 1.697101, 369530
8225, 9, 416, 175714, 80917, 0, 0, 65675, 921, 0, 0, 0, 10234, 342441, 40.761223, 0.119568, 377747
81555, 11, 43, 308817, 373722, 0, 0, 65675, 61487, 0, 0, 0, 4619174, 4999931, 407.443451, 322.906403, 459294
7696, 11, 11, 173340, 29286, 0, 0, 65675, 4126, 0, 0, 0, 1081, 541975, 4.476428, 3.514809, 466981
9623, 11, 9, 186007, 67921, 0, 0, 65675, 11064, 0, 0, 0, 419, 1395359, 13.717740, 6.178798, 476596
9670, 11, 18, 214998, 56841, 0, 0, 65675, 7293, 0, 0, 0, 2454, 722924, 6.610050, 4.848814, 486258
16362, 15, 41, 240656, 170179, 0, 0, 65675, 25021, 0, 0, 0, 6269, 2701746, 150.003952, 102.810822, 502609
19213, 18, 27, 260764, 278582, 0, 0, 65675, 23644, 0, 0, 0, 82545, 2266148, 28.537840, 12.769119, 521809
55599, 12, 75, 360739, 367561, 0, 0, 65675, 58757, 0, 0, 0, 3017584, 4999917, 339.713440, 253.340515, 577399
9523, 12, 34, 176635, 63351, 0, 0, 65675, 9572, 0, 0, 0, 3158, 1528942, 8.042891, 5.605164, 586914
8587, 11, 57, 172816, 51662, 0, 0, 65675, 7241, 0, 0, 0, 2414, 962901, 3.438108, 2.319895, 595494
42430, 10, 1865, 316984, 454831, 0, 0, 65675, 52736, 0, 0, 0, 2090389, 4913211, 409.119385, 151.521957, 637917
84530, 11, 10, 301161, 426184, 0, 0, 65675, 61648, 0, 0, 0, 4985224, 4999932, 409.375519, 338.448639, 722440
8494, 11, 274, 174873, 43538, 0, 0, 65675, 4984, 0, 0, 0, 5738, 521907, 3.037890, 1.670906, 730925
17564, 11, 88, 184505, 132231, 0, 0, 65675, 25158, 0, 0, 0, 380928, 2373873, 119.405983, 108.396286, 748481
9658, 13, 201, 232692, 19509, 0, 0, 65675, 4102, 0, 0, 0, 3576, 523028, 0.887677, 0.887677, 758130
7620, 12, 61, 188724, 16833, 0, 0, 65675, 2622, 0, 0, 0, 902, 233438, 7.031418, 5.915697, 765740
7414, 9, 96, 163242, 27961, 0, 0, 65675, 4128, 0, 0, 0, 2501, 598071, 0.395525, 0.362603, 773147
6990, 10, 239, 167775, 21590, 0, 0, 65675, 2003, 0, 0, 0, 5425, 217509, 0.670129, 0.480697, 780130
91633, 9, 373, 350222, 695894, 0, 0, 65675, 62058, 0, 0, 0, 5000969, 4999932, 378.577667, 325.659393, 871756
19078, 27, 162, 362017, 131609, 0, 0, 65675, 13259, 0, 0, 0, 210032, 1188127, 38.862167, 35.937546, 890814
17444, 13, 20, 250071, 110792, 0, 0, 65675, 32632, 0, 0, 0, 113162, 3197894, 120.974510, 114.644341, 908249
16884, 14, 18, 232880, 175994, 0, 0, 65675, 25792, 0, 0, 0, 1256, 2695465, 151.196289, 115.778435, 925123
9270, 11, 25, 185035, 68204, 0, 0, 65675, 8480, 0, 0, 0, 3583, 982766, 44.566231, 18.711533, 934385
19193, 11, 21, 214927, 215940, 0, 0, 65675, 25317, 0, 0, 0, 286699, 2384840, 121.571754, 95.382973, 953570
20272, 19, 20, 331944, 218999, 0, 0, 65675, 23968, 0, 0, 0, 151346, 2305131, 23.669804, 17.472527, 973828
10054, 11, 1955, 179378, 40504, 0, 0, 65675, 4485, 0, 0, 0, 24535, 571411, 1.470446, 1.470446, 983873
25191, 10, 19, 221811, 279113, 0, 0, 65675, 25595, 0, 0, 0, 444042, 2330204, 80.557373, 67.701988, 1009056
9464, 11, 974, 200763, 42371, 0, 0, 65675, 4966, 0, 0, 0, 19140, 497432, 1.755522, 1.755522, 1018513
12458, 10, 22, 258954, 118117, 0, 0, 65675, 14658, 0, 0, 0, 7812, 1589095, 43.612930, 26.423359, 1030963
85840, 10, 2442, 399200, 535600, 0, 0, 65675, 61015, 0, 0, 0, 5007413, 4999932, 436.917816, 345.895203, 1116795
16717, 11, 23, 180338, 210414, 0, 0, 65675, 24045, 0, 0, 0, 266570, 2350341, 64.266754, 53.962887, 1133505
29469, 12, 68, 286235, 372668, 0, 0, 65675, 39591, 0, 0, 0, 827472, 3707989, 143.024704, 126.116570, 1162965
11494, 10, 51, 177021, 109679, 0, 0, 65675, 12849, 0, 0, 0, 116547, 1170771, 38.470871, 34.010887, 1174451
77567, 11, 79, 317966, 475607, 0, 0, 65675, 60541, 0, 0, 0, 4730307, 4999930, 440.884644, 258.337585, 1252010
82945, 11, 2110, 319301, 477123, 0, 0, 65675, 61310, 0, 0, 0, 5006461, 4999932, 387.827606, 321.179871, 1334947
54909, 11, 836, 315647, 435321, 0, 0, 65675, 58210, 0, 0, 0, 3191732, 4982877, 331.664307, 243.376450, 1389849
48492, 12, 4, 310242, 234698, 0, 0, 65675, 56469, 0, 0, 0, 2539298, 4872251, 274.872803, 204.954391, 1438333
91777, 12, 2267, 326380, 659721, 0, 0, 65675, 61631, 0, 0, 0, 5007413, 4999932, 452.272491, 323.347076, 1530102
81578, 38, 1035, 311194, 464783, 0, 0, 65675, 61164, 0, 0, 0, 4964403, 4999932, 352.469513, 277.570007, 1611650
81048, 11, 57, 317943, 466264, 0, 0, 65675, 61673, 0, 0, 0, 5000032, 4999932, 411.421021, 334.601196, 1692690
78757, 11, 235, 314188, 378691, 0, 0, 65675, 61289, 0, 0, 0, 4988893, 4999932, 393.378967, 307.404266, 1771440
90395, 27, 2804, 315964, 661588, 0, 0, 65675, 60937, 0, 0, 0, 5009006, 4999932, 391.616333, 320.210419, 1861814
81627, 11, 181, 313374, 507187, 0, 0, 65675, 61512, 0, 0, 0, 4988509, 4999932, 412.851562, 280.394684, 1943433
7311, 11, 313, 174321, 13793, 0, 0, 65675, 1295, 0, 0, 0, 6737, 326816, 1.354596, 1.354596, 1950737
50386, 9, 25, 294232, 468080, 0, 0, 65675, 56516, 0, 0, 0, 2478580, 4899345, 193.011749, 169.126205, 2001115
47685, 11, 1315, 315698, 509908, 0, 0, 65675, 55515, 0, 0, 0, 2460135, 4947201, 303.025085, 197.533722, 2048793
35223, 11, 183, 309020, 391792, 0, 0, 65675, 52260, 0, 0, 0, 1800567, 4884215, 265.373718, 112.079292, 2084007
66448, 12, 18, 313488, 337718, 0, 0, 65675, 59901, 0, 0, 0, 3501539, 4959105, 338.937500, 295.079834, 2150447
40799, 27, 495, 318102, 375607, 0, 0, 65675, 52090, 0, 0, 0, 2033852, 4908468, 357.242798, 141.814804, 2191226
49213, 11, 15, 304452, 111487, 0, 0, 65675, 56581, 0, 0, 0, 2835413, 4929799, 290.322662, 242.901443, 2240431
8579, 11, 122, 177266, 49027, 0, 0, 65675, 6118, 0, 0, 0, 15311, 785754, 3.571267, 3.396461, 2249001
8403, 9, 1125, 167097, 6120, 0, 0, 65675, 592, 0, 0, 0, 20416, 312939, 0.240212, 0.240212, 2257397
24747, 11, 68, 303921, 307845, 0, 0, 65675, 40063, 0, 0, 0, 147784, 4423163, 197.683990, 138.824524, 2282136
7501, 11, 656, 174673, 5623, 0, 0, 65675, 350, 0, 0, 0, 15492, 165453, 0.450257, 0.450257, 2289629
8533, 11, 38, 210720, 25277, 0, 0, 65675, 1993, 0, 0, 0, 523, 419990, 8.047504, 3.273175, 2298154
7747, 9, 36, 179685, 30328, 0, 0, 65675, 2790, 0, 0, 0, 771, 430073, 9.757325, 3.416408, 2305894
7537, 9, 469, 183443, 24311, 0, 0, 65675, 1731, 0, 0, 0, 11057, 318206, 0.382158, 0.382158, 2313424
