querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
959521, 25, 229, 1000852, 95030, 0, 0, 66553, 64547, 0, 0, 0, 37307300, 37344838, 255.995071, 160.474442, 959520
887255, 10, 68, 440130, 107732, 0, 0, 66553, 64573, 0, 0, 0, 37292844, 37344444, 255.997742, 140.199997, 1846773
14440, 7, 18, 379428, 1295, 0, 0, 66553, 20, 0, 0, 0, 24, 55259, 14.664797, 8.134409, 1861210
14585, 6, 83, 370485, 946, 0, 0, 66553, 42, 0, 0, 0, 280, 184077, 21.622063, 6.328071, 1875794
38494, 6, 256, 466643, 186390, 0, 0, 66553, 23093, 0, 0, 0, 179431, 9291392, 255.985229, 107.638672, 1914287
9775, 4, 120, 247035, 1416, 0, 0, 66553, 42, 0, 0, 0, 523, 128086, 29.842976, 29.842976, 1924062
8868, 3, 57, 236531, 1520, 0, 0, 66553, 19, 0, 0, 0, 467, 40103, 17.870623, 11.716393, 1932929
10585, 4, 108, 263859, 1966, 0, 0, 66553, 14, 0, 0, 0, 630, 35836, 9.954462, 9.954462, 1943513
893205, 5, 2851, 447062, 115006, 0, 0, 66553, 64580, 0, 0, 0, 37298169, 37344315, 255.996002, 64.074570, 2836717
14978, 6, 285, 371620, 268, 0, 0, 66553, 17, 0, 0, 0, 561, 66298, 10.271839, 10.271839, 2851692
14876, 6, 128, 343890, 1416, 0, 0, 66553, 71, 0, 0, 0, 575, 341455, 26.008465, 25.018688, 2866567
32246, 7, 71, 343012, 160884, 0, 0, 66553, 15800, 0, 0, 0, 1344, 7332805, 119.042519, 102.369072, 2898812
814356, 5, 69, 355930, 111913, 0, 0, 66553, 64568, 0, 0, 0, 37302298, 37344754, 255.995148, 121.175713, 3713166
33715, 6, 42, 489606, 281664, 0, 0, 66553, 8304, 0, 0, 0, 381842, 4225932, 167.043335, 73.848846, 3746880
792781, 8, 88, 389220, 115037, 0, 0, 66553, 64559, 0, 0, 0, 37300871, 37344698, 255.995834, 127.825340, 4539658
15685, 7, 551, 380210, 4722, 0, 0, 66553, 36, 0, 0, 0, 3876, 144118, 68.335114, 7.556457, 4555342
13055, 6, 132, 372084, 122, 0, 0, 66553, 5, 0, 0, 0, 458, 876, 1.750371, 1.750371, 4568396
762326, 4, 3788, 520026, 111663, 0, 0, 66553, 64499, 0, 0, 0, 37306876, 37343757, 255.989731, 145.661316, 5330721
661247, 8, 263, 491211, 111744, 0, 0, 66553, 64523, 0, 0, 0, 37292777, 37344204, 255.998276, 105.415886, 5991967
37546, 3, 1100, 567601, 192595, 0, 0, 66553, 24843, 0, 0, 0, 221702, 9032517, 255.987488, 158.617188, 6029513
21068, 4, 1024, 185119, 134424, 0, 0, 66553, 19442, 0, 0, 0, 9815, 7548718, 152.414978, 133.686996, 6050579
788360, 3, 134, 348241, 118605, 0, 0, 66553, 64531, 0, 0, 0, 37296847, 37344553, 255.998825, 101.880653, 6838939
