querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
70286, 16, 72, 555284, 232372, 0, 0, 65502, 59591, 0, 0, 0, 3531413, 4091217, 273.921661, 243.993118, 70276
45200, 10, 35, 324407, 214563, 0, 0, 65502, 57014, 0, 0, 0, 3109693, 4091199, 380.629700, 150.606842, 115469
64614, 10, 45, 323922, 296782, 0, 0, 65502, 60216, 0, 0, 0, 3813485, 4091229, 330.655182, 218.079254, 180077
61527, 10, 65, 330662, 310798, 0, 0, 65502, 59883, 0, 0, 0, 3703462, 4091230, 263.517303, 214.058014, 241598
63323, 11, 46, 312156, 295850, 0, 0, 65502, 60082, 0, 0, 0, 3925431, 4160283, 303.234558, 239.503143, 304914
61645, 28, 36, 347017, 243982, 0, 0, 65502, 59760, 0, 0, 0, 3496487, 4091221, 356.700348, 196.681702, 366539
56340, 13, 91, 312640, 316250, 0, 0, 65502, 58824, 0, 0, 0, 3612071, 4091228, 274.775757, 228.887695, 422871
62440, 22, 32, 363421, 244321, 0, 0, 65502, 59834, 0, 0, 0, 3725443, 4091229, 349.039795, 234.888641, 485295
43321, 12, 82, 307544, 282942, 0, 0, 65502, 56109, 0, 0, 0, 2145794, 4091136, 236.409897, 160.424606, 528609
64246, 12, 64, 327510, 287719, 0, 0, 65502, 60006, 0, 0, 0, 3915096, 4091231, 375.837677, 231.059952, 592847
50412, 13, 181, 314578, 302671, 0, 0, 65502, 57545, 0, 0, 0, 2602790, 4091089, 195.289612, 178.847961, 643250
17873, 19, 15, 302641, 118449, 0, 0, 65502, 40143, 0, 0, 0, 22675, 3086698, 157.567719, 113.034195, 661116
62461, 12, 72, 309013, 338778, 0, 0, 65502, 59877, 0, 0, 0, 3748356, 4091232, 313.197327, 229.595108, 723569
55647, 11, 19, 314768, 246375, 0, 0, 65502, 59017, 0, 0, 0, 3277122, 4091210, 318.418060, 175.587906, 779209
46051, 12, 94, 313106, 250083, 0, 0, 65502, 57480, 0, 0, 0, 3288102, 4091215, 262.202942, 165.262939, 825252
53956, 12, 79, 319545, 280786, 0, 0, 65502, 58739, 0, 0, 0, 3524850, 4091217, 327.411865, 219.725189, 879199
68130, 11, 143, 317749, 337839, 0, 0, 65502, 59631, 0, 0, 0, 4073043, 4160283, 345.981873, 255.989914, 947322
62177, 12, 53, 318298, 384571, 0, 0, 65502, 59892, 0, 0, 0, 4068354, 4160285, 362.197479, 236.959122, 1009490
65134, 13, 18, 309967, 261641, 0, 0, 65502, 59820, 0, 0, 0, 4005263, 4160285, 377.012177, 255.837036, 1074616
58330, 13, 55, 314915, 352042, 0, 0, 65502, 59257, 0, 0, 0, 3801593, 4091233, 328.770416, 216.517807, 1132937
69072, 28, 139, 345888, 341758, 0, 0, 65502, 60272, 0, 0, 0, 4125400, 4160286, 361.335602, 255.991608, 1201989
52679, 12, 54, 324498, 337561, 0, 0, 65502, 58778, 0, 0, 0, 3537349, 4091223, 342.290253, 187.160324, 1254660
59221, 11, 33, 315349, 361413, 0, 0, 65502, 59658, 0, 0, 0, 3933974, 4091237, 381.093140, 232.524597, 1313874
64756, 11, 34, 313519, 300388, 0, 0, 65502, 60138, 0, 0, 0, 4028934, 4160282, 358.100555, 250.405807, 1378622
43351, 12, 22, 316684, 204547, 0, 0, 65502, 56745, 0, 0, 0, 2927351, 4091198, 263.608032, 190.958176, 1421965
66576, 12, 137, 320429, 336342, 0, 0, 65502, 60324, 0, 0, 0, 3806122, 4091229, 301.769958, 243.094238, 1488532
56862, 11, 97, 321231, 317897, 0, 0, 65502, 59110, 0, 0, 0, 3644455, 4091225, 316.978729, 236.400620, 1545386
49292, 11, 76, 314881, 249730, 0, 0, 65502, 58147, 0, 0, 0, 3608367, 4091225, 313.072327, 215.161865, 1594670
42477, 22, 84, 353942, 215474, 0, 0, 65502, 55231, 0, 0, 0, 2188757, 4091075, 281.198456, 87.816536, 1637131
48690, 12, 31, 313232, 296871, 0, 0, 65502, 57785, 0, 0, 0, 2876117, 4091199, 357.084015, 122.827507, 1685813
61152, 12, 65, 314089, 319501, 0, 0, 65502, 59775, 0, 0, 0, 3631107, 4091230, 302.570312, 230.207031, 1746957
39482, 12, 56, 317832, 216186, 0, 0, 65502, 56456, 0, 0, 0, 2960663, 4091187, 165.082855, 157.214432, 1786431
34895, 22, 127, 341814, 198945, 0, 0, 65502, 51685, 0, 0, 0, 967776, 4089257, 174.920303, 121.485962, 1821309
50833, 13, 162, 314200, 350491, 0, 0, 65502, 57841, 0, 0, 0, 2818427, 4091188, 309.946228, 109.317291, 1872133
58059, 13, 26, 312058, 311180, 0, 0, 65502, 59311, 0, 0, 0, 3543288, 4091224, 365.377716, 199.947586, 1930183
65509, 29, 74, 366676, 309960, 0, 0, 65502, 59966, 0, 0, 0, 3842817, 4091230, 399.372009, 223.902496, 1995672
49148, 10, 16, 337606, 334270, 0, 0, 65502, 58176, 0, 0, 0, 3409448, 4091222, 339.937927, 217.547638, 2044813
50833, 12, 63, 323867, 295498, 0, 0, 65502, 57916, 0, 0, 0, 2666688, 4091106, 267.037018, 192.676620, 2095637
