querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
502970, 20, 417, 417218, 116133, 0, 0, 65548, 65033, 0, 0, 0, 35672092, 35851641, 334.085327, 197.435623, 502965
25083, 10, 157, 254255, 104806, 0, 0, 65548, 27820, 0, 0, 0, 18391, 16772692, 131.901672, 104.374077, 528042
243128, 15, 209, 344411, 91939, 0, 0, 65548, 64414, 0, 0, 0, 24757032, 35851641, 232.109253, 180.244370, 771164
328337, 10, 175, 336257, 105417, 0, 0, 65548, 64730, 0, 0, 0, 30458506, 35851641, 313.413025, 197.705109, 1099495
61873, 9, 330, 335656, 153683, 0, 0, 65548, 55945, 0, 0, 0, 718416, 32581009, 170.043549, 143.106445, 1161363
334455, 9, 211, 339862, 98009, 0, 0, 65548, 64749, 0, 0, 0, 35848256, 35851641, 382.286163, 252.393982, 1495811
212298, 10, 205, 338155, 94202, 0, 0, 65548, 64301, 0, 0, 0, 28138230, 35851641, 277.516724, 161.773712, 1708103
409251, 18, 331, 353934, 108791, 0, 0, 65548, 64882, 0, 0, 0, 35850253, 35851641, 325.828918, 255.999405, 2117345
352725, 11, 190, 363307, 110735, 0, 0, 65548, 64728, 0, 0, 0, 34602588, 35851641, 325.467194, 226.760895, 2470064
255009, 9, 188, 342686, 90977, 0, 0, 65548, 64401, 0, 0, 0, 33563871, 35851641, 329.599762, 149.130676, 2725068
312397, 10, 202, 338014, 100217, 0, 0, 65548, 64529, 0, 0, 0, 34119916, 35851641, 352.807953, 177.441116, 3037459
106390, 8, 250, 343621, 71175, 0, 0, 65548, 62959, 0, 0, 0, 16174123, 35851641, 64.056061, 25.845432, 3143843
420758, 9, 187, 338736, 115138, 0, 0, 65548, 64931, 0, 0, 0, 35852103, 35851641, 401.604584, 255.999283, 3564594
369778, 8, 246, 346113, 113702, 0, 0, 65548, 64815, 0, 0, 0, 33026219, 35851641, 246.658966, 226.074783, 3934367
195720, 9, 176, 340142, 102617, 0, 0, 65548, 64096, 0, 0, 0, 23587469, 35851641, 184.934845, 169.612091, 4130082
277782, 8, 216, 343077, 106860, 0, 0, 65548, 64538, 0, 0, 0, 31745904, 35851641, 265.216675, 196.722839, 4407859
346343, 8, 176, 343537, 111803, 0, 0, 65548, 64758, 0, 0, 0, 34987236, 35851641, 310.990509, 250.125244, 4754197
205753, 9, 218, 345652, 111567, 0, 0, 65548, 63985, 0, 0, 0, 20989858, 35851641, 220.849106, 180.750031, 4959944
389038, 9, 202, 345879, 116228, 0, 0, 65548, 64854, 0, 0, 0, 35295764, 35851641, 326.959991, 255.998093, 5348976
348406, 9, 202, 343301, 112824, 0, 0, 65548, 64766, 0, 0, 0, 34958823, 35851641, 293.242798, 226.219086, 5697376
319371, 11, 248, 332551, 109516, 0, 0, 65548, 64664, 0, 0, 0, 35773556, 35851641, 358.242981, 191.079590, 6016740
327315, 9, 234, 338061, 113108, 0, 0, 65548, 64712, 0, 0, 0, 31757145, 35851641, 288.717682, 183.750427, 6344049
339337, 9, 205, 344161, 109072, 0, 0, 65548, 64695, 0, 0, 0, 35244404, 35851641, 367.176880, 191.238388, 6683381
166646, 17, 560, 342239, 110677, 0, 0, 65548, 63725, 0, 0, 0, 15606697, 35851641, 214.503189, 169.300964, 6850019
99649, 11, 163, 337520, 249195, 0, 0, 65548, 61904, 0, 0, 0, 6955201, 35830945, 227.333237, 147.730011, 6949662
22641, 8, 135, 194684, 59000, 0, 0, 65548, 29201, 0, 0, 0, 22528, 17872391, 161.207703, 88.271461, 6972299
359766, 9, 210, 331486, 113702, 0, 0, 65548, 64702, 0, 0, 0, 32794341, 35851641, 262.252197, 237.982208, 7332060
211590, 10, 183, 336694, 107768, 0, 0, 65548, 64123, 0, 0, 0, 20349407, 35851641, 234.610046, 162.195755, 7543642
327632, 17, 434, 364727, 110057, 0, 0, 65548, 64696, 0, 0, 0, 33240726, 35851641, 297.870972, 173.879730, 7871265
301322, 10, 239, 358398, 107547, 0, 0, 65548, 64575, 0, 0, 0, 31966962, 35851641, 243.115921, 219.060074, 8172581
230613, 9, 198, 342876, 122114, 0, 0, 65548, 64253, 0, 0, 0, 23976342, 35851641, 235.248856, 174.843033, 8403189
364689, 9, 200, 339681, 111646, 0, 0, 65548, 64739, 0, 0, 0, 35714908, 35851641, 358.956451, 255.998871, 8767873
346923, 9, 185, 340080, 110826, 0, 0, 65548, 64776, 0, 0, 0, 34124276, 35851641, 290.773651, 230.416168, 9114791
378694, 9, 267, 339587, 110223, 0, 0, 65548, 64790, 0, 0, 0, 35798336, 35851641, 332.863922, 255.999161, 9493480
227378, 8, 3174, 340514, 87956, 0, 0, 65548, 64302, 0, 0, 0, 33201214, 35851641, 171.609177, 136.511719, 9720854
336347, 8, 209, 338925, 110403, 0, 0, 65548, 64638, 0, 0, 0, 33875484, 35851641, 320.673706, 211.081299, 10057195
162809, 11, 205, 312507, 101346, 0, 0, 65548, 63489, 0, 0, 0, 18130417, 35851641, 206.343231, 154.440598, 10219998
244224, 11, 174, 335195, 104180, 0, 0, 65548, 64410, 0, 0, 0, 26491810, 35851641, 242.358093, 178.396225, 10464216
44961, 11, 179, 299008, 100928, 0, 0, 65548, 43975, 0, 0, 0, 180576, 26171586, 158.319992, 123.541122, 10509171
309824, 11, 219, 339239, 109776, 0, 0, 65548, 64645, 0, 0, 0, 31364804, 35851641, 207.556061, 202.385406, 10818988
238182, 9, 185, 336831, 99860, 0, 0, 65548, 64290, 0, 0, 0, 28300680, 35851641, 255.632935, 172.721237, 11057164
340077, 11, 171, 339885, 110523, 0, 0, 65548, 64656, 0, 0, 0, 35665504, 35851641, 326.535339, 239.335861, 11397235
268223, 8, 193, 338224, 101784, 0, 0, 65548, 64534, 0, 0, 0, 32364157, 35851641, 293.744232, 187.490845, 11665453
333880, 9, 177, 338501, 109886, 0, 0, 65548, 64763, 0, 0, 0, 34495788, 35851641, 287.268829, 216.625839, 11999327
