querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
112976, 0, 0, 0, 0, 0, 0, 2235, 2193, 0, 0, 0, 4999920, 4999932, 379.441315, 339.123474, 112976
1264, 0, 0, 0, 0, 0, 0, 2235, 263, 0, 0, 0, 23, 8593, 0.365176, 0.365176, 114240
71576, 0, 0, 0, 0, 0, 0, 2235, 2193, 0, 0, 0, 4278511, 4999899, 315.564270, 304.093292, 185816
1395, 0, 0, 0, 0, 0, 0, 2235, 263, 0, 0, 0, 52, 37195, 3.116335, 1.638407, 187211
45984, 0, 0, 0, 0, 0, 0, 2235, 2193, 0, 0, 0, 2486369, 4894604, 207.992554, 194.679367, 233195
54963, 0, 0, 0, 0, 0, 0, 2235, 2035, 0, 0, 0, 2879223, 4316134, 188.708405, 187.058197, 288158
1709, 0, 0, 0, 0, 0, 0, 2235, 271, 0, 0, 0, 30, 69328, 4.338750, 3.834274, 289867
1875, 0, 0, 0, 0, 0, 0, 2235, 293, 0, 0, 0, 39, 61608, 2.546554, 1.939525, 291742
1663, 0, 0, 0, 0, 0, 0, 2235, 279, 0, 0, 0, 263, 41411, 0.892899, 0.892899, 293405
62310, 0, 0, 0, 0, 0, 0, 2235, 2193, 0, 0, 0, 4565438, 4973650, 296.399536, 251.284012, 355715
2267, 0, 0, 0, 0, 0, 0, 2235, 336, 0, 0, 0, 541, 122686, 1.697101, 1.697101, 357982
2336, 0, 0, 0, 0, 0, 0, 2235, 288, 0, 0, 0, 392, 80630, 0.119568, 0.119568, 360318
76526, 0, 0, 0, 0, 0, 0, 2235, 2193, 0, 0, 0, 4991845, 4999927, 330.504242, 322.906403, 436844
2063, 0, 0, 0, 0, 0, 0, 2235, 330, 0, 0, 0, 645, 239108, 3.514809, 3.514809, 438907
1780, 0, 0, 0, 0, 0, 0, 2235, 369, 0, 0, 0, 363, 378420, 6.178798, 6.178798, 440687
3449, 0, 0, 0, 0, 0, 0, 2235, 419, 0, 0, 0, 1744, 206004, 4.848814, 4.848814, 444136
2682, 0, 0, 0, 0, 0, 0, 2235, 1320, 0, 0, 0, 2562, 2153247, 102.810822, 102.810822, 446818
9521, 0, 0, 0, 0, 0, 0, 2235, 390, 0, 0, 0, 34916, 467097, 13.951914, 12.769119, 456339
53928, 0, 0, 0, 0, 0, 0, 2235, 2193, 0, 0, 0, 3858470, 4998385, 305.316742, 253.340515, 510267
