querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
597991, 0, 0, 0, 0, 0, 0, 23055, 23018, 0, 0, 0, 81240491, 99999990, 166.530853, 135.980804, 597991
10309, 0, 0, 0, 0, 0, 0, 23055, 4220, 0, 0, 0, 256914, 10001830, 39.494949, 35.997322, 608300
437727, 0, 0, 0, 0, 0, 0, 23055, 23018, 0, 0, 0, 53882183, 99954201, 147.211731, 121.714340, 1046027
8342, 0, 0, 0, 0, 0, 0, 23055, 3364, 0, 0, 0, 152571, 8336426, 35.040504, 33.050213, 1054369
545621, 0, 0, 0, 0, 0, 0, 23055, 23018, 0, 0, 0, 68865676, 99999975, 167.560699, 133.919449, 1599990
15099, 0, 0, 0, 0, 0, 0, 23055, 6988, 0, 0, 0, 553098, 12733943, 55.301495, 37.562798, 1615089
584100, 0, 0, 0, 0, 0, 0, 23055, 23018, 0, 0, 0, 78479789, 99999978, 168.643280, 141.361832, 2199189
13103, 0, 0, 0, 0, 0, 0, 23055, 5060, 0, 0, 0, 351446, 13087110, 46.569180, 37.818684, 2212292
633949, 0, 0, 0, 0, 0, 0, 23055, 23018, 0, 0, 0, 83821967, 99999699, 162.298965, 142.787064, 2846241
15358, 0, 0, 0, 0, 0, 0, 23055, 8020, 0, 0, 0, 500628, 14154762, 56.561371, 38.735657, 2861599
704995, 0, 0, 0, 0, 0, 0, 23055, 23018, 0, 0, 0, 96662414, 99999995, 169.918198, 147.225861, 3566594
7897, 0, 0, 0, 0, 0, 0, 23055, 3092, 0, 0, 0, 141639, 8912409, 33.858292, 33.858292, 3574491
597396, 0, 0, 0, 0, 0, 0, 23055, 23018, 0, 0, 0, 85108232, 99999703, 173.563629, 146.604691, 4171887
9012, 0, 0, 0, 0, 0, 0, 23055, 3604, 0, 0, 0, 190404, 10416594, 36.259361, 36.259361, 4180899
630379, 0, 0, 0, 0, 0, 0, 23055, 23018, 0, 0, 0, 90739922, 99999990, 166.718048, 141.119568, 4811278
12869, 0, 0, 0, 0, 0, 0, 23055, 4644, 0, 0, 0, 453783, 12144477, 44.451466, 39.176807, 4824147
665334, 0, 0, 0, 0, 0, 0, 23055, 23018, 0, 0, 0, 93579602, 99999999, 168.481201, 153.828033, 5489481
9050, 0, 0, 0, 0, 0, 0, 23055, 4084, 0, 0, 0, 243063, 8585674, 40.102501, 33.522598, 5498531
678599, 0, 0, 0, 0, 0, 0, 23055, 23018, 0, 0, 0, 95294596, 99999993, 174.293243, 148.015671, 6177130
10319, 0, 0, 0, 0, 0, 0, 23055, 4308, 0, 0, 0, 244078, 11368946, 36.247746, 35.467789, 6187449
616743, 0, 0, 0, 0, 0, 0, 23055, 23018, 0, 0, 0, 87066528, 99999974, 170.404083, 144.147156, 6804192
5952, 0, 0, 0, 0, 0, 0, 23055, 3380, 0, 0, 0, 128471, 5818212, 38.121166, 26.935043, 6810144
675005, 0, 0, 0, 0, 0, 0, 23055, 23018, 0, 0, 0, 93691243, 99999998, 176.824875, 145.101196, 7485149
12400, 0, 0, 0, 0, 0, 0, 23055, 5732, 0, 0, 0, 445701, 10859964, 52.757511, 37.071327, 7497549
610663, 0, 0, 0, 0, 0, 0, 23055, 23018, 0, 0, 0, 83964951, 99994078, 168.581757, 148.147324, 8108212
8167, 0, 0, 0, 0, 0, 0, 23055, 3068, 0, 0, 0, 222360, 8900212, 33.610691, 33.610691, 8116379
604742, 0, 0, 0, 0, 0, 0, 23055, 23018, 0, 0, 0, 87050566, 99999989, 157.102707, 143.996567, 8721121
6783, 0, 0, 0, 0, 0, 0, 23055, 3036, 0, 0, 0, 122690, 7357709, 35.589520, 30.574602, 8727904
636468, 0, 0, 0, 0, 0, 0, 23055, 23018, 0, 0, 0, 92141757, 99999990, 159.256653, 143.262451, 9364372
6536, 0, 0, 0, 0, 0, 0, 23055, 2828, 0, 0, 0, 101230, 6500179, 34.348190, 30.535423, 9370908
626384, 0, 0, 0, 0, 0, 0, 23055, 23018, 0, 0, 0, 93081843, 100000000, 179.180893, 148.748550, 9997292
7998, 0, 0, 0, 0, 0, 0, 23055, 3148, 0, 0, 0, 208946, 8405958, 35.696968, 33.535660, 10005290
647924, 0, 0, 0, 0, 0, 0, 23055, 23018, 0, 0, 0, 99914103, 99999993, 168.248917, 150.166672, 10653214
11232, 0, 0, 0, 0, 0, 0, 23055, 5236, 0, 0, 0, 311486, 10644163, 45.908669, 36.541492, 10664446
