querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
21851, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 543949, 578853, 287.926758, 252.075409, 21851
25250, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 578853, 578853, 356.840118, 305.809296, 47101
19160, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 438643, 578853, 257.408691, 257.408691, 66261
13002, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 327388, 578853, 257.914490, 227.161194, 79263
15503, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 398821, 578853, 254.796417, 252.694427, 94766
15372, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 501852, 578853, 271.383209, 239.022842, 110138
21504, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 578853, 578853, 385.266876, 330.185974, 131642
23039, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 578853, 578853, 360.805969, 295.016541, 154681
18751, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 500179, 578853, 257.727417, 231.599518, 173432
16404, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 355842, 578853, 264.020111, 255.593063, 189836
23593, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 578853, 578853, 358.167175, 332.273438, 213429
22805, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 472071, 578853, 266.143127, 219.572067, 236234
23344, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 576621, 578853, 329.933258, 270.149384, 259578
23977, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 578853, 578853, 396.288483, 354.312744, 283555
22031, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 578853, 578853, 315.988434, 284.677338, 305586
23874, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 578853, 578853, 328.625732, 304.460114, 329460
10674, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 232092, 578853, 222.469269, 185.877975, 340134
17560, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 382363, 578853, 275.310547, 261.093567, 357694
21516, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 461337, 578853, 279.274139, 184.020065, 379210
23325, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 570012, 578853, 300.376465, 274.723938, 402535
17526, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 474974, 578853, 276.716949, 258.643982, 420061
19544, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 543235, 578853, 285.560577, 242.973755, 439605
21274, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 534835, 578853, 316.940186, 244.364609, 460879
14822, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 419065, 578853, 252.947708, 212.744415, 475701
21229, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 578853, 578853, 404.315918, 336.467529, 496930
19109, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 558339, 578853, 299.803467, 298.238708, 516039
12794, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 232587, 578853, 219.293182, 207.232239, 528833
20048, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 573488, 578853, 332.560760, 283.994354, 548881
22878, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 505423, 578853, 269.634125, 226.505020, 571759
16049, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 329726, 578853, 231.030746, 210.800079, 587808
20897, 0, 0, 0, 0, 0, 0, 71, 36, 0, 0, 0, 517225, 578853, 253.333649, 219.827896, 608705
