querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
33622, 0, 0, 0, 0, 0, 0, 1173, 468, 0, 0, 0, 289899, 2046076, 68.251587, 62.247364, 33622
2247, 0, 0, 0, 0, 0, 0, 1173, 256, 0, 0, 0, 12, 151221, 5.631338, 5.631338, 35869
93262, 0, 0, 0, 0, 0, 0, 1173, 446, 0, 0, 0, 14473, 12118809, 29.198051, 29.198051, 129131
5012, 0, 0, 0, 0, 0, 0, 1173, 312, 0, 0, 0, 101, 137009, 3.371730, 3.371730, 134143
4570, 0, 0, 0, 0, 0, 0, 1173, 360, 0, 0, 0, 44, 603416, 14.201283, 6.185990, 138713
25257, 0, 0, 0, 0, 0, 0, 1173, 794, 0, 0, 0, 1184836, 4446971, 107.154762, 107.154762, 163970
2534, 0, 0, 0, 0, 0, 0, 1173, 270, 0, 0, 0, 3085, 483083, 14.338559, 13.997404, 166504
3373, 0, 0, 0, 0, 0, 0, 1173, 256, 0, 0, 0, 2703, 448567, 24.051296, 24.051296, 169877
1971, 0, 0, 0, 0, 0, 0, 1173, 266, 0, 0, 0, 1, 17844, 0.000000, 0.000000, 171848
82433, 0, 0, 0, 0, 0, 0, 1173, 446, 0, 0, 0, 191376, 12100976, 50.974438, 38.112732, 254281
2176, 0, 0, 0, 0, 0, 0, 1173, 258, 0, 0, 0, 28, 199094, 2.832206, 2.832206, 256457
11349, 0, 0, 0, 0, 0, 0, 1173, 534, 0, 0, 0, 85784, 1631581, 49.776207, 49.776207, 267806
1713, 0, 0, 0, 0, 0, 0, 1173, 362, 0, 0, 0, 75, 434394, 0.595368, 0.506250, 269519
1499, 0, 0, 0, 0, 0, 0, 1173, 300, 0, 0, 0, 4, 256353, 2.831873, 2.831873, 271018
1556, 0, 0, 0, 0, 0, 0, 1173, 258, 0, 0, 0, 35, 268929, 3.310160, 3.081249, 272574
