querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
11981, 0, 0, 0, 0, 0, 0, 38796, 734, 0, 0, 0, 164, 985020, 7.589795, 6.812838, 11981
7583, 0, 0, 0, 0, 0, 0, 38796, 279, 0, 0, 0, 44, 57191, 1.347354, 1.293659, 19564
32276, 0, 0, 0, 0, 0, 0, 38796, 1644, 0, 0, 0, 1388, 2507575, 0.411729, 0.411729, 51840
47328, 0, 0, 0, 0, 0, 0, 38796, 2169, 0, 0, 0, 5163, 3658840, 0.765964, 0.550013, 99168
4628, 0, 0, 0, 0, 0, 0, 38796, 511, 0, 0, 0, 33, 533853, 1.929553, 1.692372, 103796
6897, 0, 0, 0, 0, 0, 0, 38796, 351, 0, 0, 0, 40, 227236, 0.407790, 0.407790, 110693
73693, 0, 0, 0, 0, 0, 0, 38796, 1922, 0, 0, 0, 7473, 2532269, 0.226137, 0.085353, 184386
20582, 0, 0, 0, 0, 0, 0, 38796, 623, 0, 0, 0, 698, 711011, 1.085684, 0.611919, 204968
30403, 0, 0, 0, 0, 0, 0, 38796, 1151, 0, 0, 0, 1156, 1431958, 0.447677, 0.404469, 235371
13318, 0, 0, 0, 0, 0, 0, 38796, 427, 0, 0, 0, 464, 325576, 11.225079, 11.225079, 248689
19432, 0, 0, 0, 0, 0, 0, 38796, 1229, 0, 0, 0, 351, 1628200, 0.386270, 0.301291, 268121
4831, 0, 0, 0, 0, 0, 0, 38796, 469, 0, 0, 0, 118, 438112, 0.936467, 0.482695, 272952
6820, 0, 0, 0, 0, 0, 0, 38796, 840, 0, 0, 0, 494, 1024969, 0.555291, 0.419714, 279772
18261, 0, 0, 0, 0, 0, 0, 38796, 658, 0, 0, 0, 1363, 692337, 0.353815, 0.116234, 298033
9171, 0, 0, 0, 0, 0, 0, 38796, 1132, 0, 0, 0, 81, 1281719, 0.279175, 0.239017, 307204
19458, 0, 0, 0, 0, 0, 0, 38796, 817, 0, 0, 0, 1091, 952178, 1.325828, 0.688139, 326662
4782, 0, 0, 0, 0, 0, 0, 38796, 685, 0, 0, 0, 111, 959397, 0.176631, 0.058809, 331444
6914, 0, 0, 0, 0, 0, 0, 38796, 843, 0, 0, 0, 111, 1109509, 0.166407, 0.097089, 338358
6372, 0, 0, 0, 0, 0, 0, 38796, 592, 0, 0, 0, 209, 615295, 0.210868, 0.207114, 344730
7846, 0, 0, 0, 0, 0, 0, 38796, 570, 0, 0, 0, 204, 750387, 0.385891, 0.282896, 352576
16123, 0, 0, 0, 0, 0, 0, 38796, 1353, 0, 0, 0, 533, 1447425, 0.290489, 0.156645, 368699
3864, 0, 0, 0, 0, 0, 0, 38796, 430, 0, 0, 0, 12, 358400, 0.741146, 0.741146, 372563
17358, 0, 0, 0, 0, 0, 0, 38796, 436, 0, 0, 0, 1421, 429866, 0.404476, 0.352708, 389921
3293, 0, 0, 0, 0, 0, 0, 38796, 363, 0, 0, 0, 44, 260799, 1.122522, 1.122522, 393214
11191, 0, 0, 0, 0, 0, 0, 38796, 612, 0, 0, 0, 477, 751262, 0.564216, 0.432175, 404405
3609, 0, 0, 0, 0, 0, 0, 38796, 483, 0, 0, 0, 60, 460210, 0.297171, 0.221304, 408014
12642, 0, 0, 0, 0, 0, 0, 38796, 736, 0, 0, 0, 497, 1168703, 0.142241, 0.084105, 420656
2807, 0, 0, 0, 0, 0, 0, 38796, 321, 0, 0, 0, 1, 60410, 1.657799, 1.657799, 423463
3309, 0, 0, 0, 0, 0, 0, 38796, 523, 0, 0, 0, 16, 427222, 5.632145, 4.344621, 426772
21504, 0, 0, 0, 0, 0, 0, 38796, 814, 0, 0, 0, 759, 727446, 0.136853, 0.030166, 448276
88563, 0, 0, 0, 0, 0, 0, 38796, 1323, 0, 0, 0, 7366, 1742957, 0.566522, 0.444459, 536839
43071, 0, 0, 0, 0, 0, 0, 38796, 883, 0, 0, 0, 1660, 1003106, 0.077816, 0.065979, 579910
6542, 0, 0, 0, 0, 0, 0, 38796, 1739, 0, 0, 0, 19, 2013357, 9.546079, 7.456873, 586452
17404, 0, 0, 0, 0, 0, 0, 38796, 6629, 0, 0, 0, 122, 7390009, 9.747869, 6.675062, 603856
6087, 0, 0, 0, 0, 0, 0, 38796, 3337, 0, 0, 0, 1, 4755815, 19.574959, 19.574959, 609943
4706, 0, 0, 0, 0, 0, 0, 38796, 851, 0, 0, 0, 5, 1523296, 50.720062, 50.720062, 614649
5020, 0, 0, 0, 0, 0, 0, 38796, 557, 0, 0, 0, 66, 617613, 2.431330, 2.278940, 619669
52723, 0, 0, 0, 0, 0, 0, 38796, 1026, 0, 0, 0, 1727, 1006052, 0.076086, 0.076086, 672392
11055, 0, 0, 0, 0, 0, 0, 38796, 2908, 0, 0, 0, 151, 3319287, 8.718706, 7.284218, 683447
18757, 0, 0, 0, 0, 0, 0, 38796, 5540, 0, 0, 0, 684, 7892792, 15.244902, 13.494014, 702204
5605, 0, 0, 0, 0, 0, 0, 38796, 1410, 0, 0, 0, 17, 2382670, 11.160219, 11.107239, 707809
11784, 0, 0, 0, 0, 0, 0, 38796, 5548, 0, 0, 0, 87, 8621586, 28.601170, 19.458872, 719593
40806, 0, 0, 0, 0, 0, 0, 38796, 3627, 0, 0, 0, 2331, 3683552, 4.451593, 3.046427, 760399
7639, 0, 0, 0, 0, 0, 0, 38796, 1030, 0, 0, 0, 83, 2193580, 23.630262, 20.708460, 768038
28037, 0, 0, 0, 0, 0, 0, 38796, 9848, 0, 0, 0, 59, 20925960, 78.095566, 65.596893, 796075
15954, 0, 0, 0, 0, 0, 0, 38796, 1108, 0, 0, 0, 2151, 2122982, 2.814026, 2.630240, 812029
9233, 0, 0, 0, 0, 0, 0, 38796, 2797, 0, 0, 0, 121, 5862493, 29.783806, 25.690851, 821262
7284, 0, 0, 0, 0, 0, 0, 38796, 2089, 0, 0, 0, 58, 4628777, 40.346073, 38.425373, 828546
18584, 0, 0, 0, 0, 0, 0, 38796, 7835, 0, 0, 0, 30, 13131502, 22.875349, 19.707485, 847130
28141, 0, 0, 0, 0, 0, 0, 38796, 1603, 0, 0, 0, 2073, 1947462, 0.208739, 0.100652, 875271
33174, 0, 0, 0, 0, 0, 0, 38796, 1761, 0, 0, 0, 6564, 3327062, 0.538560, 0.449931, 908445
8490, 0, 0, 0, 0, 0, 0, 38796, 3062, 0, 0, 0, 137, 3784184, 95.014725, 76.974663, 916935
8844, 0, 0, 0, 0, 0, 0, 38796, 2157, 0, 0, 0, 126, 4518187, 12.687286, 8.176500, 925779
15025, 0, 0, 0, 0, 0, 0, 38796, 1973, 0, 0, 0, 727, 3344472, 6.576923, 5.674868, 940804
6176, 0, 0, 0, 0, 0, 0, 38796, 1297, 0, 0, 0, 118, 2474077, 6.272575, 6.198098, 946980
31486, 0, 0, 0, 0, 0, 0, 38796, 1187, 0, 0, 0, 3913, 1830880, 1.668708, 1.668708, 978466
9569, 0, 0, 0, 0, 0, 0, 38796, 3230, 0, 0, 0, 74, 5265258, 39.402737, 35.289158, 988035
6526, 0, 0, 0, 0, 0, 0, 38796, 884, 0, 0, 0, 261, 1035816, 2.294264, 1.732330, 994561
24312, 0, 0, 0, 0, 0, 0, 38796, 1972, 0, 0, 0, 1034, 2769392, 1.411442, 1.016669, 1018873
5398, 0, 0, 0, 0, 0, 0, 38796, 652, 0, 0, 0, 102, 849350, 3.944222, 3.944222, 1024271
15098, 0, 0, 0, 0, 0, 0, 38796, 1161, 0, 0, 0, 443, 1629741, 1.760644, 1.760644, 1039369
16742, 0, 0, 0, 0, 0, 0, 38796, 3034, 0, 0, 0, 1970, 4754473, 1.811169, 1.756439, 1056111
23607, 0, 0, 0, 0, 0, 0, 38796, 2198, 0, 0, 0, 8171, 3243047, 1.972441, 1.503453, 1079718
6900, 0, 0, 0, 0, 0, 0, 38796, 2682, 0, 0, 0, 17, 3146008, 17.581871, 14.735041, 1086618
3668, 0, 0, 0, 0, 0, 0, 38796, 568, 0, 0, 0, 119, 800372, 1.707565, 1.707565, 1090286
41912, 0, 0, 0, 0, 0, 0, 38796, 2948, 0, 0, 0, 15036, 4398834, 0.683661, 0.569092, 1132198
4738, 0, 0, 0, 0, 0, 0, 38796, 706, 0, 0, 0, 22, 996729, 2.492810, 2.492810, 1136936
13200, 0, 0, 0, 0, 0, 0, 38796, 690, 0, 0, 0, 2579, 1161300, 0.884377, 0.746764, 1150136
4107, 0, 0, 0, 0, 0, 0, 38796, 808, 0, 0, 0, 150, 1059510, 2.608680, 2.608680, 1154243
16820, 0, 0, 0, 0, 0, 0, 38796, 10304, 0, 0, 0, 154, 10419116, 42.333881, 16.098379, 1171063
4837, 0, 0, 0, 0, 0, 0, 38796, 939, 0, 0, 0, 41, 2134321, 53.757423, 53.757423, 1175900
16829, 0, 0, 0, 0, 0, 0, 38796, 2713, 0, 0, 0, 1671, 3227286, 10.569468, 7.897617, 1192729
7605, 0, 0, 0, 0, 0, 0, 38796, 419, 0, 0, 0, 1432, 426373, 0.146721, 0.065583, 1200334
32321, 0, 0, 0, 0, 0, 0, 38796, 16825, 0, 0, 0, 549, 14339987, 149.646820, 39.544777, 1232655
22353, 0, 0, 0, 0, 0, 0, 38796, 13605, 0, 0, 0, 90, 17023076, 87.689102, 40.680130, 1255008
37679, 0, 0, 0, 0, 0, 0, 38796, 2710, 0, 0, 0, 11678, 4237241, 0.420854, 0.347430, 1292687
