querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
5449, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 25112, 465075, 175.216614, 158.258011, 5449
5112, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 40320, 466920, 204.945953, 181.711304, 10561
2744, 0, 0, 0, 0, 0, 0, 1488, 380, 0, 0, 0, 1986, 299060, 85.829346, 85.829346, 13305
4069, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 21411, 465075, 161.469330, 101.962410, 17374
3385, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 18470, 465075, 148.433670, 147.802338, 20759
4961, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 45431, 465075, 193.552612, 183.378067, 25720
2836, 0, 0, 0, 0, 0, 0, 1488, 436, 0, 0, 0, 3225, 396182, 91.945015, 91.945015, 28556
2775, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 19240, 465075, 135.380249, 135.380249, 31331
2572, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 7944, 465075, 93.383339, 93.383339, 33903
2813, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 25218, 465075, 182.048187, 143.090012, 36716
2381, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 8468, 465075, 140.418671, 53.414459, 39097
1907, 0, 0, 0, 0, 0, 0, 1488, 276, 0, 0, 0, 1852, 109028, 44.603931, 44.603931, 41004
2319, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 20687, 466920, 175.939758, 146.280670, 43323
3009, 0, 0, 0, 0, 0, 0, 1488, 532, 0, 0, 0, 25083, 621138, 189.169144, 116.066116, 46332
2067, 0, 0, 0, 0, 0, 0, 1488, 436, 0, 0, 0, 3504, 322639, 93.357925, 92.917747, 48399
2537, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 11024, 442715, 135.642960, 111.920456, 50936
3996, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 37004, 466920, 194.605789, 194.605789, 54932
3353, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 19982, 465075, 170.052307, 111.665489, 58285
2495, 0, 0, 0, 0, 0, 0, 1488, 388, 0, 0, 0, 4880, 277942, 100.937393, 100.937393, 60780
1824, 0, 0, 0, 0, 0, 0, 1488, 428, 0, 0, 0, 3911, 345690, 100.603920, 100.603920, 62604
2344, 0, 0, 0, 0, 0, 0, 1488, 356, 0, 0, 0, 3274, 222191, 66.711548, 66.711548, 64948
2014, 0, 0, 0, 0, 0, 0, 1488, 412, 0, 0, 0, 3247, 359798, 83.185654, 80.351349, 66962
2253, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 16217, 465075, 155.453400, 147.360214, 69215
2290, 0, 0, 0, 0, 0, 0, 1488, 404, 0, 0, 0, 4857, 319746, 95.967041, 91.316200, 71505
1750, 0, 0, 0, 0, 0, 0, 1488, 388, 0, 0, 0, 1375, 212168, 61.187164, 52.865437, 73255
2475, 0, 0, 0, 0, 0, 0, 1488, 284, 0, 0, 0, 9391, 104384, 69.821236, 34.020420, 75730
2258, 0, 0, 0, 0, 0, 0, 1488, 300, 0, 0, 0, 10175, 125309, 72.513382, 31.527187, 77988
2004, 0, 0, 0, 0, 0, 0, 1488, 428, 0, 0, 0, 4282, 319777, 90.878830, 75.281059, 79992
2517, 0, 0, 0, 0, 0, 0, 1488, 420, 0, 0, 0, 3415, 355970, 81.051636, 81.051636, 82509
2817, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 20299, 435905, 139.016830, 127.326118, 85326
