querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
43554, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 2548147, 4134277, 274.359253, 243.993118, 43554
47013, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 3515444, 4134280, 329.997528, 150.606842, 90567
38614, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 2865354, 4134278, 298.701965, 218.079285, 129181
29298, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 1921383, 4134272, 276.576294, 214.058014, 158479
30865, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 2231989, 4134278, 281.801239, 239.503174, 189344
29077, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 2193835, 4134127, 264.139648, 196.681717, 218421
25147, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 1841490, 4134275, 245.084869, 228.887680, 243568
38031, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 2916423, 4134280, 308.985626, 234.888672, 281599
7799, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 101110, 4125982, 213.987701, 160.424606, 289398
43867, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 3620890, 4134277, 317.521301, 231.059937, 333265
9720, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 284307, 4125982, 206.109863, 178.847961, 342985
4883, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 1888, 4098068, 181.037399, 113.034195, 347868
33046, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 2705249, 4134275, 305.831970, 229.595093, 380914
26458, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 1674976, 4126129, 283.069977, 175.587921, 407372
22099, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 1450021, 4125982, 234.666718, 165.262955, 429471
25584, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 1951424, 4134280, 261.875397, 219.725220, 455055
43159, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 3737538, 4134280, 297.072388, 255.989929, 498214
43871, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 3928568, 4134280, 284.849304, 236.959137, 542085
30163, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 2663599, 4134278, 348.352661, 255.837006, 572248
29100, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 2229216, 4126134, 294.714783, 216.517838, 601348
47338, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 3972346, 4134280, 314.830383, 255.991608, 648686
22110, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 1418393, 4126129, 288.753815, 187.160324, 670796
39706, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 3733999, 4134277, 309.732117, 232.524628, 710502
43654, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 3547661, 4134280, 279.100433, 250.405777, 754156
13615, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 751200, 4126132, 242.957611, 190.958191, 767771
43417, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 3404597, 4134278, 306.187195, 243.094238, 811188
30724, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 2702400, 4134280, 348.119873, 236.400650, 841912
26121, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 2598394, 4134275, 223.611847, 215.161835, 868033
6681, 0, 0, 0, 0, 0, 0, 783, 740, 0, 0, 0, 3222, 4109085, 147.598206, 87.816544, 874714
21039, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 1213705, 4125982, 213.107422, 122.827515, 895753
38640, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 2255800, 4134280, 247.441666, 230.207062, 934393
10645, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 470775, 4125982, 220.737610, 157.214447, 945038
8964, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 149889, 4125982, 206.745804, 121.485970, 954002
26382, 0, 0, 0, 0, 0, 0, 783, 740, 0, 0, 0, 1755207, 4125961, 156.752899, 109.317276, 980384
23398, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 1467977, 4126137, 279.171112, 199.947601, 1003782
44549, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 3544573, 4134277, 295.450592, 223.902496, 1048331
20455, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 1571344, 4126134, 287.916199, 217.547653, 1068786
17042, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 923430, 4134275, 277.928497, 192.676605, 1085828
20260, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 1516937, 4126135, 260.061829, 190.665405, 1106088
20508, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 1295649, 4125982, 243.145172, 135.844391, 1126596
22909, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 2072700, 4125982, 313.317841, 143.709900, 1149505
39587, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 3324210, 4125988, 302.100403, 220.630951, 1189092
20583, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 1381712, 4125982, 209.875427, 107.220512, 1209675
36098, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 2635155, 4125982, 284.348724, 187.090164, 1245773
40220, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 3384867, 4125982, 282.759705, 209.030319, 1285993
26878, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 1821710, 4134280, 258.398407, 214.924438, 1312871
29268, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 2535366, 4125988, 311.488892, 199.142853, 1342139
39498, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 3734659, 4134278, 314.414825, 255.634384, 1381637
8659, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 100798, 4125982, 209.288101, 98.236710, 1390296
38289, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 3407656, 4134280, 312.191559, 241.935989, 1428585
7630, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 113545, 4125982, 236.342010, 180.632629, 1436215
25668, 0, 0, 0, 0, 0, 0, 783, 740, 0, 0, 0, 1833683, 4125961, 143.931366, 120.998077, 1461883
9246, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 187690, 4126129, 207.303848, 158.858978, 1471129
11568, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 352792, 4125982, 227.735321, 163.453415, 1482697
34251, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 3029033, 4134278, 325.262878, 225.491425, 1516948
27245, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 2136338, 4134278, 302.656281, 245.684143, 1544193
32560, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 2604672, 4134280, 309.092377, 242.841888, 1576753
23053, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 1540033, 4126135, 248.863464, 205.862091, 1599806
25682, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 2439899, 4134275, 276.409485, 214.281860, 1625488
17432, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 1241105, 4125982, 227.759155, 152.441223, 1642920
28045, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 2108973, 4134280, 247.214874, 222.736923, 1670965
35577, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 2924698, 4126135, 285.833710, 198.683121, 1706542
34757, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 2948472, 4126132, 296.769043, 212.861511, 1741299
29205, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 1989864, 4134280, 274.075775, 201.073883, 1770504
40987, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 3317928, 4134275, 305.368469, 224.214249, 1811491
39595, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 3066976, 4134278, 261.320190, 205.864838, 1851086
20925, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 1412004, 4134278, 248.281662, 221.038559, 1872011
7491, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 86915, 4126129, 241.878738, 158.989166, 1879502
32744, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 3084931, 4134280, 288.351135, 236.994110, 1912246
11003, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 247357, 4125982, 140.493713, 123.902031, 1923249
33640, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 2448606, 4134280, 265.878296, 215.359375, 1956889
39942, 0, 0, 0, 0, 0, 0, 783, 744, 0, 0, 0, 3373022, 4134280, 306.478271, 255.988480, 1996831
