querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
394752, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 47804762, 99960571, 165.968826, 135.980804, 394752
10051, 0, 0, 0, 0, 0, 0, 23044, 3748, 0, 0, 0, 26734, 9594935, 39.494953, 35.997318, 404803
201049, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 17314849, 99698909, 158.566162, 121.714340, 605852
8550, 0, 0, 0, 0, 0, 0, 23044, 3044, 0, 0, 0, 12211, 7928855, 35.040504, 33.050209, 614402
309299, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 35453344, 99986853, 164.317596, 133.919464, 923701
13039, 0, 0, 0, 0, 0, 0, 23044, 6356, 0, 0, 0, 85707, 11871833, 55.301498, 37.562798, 936740
320124, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 39361876, 99976705, 157.565201, 141.361832, 1256864
12259, 0, 0, 0, 0, 0, 0, 23044, 4396, 0, 0, 0, 49614, 11774334, 46.569183, 37.818684, 1269123
365213, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 44819657, 99915916, 158.402695, 142.787079, 1634336
13446, 0, 0, 0, 0, 0, 0, 23044, 7827, 0, 0, 0, 49848, 12594021, 58.967983, 38.735657, 1647782
409216, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 50958515, 99999811, 167.973999, 147.225845, 2056998
9279, 0, 0, 0, 0, 0, 0, 23044, 3036, 0, 0, 0, 17187, 8477899, 36.342735, 33.858295, 2066277
384428, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 50866675, 99883328, 173.563644, 146.604675, 2450705
9986, 0, 0, 0, 0, 0, 0, 23044, 3300, 0, 0, 0, 16777, 9844448, 36.259361, 36.259361, 2460691
416381, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 56801354, 99993318, 156.964050, 141.119568, 2877072
11846, 0, 0, 0, 0, 0, 0, 23044, 4220, 0, 0, 0, 35217, 11240670, 44.451466, 39.176804, 2888918
503464, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 69597302, 99998773, 170.527130, 153.828018, 3392382
9186, 0, 0, 0, 0, 0, 0, 23044, 3756, 0, 0, 0, 39187, 7842276, 41.920788, 33.522598, 3401568
476491, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 65866646, 99979144, 176.108093, 148.015686, 3878059
11503, 0, 0, 0, 0, 0, 0, 23044, 3820, 0, 0, 0, 25445, 10679989, 35.467789, 35.467789, 3889562
342882, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 43498620, 99985284, 172.786133, 144.147156, 4232444
6078, 0, 0, 0, 0, 0, 0, 23044, 2164, 0, 0, 0, 3775, 5568208, 26.935043, 26.935043, 4238522
459400, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 63270226, 99997376, 172.934235, 145.101196, 4697922
11076, 0, 0, 0, 0, 0, 0, 23044, 5100, 0, 0, 0, 61638, 10095013, 52.974167, 37.071327, 4708998
335785, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 39724734, 99886545, 158.470886, 148.147324, 5044783
8476, 0, 0, 0, 0, 0, 0, 23044, 2684, 0, 0, 0, 22652, 7957434, 33.610691, 33.610691, 5053259
340078, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 41030115, 99989232, 159.240585, 143.996552, 5393337
7306, 0, 0, 0, 0, 0, 0, 23044, 2700, 0, 0, 0, 11035, 6742231, 35.589523, 30.574600, 5400643
428487, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 58424314, 99997685, 173.259644, 143.262451, 5829130
6986, 0, 0, 0, 0, 0, 0, 23044, 2468, 0, 0, 0, 9897, 6083915, 34.348190, 30.535423, 5836116
434535, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 61416947, 99999876, 184.131363, 148.748535, 6270651
8276, 0, 0, 0, 0, 0, 0, 23044, 2884, 0, 0, 0, 17453, 7930688, 35.696968, 33.535664, 6278927
495751, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 75425310, 99999403, 168.248917, 150.166672, 6774678
10287, 0, 0, 0, 0, 0, 0, 23044, 4444, 0, 0, 0, 30902, 8958963, 45.908672, 36.541496, 6784965
345245, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 45398185, 99728494, 169.693878, 135.990601, 7130210
7768, 0, 0, 0, 0, 0, 0, 23044, 2700, 0, 0, 0, 9318, 7408842, 31.092827, 31.092827, 7137978
