querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
90763, 0, 0, 0, 0, 0, 0, 24248, 17913, 0, 0, 0, 115445, 52457764, 75.870720, 51.895210, 90763
39210, 0, 0, 0, 0, 0, 0, 24248, 17403, 0, 0, 0, 7599, 39243392, 50.788437, 36.224579, 129973
12882, 0, 0, 0, 0, 0, 0, 24248, 4865, 0, 0, 0, 1345, 11261889, 19.078070, 19.078070, 142855
19794, 0, 0, 0, 0, 0, 0, 24248, 11043, 0, 0, 0, 4540, 18785997, 28.092388, 21.251453, 162649
32481, 0, 0, 0, 0, 0, 0, 24248, 13292, 0, 0, 0, 18020, 32389990, 37.694611, 30.531567, 195130
82362, 0, 0, 0, 0, 0, 0, 24248, 22921, 0, 0, 0, 116144, 81146347, 77.344246, 64.408295, 277492
60831, 0, 0, 0, 0, 0, 0, 24248, 19553, 0, 0, 0, 80503, 61698753, 69.508957, 55.455639, 338323
10444, 0, 0, 0, 0, 0, 0, 24248, 7476, 0, 0, 0, 2585, 9495748, 25.042562, 18.778326, 348767
75653, 0, 0, 0, 0, 0, 0, 24248, 23028, 0, 0, 0, 71355, 80162622, 67.776009, 56.610989, 424420
23911, 0, 0, 0, 0, 0, 0, 24248, 8990, 0, 0, 0, 5944, 24864538, 40.182125, 35.827148, 448331
39119, 0, 0, 0, 0, 0, 0, 24248, 16823, 0, 0, 0, 9296, 41390472, 38.132401, 29.562952, 487450
51924, 0, 0, 0, 0, 0, 0, 24248, 18330, 0, 0, 0, 26768, 53103129, 56.025429, 40.874527, 539374
23992, 0, 0, 0, 0, 0, 0, 24248, 8421, 0, 0, 0, 5535, 24351738, 25.919357, 25.919357, 563366
29947, 0, 0, 0, 0, 0, 0, 24248, 10427, 0, 0, 0, 3581, 31323034, 34.585472, 31.971149, 593313
45575, 0, 0, 0, 0, 0, 0, 24248, 19999, 0, 0, 0, 41633, 45758085, 52.048061, 34.025208, 638888
52618, 0, 0, 0, 0, 0, 0, 24248, 15606, 0, 0, 0, 43687, 52918214, 49.957626, 47.194710, 691506
21755, 0, 0, 0, 0, 0, 0, 24248, 7205, 0, 0, 0, 28050, 20963498, 33.831337, 33.831337, 713261
52438, 0, 0, 0, 0, 0, 0, 24248, 18154, 0, 0, 0, 36647, 55829747, 44.941681, 39.507538, 765699
25227, 0, 0, 0, 0, 0, 0, 24248, 8934, 0, 0, 0, 5945, 24312418, 27.278126, 23.175108, 790926
9302, 0, 0, 0, 0, 0, 0, 24248, 5820, 0, 0, 0, 496, 7470374, 18.879948, 11.921934, 800228
43939, 0, 0, 0, 0, 0, 0, 24248, 17112, 0, 0, 0, 9806, 45249785, 55.937199, 39.000282, 844167
4123, 0, 0, 0, 0, 0, 0, 24248, 838, 0, 0, 0, 134, 1398450, 4.172885, 4.172885, 848290
10839, 0, 0, 0, 0, 0, 0, 24248, 4505, 0, 0, 0, 6033, 10081103, 15.935808, 14.442435, 859129
15332, 0, 0, 0, 0, 0, 0, 24248, 7034, 0, 0, 0, 343, 15255615, 18.100605, 15.494273, 874461
21255, 0, 0, 0, 0, 0, 0, 24248, 10345, 0, 0, 0, 3120, 20213885, 27.960154, 23.890129, 895716
21079, 0, 0, 0, 0, 0, 0, 24248, 6426, 0, 0, 0, 2532, 21207138, 42.481491, 42.481491, 916795
34899, 0, 0, 0, 0, 0, 0, 24248, 10683, 0, 0, 0, 4700, 35963652, 32.695904, 32.695904, 951694
13603, 0, 0, 0, 0, 0, 0, 24248, 8326, 0, 0, 0, 1206, 12133452, 20.191429, 12.823502, 965297
40251, 0, 0, 0, 0, 0, 0, 24248, 15638, 0, 0, 0, 3469, 41311647, 40.861488, 32.532623, 1005548
13094, 0, 0, 0, 0, 0, 0, 24248, 12216, 0, 0, 0, 9784, 11728311, 41.952831, 16.004934, 1018642
11036, 0, 0, 0, 0, 0, 0, 24248, 3463, 0, 0, 0, 6665, 7262532, 14.046049, 11.604307, 1029678
