querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
610795, 0, 0, 0, 0, 0, 0, 34017, 33975, 0, 0, 0, 42190234, 86519786, 246.761292, 217.268494, 610795
136342, 0, 0, 0, 0, 0, 0, 34017, 33975, 0, 0, 0, 602229, 84599114, 215.587021, 147.639908, 747137
116586, 0, 0, 0, 0, 0, 0, 34017, 33856, 0, 0, 0, 101087, 82949197, 181.738007, 124.486549, 863723
288744, 0, 0, 0, 0, 0, 0, 34017, 33975, 0, 0, 0, 19347855, 86216183, 231.824188, 184.155090, 1152467
73314, 0, 0, 0, 0, 0, 0, 34017, 31794, 0, 0, 0, 3449, 64090274, 140.915100, 120.844978, 1225781
109204, 0, 0, 0, 0, 0, 0, 34017, 33884, 0, 0, 0, 6982, 82534220, 162.810593, 127.045845, 1334985
148921, 0, 0, 0, 0, 0, 0, 34017, 33975, 0, 0, 0, 2101737, 85587999, 244.357925, 167.251038, 1483906
116222, 0, 0, 0, 0, 0, 0, 34017, 33383, 0, 0, 0, 164429, 80557177, 179.670502, 154.674896, 1600128
180230, 0, 0, 0, 0, 0, 0, 34017, 33975, 0, 0, 0, 6738965, 85764871, 246.745361, 162.522430, 1780358
6785, 0, 0, 0, 0, 0, 0, 34017, 2683, 0, 0, 0, 5, 3337244, 41.256969, 41.256969, 1787143
327355, 0, 0, 0, 0, 0, 0, 34017, 33613, 0, 0, 0, 22197220, 82291947, 221.440887, 165.862061, 2114498
290271, 0, 0, 0, 0, 0, 0, 34017, 33975, 0, 0, 0, 11871209, 86422579, 242.720276, 184.297745, 2404769
279937, 0, 0, 0, 0, 0, 0, 34017, 33975, 0, 0, 0, 19954731, 85032169, 255.641617, 157.931183, 2684706
124943, 0, 0, 0, 0, 0, 0, 34017, 33975, 0, 0, 0, 177555, 83200371, 270.135315, 130.274887, 2809649
116608, 0, 0, 0, 0, 0, 0, 34017, 33760, 0, 0, 0, 92241, 82004145, 162.741516, 127.069702, 2926257
242819, 0, 0, 0, 0, 0, 0, 34017, 33891, 0, 0, 0, 9697833, 84878431, 230.424469, 179.548889, 3169076
137689, 0, 0, 0, 0, 0, 0, 34017, 33963, 0, 0, 0, 1025697, 85210075, 230.743057, 170.973923, 3306765
659592, 0, 0, 0, 0, 0, 0, 34017, 33975, 0, 0, 0, 55133570, 87082607, 299.380524, 248.867752, 3966357
142451, 0, 0, 0, 0, 0, 0, 34017, 33927, 0, 0, 0, 286666, 84620496, 192.673676, 143.385269, 4108808
