querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
1460, 0, 0, 0, 0, 0, 0, 78921, 292, 0, 0, 0, 1, 900, 0.000000, 0.000000, 1460
1138, 0, 0, 0, 0, 0, 0, 78921, 292, 0, 0, 0, 1, 2589, 0.011769, 0.011769, 2598
1134, 0, 0, 0, 0, 0, 0, 78921, 316, 0, 0, 0, 1, 9370, 0.047113, 0.047113, 3732
1272, 0, 0, 0, 0, 0, 0, 78921, 372, 0, 0, 0, 1, 24235, 0.106084, 0.106084, 5004
1283, 0, 0, 0, 0, 0, 0, 78921, 460, 0, 0, 0, 3, 41278, 0.188722, 0.188722, 6287
1326, 0, 0, 0, 0, 0, 0, 78921, 484, 0, 0, 0, 4, 65037, 0.295057, 0.295057, 7613
1456, 0, 0, 0, 0, 0, 0, 78921, 556, 0, 0, 0, 4, 103054, 0.425111, 0.425111, 9069
1533, 0, 0, 0, 0, 0, 0, 78921, 652, 0, 0, 0, 4, 147402, 0.578896, 0.578896, 10602
1763, 0, 0, 0, 0, 0, 0, 78921, 828, 0, 0, 0, 5, 243760, 0.756411, 0.756411, 12365
1779, 0, 0, 0, 0, 0, 0, 78921, 988, 0, 0, 0, 6, 351906, 0.957650, 0.957650, 14144
2052, 0, 0, 0, 0, 0, 0, 78921, 1180, 0, 0, 0, 6, 507220, 1.182593, 1.182593, 16196
2236, 0, 0, 0, 0, 0, 0, 78921, 1356, 0, 0, 0, 6, 685490, 1.431213, 1.431213, 18432
2474, 0, 0, 0, 0, 0, 0, 78921, 1620, 0, 0, 0, 6, 938637, 1.703470, 1.703470, 20906
2811, 0, 0, 0, 0, 0, 0, 78921, 1980, 0, 0, 0, 8, 1228725, 1.999317, 1.999317, 23717
3048, 0, 0, 0, 0, 0, 0, 78921, 2372, 0, 0, 0, 10, 1556680, 2.318696, 2.318696, 26765
3657, 0, 0, 0, 0, 0, 0, 78921, 2796, 0, 0, 0, 11, 1958969, 2.661540, 2.661540, 30422
23978, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 90974, 2462842, 373.233826, 3.027771, 54400
18225, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 96975, 2961794, 373.190308, 3.417302, 72625
19526, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 96534, 3484543, 373.153259, 3.830038, 92151
19476, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 102842, 4083010, 373.122559, 4.265870, 111627
19617, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 83960, 4598427, 373.098328, 4.724687, 131244
19998, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 92555, 5442301, 373.080505, 5.206360, 151242
20375, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 90818, 6135397, 373.069031, 5.710758, 171617
21360, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 80353, 7241646, 373.063873, 6.237741, 192977
21571, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 99397, 8136921, 373.065155, 6.787152, 214548
22630, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 89169, 9283013, 373.072723, 7.358837, 237178
23597, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 87445, 10333957, 373.086548, 7.952622, 260775
25007, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 92991, 11556980, 373.106628, 8.568334, 285782
25401, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 99011, 12734808, 373.132996, 9.205787, 311183
26765, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 85032, 14137942, 373.165558, 9.864790, 337948
27280, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 84483, 15627495, 373.204254, 10.545139, 365228
28951, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 93173, 17184052, 373.249084, 11.246630, 394179
28911, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 88768, 18626055, 373.299957, 11.969043, 423090
31846, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 86131, 20251126, 373.356964, 12.712159, 454936
33210, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 87386, 22063458, 345.706238, 13.475748, 488146
34378, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 91418, 23994155, 345.759552, 14.259572, 522524
37395, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 95202, 26004664, 345.820038, 15.063392, 559919
38370, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 90040, 28126559, 345.887634, 15.886957, 598289
39009, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 92720, 30022681, 345.962250, 16.730011, 637298
40714, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 92688, 32311749, 346.043823, 17.592295, 678012
43742, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 95145, 34883041, 346.132355, 18.473547, 721754
45416, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 86667, 37339743, 346.227661, 19.373487, 767170
47811, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 86782, 39827655, 346.329742, 20.291847, 814981
49291, 0, 0, 0, 0, 0, 0, 78921, 78884, 0, 0, 0, 88968, 42186008, 346.438538, 21.228340, 864272
