querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
4745, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 151107, 567320, 287.926758, 252.075409, 4745
10225, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 562177, 578023, 356.840057, 305.809326, 14970
5727, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 211125, 573417, 289.379425, 257.408691, 20697
4064, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 143420, 567338, 257.914490, 227.161224, 24761
4086, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 129329, 571565, 254.796448, 252.694443, 28847
3082, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 103214, 564181, 259.693909, 239.022842, 31929
9437, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 574464, 578621, 384.895844, 330.186005, 41366
8352, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 465175, 572264, 372.929871, 295.016541, 49718
3435, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 78330, 561798, 231.599518, 231.599518, 53153
5481, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 219123, 576731, 289.835449, 255.593018, 58634
9556, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 571122, 578591, 381.308807, 332.273438, 68190
4099, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 149566, 560315, 323.032104, 219.572052, 72289
12845, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 430938, 573750, 343.863464, 270.149384, 85134
9300, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 578853, 578853, 364.843323, 354.312683, 94434
6283, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 333738, 577852, 349.092896, 284.677368, 100717
6842, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 420858, 578356, 345.463959, 304.460144, 107559
2832, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 45776, 559928, 222.469269, 185.877975, 110391
3300, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 134292, 573179, 290.386475, 261.093567, 113691
2955, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 70452, 543874, 279.274139, 184.020081, 116646
5871, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 245087, 577708, 321.642029, 274.723969, 122517
5053, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 191218, 571755, 280.793579, 258.643982, 127570
4237, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 145517, 565212, 285.560577, 242.973755, 131807
5014, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 228502, 576788, 332.297058, 244.364624, 136821
2857, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 64246, 560302, 250.209015, 212.744431, 139678
8846, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 575901, 578808, 390.795135, 336.467499, 148524
6847, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 337648, 578612, 299.803467, 298.238678, 155371
2507, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 41271, 555414, 249.949280, 207.232254, 157878
5246, 0, 0, 0, 0, 0, 0, 684, 643, 0, 0, 0, 287540, 577905, 332.560822, 283.994263, 163124
