querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
31336, 0, 0, 0, 0, 0, 0, 35850, 11772, 0, 0, 0, 199688, 6462160, 180.068695, 160.474457, 31336
10946, 0, 0, 0, 0, 0, 0, 35850, 10860, 0, 0, 0, 144445, 5745183, 153.642151, 140.200012, 42282
1958, 0, 0, 0, 0, 0, 0, 35850, 1188, 0, 0, 0, 5376, 424705, 8.134409, 8.134409, 44240
5191, 0, 0, 0, 0, 0, 0, 35850, 4140, 0, 0, 0, 18118, 567130, 55.906239, 6.328070, 49431
9747, 0, 0, 0, 0, 0, 0, 35850, 12476, 0, 0, 0, 69205, 5466219, 203.761917, 107.638672, 59178
4101, 0, 0, 0, 0, 0, 0, 35850, 3540, 0, 0, 0, 46603, 1644147, 42.805557, 29.842979, 63279
4372, 0, 0, 0, 0, 0, 0, 35850, 4140, 0, 0, 0, 18785, 774876, 56.723446, 11.716393, 67651
4507, 0, 0, 0, 0, 0, 0, 35850, 4140, 0, 0, 0, 31732, 645363, 70.828362, 9.954462, 72158
10044, 0, 0, 0, 0, 0, 0, 35850, 11308, 0, 0, 0, 23846, 5652564, 94.308395, 64.074570, 82202
3687, 0, 0, 0, 0, 0, 0, 35850, 3292, 0, 0, 0, 35260, 1623530, 11.140660, 10.271837, 85889
3022, 0, 0, 0, 0, 0, 0, 35850, 3300, 0, 0, 0, 27694, 1354610, 32.234314, 25.018692, 88911
7566, 0, 0, 0, 0, 0, 0, 35850, 10812, 0, 0, 0, 84249, 5139459, 154.923111, 102.369072, 96477
12035, 0, 0, 0, 0, 0, 0, 35850, 11668, 0, 0, 0, 74344, 6512972, 131.493027, 121.175705, 108512
3474, 0, 0, 0, 0, 0, 0, 35850, 3316, 0, 0, 0, 26220, 1626195, 73.848831, 73.848831, 111986
13922, 0, 0, 0, 0, 0, 0, 35850, 12612, 0, 0, 0, 160305, 6396868, 188.288803, 127.825333, 125908
1654, 0, 0, 0, 0, 0, 0, 35850, 628, 0, 0, 0, 813, 138004, 7.556456, 7.556456, 127562
1770, 0, 0, 0, 0, 0, 0, 35850, 1596, 0, 0, 0, 4983, 354984, 3.429517, 1.750371, 129332
27683, 0, 0, 0, 0, 0, 0, 35850, 23754, 0, 0, 0, 370181, 6436872, 255.980194, 145.661316, 157015
12599, 0, 0, 0, 0, 0, 0, 35850, 13292, 0, 0, 0, 89044, 6463285, 171.419388, 105.415886, 169614
11024, 0, 0, 0, 0, 0, 0, 35850, 11332, 0, 0, 0, 180760, 6929962, 160.249603, 158.617157, 180638
7615, 0, 0, 0, 0, 0, 0, 35850, 9980, 0, 0, 0, 72142, 5283615, 133.686996, 133.686996, 188253
25375, 0, 0, 0, 0, 0, 0, 35850, 13164, 0, 0, 0, 816681, 6087377, 180.699188, 101.880661, 213628
8910, 0, 0, 0, 0, 0, 0, 35850, 10756, 0, 0, 0, 126966, 5845166, 125.038986, 125.038986, 222538
8916, 0, 0, 0, 0, 0, 0, 35850, 10596, 0, 0, 0, 166720, 5823819, 142.428589, 142.428589, 231454
15852, 0, 0, 0, 0, 0, 0, 35850, 23369, 0, 0, 0, 237190, 5658964, 255.976898, 108.611481, 247306
9718, 0, 0, 0, 0, 0, 0, 35850, 12412, 0, 0, 0, 77004, 5356946, 201.512619, 102.284157, 257024
1672, 0, 0, 0, 0, 0, 0, 35850, 1260, 0, 0, 0, 3862, 427251, 3.512812, 3.007715, 258696
