querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
39061, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 2494299, 4093363, 261.742401, 243.993118, 39061
20840, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 1938423, 4090811, 348.958649, 150.606842, 59901
35718, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 2736898, 4093359, 332.852753, 218.079285, 95619
23757, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 1853537, 4093357, 301.644684, 214.058014, 119376
25666, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 2181076, 4093355, 304.412720, 239.503174, 145042
25631, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 2097866, 4093338, 252.709869, 196.681717, 170673
23026, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 1823253, 4093359, 305.733002, 228.887680, 193699
30866, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 2812754, 4093361, 313.494568, 234.888672, 224565
7593, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 83539, 4090807, 274.481842, 160.424606, 232158
33884, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 3268802, 4093365, 347.672852, 231.059937, 266042
8296, 0, 0, 0, 0, 0, 0, 3948, 3908, 0, 0, 0, 184724, 4090830, 201.821167, 178.847961, 274338
4713, 0, 0, 0, 0, 0, 0, 3948, 3825, 0, 0, 0, 47, 3949128, 113.034195, 113.034195, 279051
29028, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 2661753, 4093363, 309.579041, 229.595093, 308079
21271, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 1709162, 4090821, 322.509338, 175.587921, 329350
17132, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 1388824, 4090813, 267.583740, 165.262955, 346482
20606, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 1871841, 4093355, 286.713989, 219.725220, 367088
35019, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 3630545, 4093365, 304.757263, 255.989929, 402107
36818, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 3853687, 4093365, 299.122467, 236.959137, 438925
27881, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 2622307, 4093361, 340.444702, 255.837006, 466806
23117, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 2154159, 4093359, 292.435425, 216.517838, 489923
38384, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 3884842, 4093361, 345.614960, 255.991608, 528307
16550, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 1335321, 4093339, 342.032074, 187.160324, 544857
35050, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 3704145, 4093361, 301.520203, 232.524628, 579907
34846, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 3492392, 4093363, 309.250000, 250.405777, 614753
11020, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 672054, 4093329, 284.030914, 190.958191, 625773
34924, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 3271652, 4093359, 335.421539, 243.094238, 660697
25923, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 2495250, 4093361, 302.575989, 236.400650, 686620
23190, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 2583385, 4093351, 312.051056, 215.161835, 709810
6452, 0, 0, 0, 0, 0, 0, 3948, 3893, 0, 0, 0, 1705, 4064793, 142.282990, 87.816544, 716262
14640, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 933900, 4085314, 237.675018, 122.827515, 730902
25529, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 2241396, 4093359, 290.032043, 230.207062, 756431
8556, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 256203, 4090803, 257.350250, 157.214447, 764987
6156, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 45721, 4085299, 206.745804, 121.485970, 771143
19917, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 1676468, 4089935, 152.250671, 109.317276, 791060
18181, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 1392979, 4093349, 281.572632, 199.947601, 809241
34222, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 3353997, 4093357, 327.827209, 223.902496, 843463
17438, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 1537083, 4093349, 342.316956, 217.547653, 860901
15012, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 812211, 4093343, 233.400696, 192.676605, 875913
16840, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 1360363, 4093339, 293.596497, 190.665405, 892753
17220, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 1132598, 4090002, 243.145172, 135.844391, 909973
17410, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 1948938, 4090000, 278.816467, 143.709900, 927383
30777, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 3240825, 4093355, 334.971283, 220.630951, 958160
16778, 0, 0, 0, 0, 0, 0, 3948, 3889, 0, 0, 0, 1237037, 4089918, 135.133377, 107.220512, 974938
27778, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 2542341, 4093341, 322.696411, 187.090164, 1002716
32037, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 3279847, 4093349, 223.133575, 209.030319, 1034753
20556, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 1699572, 4093359, 328.176025, 214.924438, 1055309
25970, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 2428131, 4090843, 234.271667, 199.142853, 1081279
32811, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 3683247, 4093363, 314.414825, 255.634384, 1114090
6952, 0, 0, 0, 0, 0, 0, 3948, 3908, 0, 0, 0, 36943, 4080966, 202.272430, 98.236710, 1121042
32092, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 3301134, 4093363, 354.513733, 241.935989, 1153134
7707, 0, 0, 0, 0, 0, 0, 3948, 3911, 0, 0, 0, 65663, 4090790, 227.564987, 180.632629, 1160841
22071, 0, 0, 0, 0, 0, 0, 3948, 3908, 0, 0, 0, 1801944, 4089961, 143.931366, 120.998077, 1182912
7037, 0, 0, 0, 0, 0, 0, 3948, 3908, 0, 0, 0, 53150, 4090805, 207.303848, 158.858978, 1189949
