querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
45694, 0, 0, 0, 0, 0, 0, 34705, 9117, 0, 0, 0, 823743, 5847853, 81.159096, 78.210190, 45694
1616441, 0, 0, 0, 0, 0, 0, 34705, 34470, 0, 0, 0, 7326480, 28094614, 307.503235, 206.411499, 1662135
417700, 0, 0, 0, 0, 0, 0, 34705, 27422, 0, 0, 0, 583659, 24244078, 222.048172, 171.566620, 2079835
3093110, 0, 0, 0, 0, 0, 0, 34705, 34390, 0, 0, 0, 16879934, 31177845, 272.099609, 256.000000, 5172945
411172, 0, 0, 0, 0, 0, 0, 34705, 28042, 0, 0, 0, 69036, 23575963, 211.515152, 155.947861, 5584117
35962, 0, 0, 0, 0, 0, 0, 34705, 24573, 0, 0, 0, 4495, 14699352, 164.461380, 121.478027, 5620079
1460102, 0, 0, 0, 0, 0, 0, 34705, 33287, 0, 0, 0, 8791915, 25013826, 266.009247, 182.873825, 7080181
7724, 0, 0, 0, 0, 0, 0, 34705, 694, 0, 0, 0, 15392, 324522, 9.917749, 9.063294, 7087905
1796371, 0, 0, 0, 0, 0, 0, 34705, 34602, 0, 0, 0, 8427077, 29789685, 315.315308, 219.588623, 8884276
418193, 0, 0, 0, 0, 0, 0, 34705, 32558, 0, 0, 0, 318866, 26869550, 239.578995, 185.919220, 9302469
36780, 0, 0, 0, 0, 0, 0, 34705, 31149, 0, 0, 0, 13435, 15140043, 209.597534, 128.844193, 9339249
2375473, 0, 0, 0, 0, 0, 0, 34705, 34600, 0, 0, 0, 11212416, 30760686, 300.235504, 237.750687, 11714722
57441, 0, 0, 0, 0, 0, 0, 34705, 22971, 0, 0, 0, 2004537, 16037815, 158.086655, 141.374176, 11772163
1464074, 0, 0, 0, 0, 0, 0, 34705, 34634, 0, 0, 0, 10975593, 29857368, 320.312866, 219.835861, 13236237
1515816, 0, 0, 0, 0, 0, 0, 34705, 34427, 0, 0, 0, 10446304, 29169337, 276.712585, 205.275513, 14752053
11249, 0, 0, 0, 0, 0, 0, 34705, 2524, 0, 0, 0, 167890, 1714158, 43.800823, 43.800823, 14763302
378189, 0, 0, 0, 0, 0, 0, 34705, 32472, 0, 0, 0, 324178, 22046523, 239.087921, 149.911194, 15141491
40849, 0, 0, 0, 0, 0, 0, 34705, 24171, 0, 0, 0, 69879, 14916865, 180.768982, 138.869034, 15182340
25305, 0, 0, 0, 0, 0, 0, 34705, 32137, 0, 0, 0, 40137, 15180759, 242.029694, 144.602402, 15207645
376211, 0, 0, 0, 0, 0, 0, 34705, 34116, 0, 0, 0, 419764, 21917785, 290.920013, 162.322845, 15583856
389026, 0, 0, 0, 0, 0, 0, 34705, 30002, 0, 0, 0, 100441, 24170261, 194.471130, 169.900970, 15972882
29201, 0, 0, 0, 0, 0, 0, 34705, 15662, 0, 0, 0, 123195, 9279328, 120.232773, 86.938248, 16002083
1631162, 0, 0, 0, 0, 0, 0, 34705, 34333, 0, 0, 0, 7114613, 25145002, 297.721069, 183.295776, 17633245
1761847, 0, 0, 0, 0, 0, 0, 34705, 32554, 0, 0, 0, 7657392, 27947200, 227.247894, 194.510422, 19395092
32357, 0, 0, 0, 0, 0, 0, 34705, 25076, 0, 0, 0, 635, 13900156, 191.459213, 100.896446, 19427449
5308, 0, 0, 0, 0, 0, 0, 34705, 2607, 0, 0, 0, 60116, 1530307, 22.925022, 19.359430, 19432757
1834618, 0, 0, 0, 0, 0, 0, 34705, 34071, 0, 0, 0, 10287740, 30011552, 276.256226, 233.221298, 21267375
1800301, 0, 0, 0, 0, 0, 0, 34705, 34480, 0, 0, 0, 10124306, 29329707, 300.762543, 218.898788, 23067676
383507, 0, 0, 0, 0, 0, 0, 34705, 33418, 0, 0, 0, 484114, 26430139, 266.502258, 185.422913, 23451183
1588591, 0, 0, 0, 0, 0, 0, 34705, 34302, 0, 0, 0, 9684141, 29142157, 274.859741, 205.612701, 25039774
26338, 0, 0, 0, 0, 0, 0, 34705, 23115, 0, 0, 0, 388, 11322076, 156.374130, 76.868332, 25066112
379395, 0, 0, 0, 0, 0, 0, 34705, 33499, 0, 0, 0, 350081, 23326781, 275.874512, 145.756668, 25445507
1672788, 0, 0, 0, 0, 0, 0, 34705, 34127, 0, 0, 0, 8442742, 28603045, 258.370758, 191.364456, 27118295
1594288, 0, 0, 0, 0, 0, 0, 34705, 34582, 0, 0, 0, 11362875, 27810035, 297.957672, 181.738922, 28712583
1488596, 0, 0, 0, 0, 0, 0, 34705, 34654, 0, 0, 0, 11617451, 30278987, 331.139862, 222.015701, 30201179
1786185, 0, 0, 0, 0, 0, 0, 34705, 34612, 0, 0, 0, 25754825, 31261366, 342.436584, 256.000000, 31987364
1849611, 0, 0, 0, 0, 0, 0, 34705, 34654, 0, 0, 0, 17270236, 30499205, 326.685242, 235.551453, 33836975
1302988, 0, 0, 0, 0, 0, 0, 34705, 34594, 0, 0, 0, 12531639, 26556690, 305.111877, 183.872894, 35139963
36256, 0, 0, 0, 0, 0, 0, 34705, 32508, 0, 0, 0, 5033, 16237716, 248.115067, 139.074951, 35176219
373266, 0, 0, 0, 0, 0, 0, 34705, 28100, 0, 0, 0, 535012, 23342020, 239.315277, 163.390518, 35549485
1801887, 0, 0, 0, 0, 0, 0, 34705, 34248, 0, 0, 0, 8899244, 29784064, 264.600922, 219.444733, 37351372
1779264, 0, 0, 0, 0, 0, 0, 34705, 34310, 0, 0, 0, 7843536, 27834013, 301.212769, 195.208664, 39130636
2067361, 0, 0, 0, 0, 0, 0, 34705, 34604, 0, 0, 0, 13990278, 31526698, 292.955078, 251.223907, 41197997
278097, 0, 0, 0, 0, 0, 0, 34705, 25668, 0, 0, 0, 74477, 22378749, 213.523956, 148.668640, 41476094
2498894, 0, 0, 0, 0, 0, 0, 34705, 34362, 0, 0, 0, 9195490, 29462244, 290.108765, 224.020645, 43974988
12623, 0, 0, 0, 0, 0, 0, 34705, 3749, 0, 0, 0, 838, 1933559, 14.172218, 14.172218, 43987611
32787, 0, 0, 0, 0, 0, 0, 34705, 32880, 0, 0, 0, 182566, 15057809, 263.401276, 146.828568, 44020398
31358, 0, 0, 0, 0, 0, 0, 34705, 29710, 0, 0, 0, 835244, 15545260, 208.988770, 135.984482, 44051756
4353, 0, 0, 0, 0, 0, 0, 34705, 2144, 0, 0, 0, 140, 1053212, 8.012931, 7.577720, 44056109
25861, 0, 0, 0, 0, 0, 0, 34705, 30694, 0, 0, 0, 20781, 16260137, 215.826813, 154.366501, 44081970
1951656, 0, 0, 0, 0, 0, 0, 34705, 34389, 0, 0, 0, 10392981, 29405425, 276.868713, 209.330170, 46033626
2089019, 0, 0, 0, 0, 0, 0, 34705, 34654, 0, 0, 0, 17482371, 30366358, 317.724518, 228.220322, 48122645
