querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
270768, 0, 0, 0, 0, 0, 0, 62261, 62220, 0, 0, 0, 213316, 4895182, 429.135223, 17.696829, 270768
432893, 0, 0, 0, 0, 0, 0, 62261, 62210, 0, 0, 0, 200198, 202213, 395.599243, 14.898205, 703661
93356, 0, 0, 0, 0, 0, 0, 62261, 62222, 0, 0, 0, 202984, 207660, 614.680969, 17.828831, 797017
32005, 0, 0, 0, 0, 0, 0, 62261, 62222, 0, 0, 0, 463946, 485621, 489.313202, 15.856451, 829022
24523, 0, 0, 0, 0, 0, 0, 62261, 62222, 0, 0, 0, 845087, 864876, 601.606262, 14.364668, 853545
16947, 0, 0, 0, 0, 0, 0, 62261, 62222, 0, 0, 0, 210271, 210545, 481.682861, 15.054004, 870492
16898, 0, 0, 0, 0, 0, 0, 62261, 62222, 0, 0, 0, 218939, 327554, 478.644653, 16.723976, 887390
2729, 0, 0, 0, 0, 0, 0, 62261, 12807, 0, 0, 0, 6419, 74085, 16.485149, 16.485149, 890119
3053, 0, 0, 0, 0, 0, 0, 62261, 18525, 0, 0, 0, 8398, 129470, 15.144855, 15.144855, 893172
13126, 0, 0, 0, 0, 0, 0, 62261, 62220, 0, 0, 0, 379318, 379329, 428.260681, 15.658474, 906298
16367, 0, 0, 0, 0, 0, 0, 62261, 62222, 0, 0, 0, 253830, 258159, 536.836060, 14.940657, 922665
1480, 0, 0, 0, 0, 0, 0, 62261, 8265, 0, 0, 0, 1529, 47575, 14.938225, 14.938225, 924145
16089, 0, 0, 0, 0, 0, 0, 62261, 62222, 0, 0, 0, 244913, 244989, 469.451355, 14.115512, 940234
1352, 0, 0, 0, 0, 0, 0, 62261, 2538, 0, 0, 0, 1528, 8344, 16.976398, 16.976398, 941586
14008, 0, 0, 0, 0, 0, 0, 62261, 62204, 0, 0, 0, 235769, 269303, 377.832489, 15.534545, 955594
17221, 0, 0, 0, 0, 0, 0, 62261, 62204, 0, 0, 0, 236385, 258323, 378.907471, 15.949063, 972815
12564, 0, 0, 0, 0, 0, 0, 62261, 62212, 0, 0, 0, 169356, 382340, 421.265381, 20.205748, 985379
14939, 0, 0, 0, 0, 0, 0, 62261, 62222, 0, 0, 0, 228970, 236260, 484.940094, 16.048643, 1000318
10955, 0, 0, 0, 0, 0, 0, 62261, 62214, 0, 0, 0, 174704, 389991, 415.348206, 15.684229, 1011273
10280, 0, 0, 0, 0, 0, 0, 62261, 62208, 0, 0, 0, 223975, 299862, 377.040314, 16.539322, 1021553
11544, 0, 0, 0, 0, 0, 0, 62261, 62222, 0, 0, 0, 244609, 257849, 458.848572, 16.588627, 1033097
9335, 0, 0, 0, 0, 0, 0, 62261, 62220, 0, 0, 0, 211079, 215605, 401.359528, 15.140233, 1042432
9984, 0, 0, 0, 0, 0, 0, 62261, 62220, 0, 0, 0, 215160, 215553, 425.832947, 15.695456, 1052416
16116, 0, 0, 0, 0, 0, 0, 62261, 62222, 0, 0, 0, 242896, 272043, 562.189148, 14.916828, 1068532
9639, 0, 0, 0, 0, 0, 0, 62261, 62216, 0, 0, 0, 194892, 208869, 408.048279, 17.794754, 1078171
10570, 0, 0, 0, 0, 0, 0, 62261, 62216, 0, 0, 0, 198805, 201993, 404.343811, 16.199396, 1088741
13042, 0, 0, 0, 0, 0, 0, 62261, 62222, 0, 0, 0, 216269, 250972, 460.709015, 15.173077, 1101783
11297, 0, 0, 0, 0, 0, 0, 62261, 62218, 0, 0, 0, 204743, 207741, 443.371552, 15.217175, 1113080
12443, 0, 0, 0, 0, 0, 0, 62261, 62222, 0, 0, 0, 219616, 220140, 435.373505, 14.971379, 1125523
11288, 0, 0, 0, 0, 0, 0, 62261, 62220, 0, 0, 0, 207400, 225611, 442.554016, 16.667353, 1136811
16414, 0, 0, 0, 0, 0, 0, 62261, 62222, 0, 0, 0, 215783, 220384, 549.285583, 15.558430, 1153225
16125, 0, 0, 0, 0, 0, 0, 62261, 62218, 0, 0, 0, 820007, 838017, 395.851990, 13.905422, 1169350
11359, 0, 0, 0, 0, 0, 0, 62261, 62220, 0, 0, 0, 200963, 201372, 446.177246, 14.534402, 1180709
11960, 0, 0, 0, 0, 0, 0, 62261, 62222, 0, 0, 0, 205454, 242355, 450.497620, 17.560812, 1192669
1425, 0, 0, 0, 0, 0, 0, 62261, 7867, 0, 0, 0, 16, 21447, 15.518351, 15.518351, 1194094
15828, 0, 0, 0, 0, 0, 0, 62261, 62222, 0, 0, 0, 210831, 217351, 487.421173, 19.058027, 1209922
