querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
138561, 0, 0, 0, 0, 0, 0, 25453, 24972, 0, 0, 0, 1937910, 89997939, 56.979244, 45.758892, 138561
78398, 0, 0, 0, 0, 0, 0, 25453, 22501, 0, 0, 0, 602502, 71358495, 37.075504, 31.651720, 216959
58765, 0, 0, 0, 0, 0, 0, 25453, 16652, 0, 0, 0, 542225, 57530259, 27.509565, 27.509565, 275724
59908, 0, 0, 0, 0, 0, 0, 25453, 17934, 0, 0, 0, 1478867, 50942227, 30.239332, 23.646791, 335632
4857, 0, 0, 0, 0, 0, 0, 25453, 2145, 0, 0, 0, 218, 3818860, 1.067272, 1.062729, 340489
129214, 0, 0, 0, 0, 0, 0, 25453, 25209, 0, 0, 0, 3241263, 94821039, 45.992805, 38.349384, 469703
77030, 0, 0, 0, 0, 0, 0, 25453, 18950, 0, 0, 0, 2139688, 69020357, 28.215652, 26.243298, 546733
21017, 0, 0, 0, 0, 0, 0, 25453, 7955, 0, 0, 0, 150264, 15777988, 10.864449, 9.777862, 567750
7065, 0, 0, 0, 0, 0, 0, 25453, 2998, 0, 0, 0, 2807, 4949651, 6.357724, 5.602267, 574815
65471, 0, 0, 0, 0, 0, 0, 25453, 20444, 0, 0, 0, 814000, 61807477, 32.744781, 24.724426, 640286
51366, 0, 0, 0, 0, 0, 0, 25453, 20592, 0, 0, 0, 439945, 51386408, 30.879475, 17.586506, 691652
102349, 0, 0, 0, 0, 0, 0, 25453, 21925, 0, 0, 0, 3134166, 83105717, 29.762897, 29.762897, 794001
36393, 0, 0, 0, 0, 0, 0, 25453, 14684, 0, 0, 0, 161406, 39204609, 22.242432, 19.024351, 830394
124429, 0, 0, 0, 0, 0, 0, 25453, 25364, 0, 0, 0, 2647148, 97809592, 50.850830, 38.455406, 954823
108077, 0, 0, 0, 0, 0, 0, 25453, 23086, 0, 0, 0, 3960075, 83586037, 49.028385, 40.038719, 1062900
137429, 0, 0, 0, 0, 0, 0, 25453, 23584, 0, 0, 0, 8528784, 89815834, 41.392410, 41.392410, 1200329
123981, 0, 0, 0, 0, 0, 0, 25453, 24713, 0, 0, 0, 4701055, 89356169, 47.771755, 42.017906, 1324310
91714, 0, 0, 0, 0, 0, 0, 25453, 24259, 0, 0, 0, 1947126, 78862792, 47.936363, 35.950954, 1416024
24358, 0, 0, 0, 0, 0, 0, 25453, 11514, 0, 0, 0, 233472, 24571080, 16.639025, 12.127181, 1440382
177104, 0, 0, 0, 0, 0, 0, 25453, 25360, 0, 0, 0, 13535726, 96158886, 64.165550, 42.290161, 1617486
103530, 0, 0, 0, 0, 0, 0, 25453, 23944, 0, 0, 0, 2459181, 90426817, 41.540337, 41.540337, 1721016
90618, 0, 0, 0, 0, 0, 0, 25453, 21583, 0, 0, 0, 2790280, 76907653, 28.513462, 26.595650, 1811634
39927, 0, 0, 0, 0, 0, 0, 25453, 18180, 0, 0, 0, 68771, 43984260, 29.008221, 22.826756, 1851561
8259, 0, 0, 0, 0, 0, 0, 25453, 5602, 0, 0, 0, 26650, 6373083, 9.339540, 6.481960, 1859820
68183, 0, 0, 0, 0, 0, 0, 25453, 20085, 0, 0, 0, 381018, 69360982, 36.380516, 28.055147, 1928003
121083, 0, 0, 0, 0, 0, 0, 25453, 25364, 0, 0, 0, 4457758, 94819301, 50.566563, 36.819664, 2049086
81404, 0, 0, 0, 0, 0, 0, 25453, 22178, 0, 0, 0, 997715, 75363440, 39.162300, 35.896297, 2130490
88171, 0, 0, 0, 0, 0, 0, 25453, 21204, 0, 0, 0, 1151036, 77490170, 29.587273, 28.109751, 2218661
54801, 0, 0, 0, 0, 0, 0, 25453, 22067, 0, 0, 0, 500838, 51955525, 45.633404, 31.866488, 2273462
130037, 0, 0, 0, 0, 0, 0, 25453, 23823, 0, 0, 0, 8185105, 86171670, 59.050282, 46.889095, 2403499
160831, 0, 0, 0, 0, 0, 0, 25453, 25240, 0, 0, 0, 9931512, 98601041, 56.318584, 55.955456, 2564330
40459, 0, 0, 0, 0, 0, 0, 25453, 12604, 0, 0, 0, 88426, 43462528, 25.360928, 25.360928, 2604789
30498, 0, 0, 0, 0, 0, 0, 25453, 9619, 0, 0, 0, 290949, 27511887, 26.992706, 17.977362, 2635287
96162, 0, 0, 0, 0, 0, 0, 25453, 21152, 0, 0, 0, 2890061, 78351971, 35.640266, 34.034847, 2731449
43385, 0, 0, 0, 0, 0, 0, 25453, 13460, 0, 0, 0, 177552, 44628164, 23.669573, 23.007076, 2774834
77616, 0, 0, 0, 0, 0, 0, 25453, 22125, 0, 0, 0, 1352562, 71594722, 43.284760, 31.295284, 2852450
61256, 0, 0, 0, 0, 0, 0, 25453, 22494, 0, 0, 0, 532624, 61768478, 37.443577, 28.594110, 2913706
92947, 0, 0, 0, 0, 0, 0, 25453, 24726, 0, 0, 0, 821556, 85839475, 39.096390, 31.030716, 3006653
100034, 0, 0, 0, 0, 0, 0, 25453, 25364, 0, 0, 0, 1022278, 90376987, 72.768562, 39.348129, 3106687
55646, 0, 0, 0, 0, 0, 0, 25453, 18131, 0, 0, 0, 542513, 53631652, 27.432215, 24.147123, 3162333
63275, 0, 0, 0, 0, 0, 0, 25453, 18795, 0, 0, 0, 1121771, 56237679, 33.396126, 26.751387, 3225608
44844, 0, 0, 0, 0, 0, 0, 25453, 16759, 0, 0, 0, 1080824, 39691851, 28.414724, 20.446857, 3270452
