querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
104775, 0, 0, 0, 0, 0, 0, 1045, 960, 0, 0, 0, 4999924, 4999932, 377.782990, 339.123474, 104775
1903, 0, 0, 0, 0, 0, 0, 1045, 280, 0, 0, 0, 9, 201463, 0.365176, 0.365176, 106678
74802, 0, 0, 0, 0, 0, 0, 1045, 960, 0, 0, 0, 4287470, 4999932, 315.564270, 304.093292, 181480
1047, 0, 0, 0, 0, 0, 0, 1045, 292, 0, 0, 0, 11, 229306, 1.638407, 1.638407, 182527
43362, 0, 0, 0, 0, 0, 0, 1045, 960, 0, 0, 0, 2603365, 4999932, 202.955765, 194.679367, 225889
42283, 0, 0, 0, 0, 0, 0, 1045, 960, 0, 0, 0, 3001354, 4999932, 191.787735, 187.058197, 268172
1876, 0, 0, 0, 0, 0, 0, 1045, 260, 0, 0, 0, 14, 39022, 3.834274, 3.834274, 270048
1145, 0, 0, 0, 0, 0, 0, 1045, 256, 0, 0, 0, 12, 37370, 1.939525, 1.939525, 271193
1739, 0, 0, 0, 0, 0, 0, 1045, 284, 0, 0, 0, 271, 271999, 1.173810, 0.892899, 272932
54761, 0, 0, 0, 0, 0, 0, 1045, 960, 0, 0, 0, 4513291, 4999932, 331.407013, 251.284012, 327693
1306, 0, 0, 0, 0, 0, 0, 1045, 280, 0, 0, 0, 873, 232067, 2.836900, 1.697101, 328999
1559, 0, 0, 0, 0, 0, 0, 1045, 268, 0, 0, 0, 94, 70265, 0.167392, 0.119568, 330558
76659, 0, 0, 0, 0, 0, 0, 1045, 960, 0, 0, 0, 4994962, 4999932, 369.049316, 322.906403, 407217
2250, 0, 0, 0, 0, 0, 0, 1045, 300, 0, 0, 0, 296, 356168, 3.692804, 3.514809, 409467
1560, 0, 0, 0, 0, 0, 0, 1045, 308, 0, 0, 0, 137, 260436, 6.178798, 6.178798, 411027
1568, 0, 0, 0, 0, 0, 0, 1045, 260, 0, 0, 0, 810, 316262, 4.909386, 4.848814, 412595
3009, 0, 0, 0, 0, 0, 0, 1045, 556, 0, 0, 0, 2713, 1877963, 102.810822, 102.810822, 415604
5688, 0, 0, 0, 0, 0, 0, 1045, 408, 0, 0, 0, 27571, 964464, 14.513070, 12.769119, 421292
53154, 0, 0, 0, 0, 0, 0, 1045, 960, 0, 0, 0, 3919066, 4999932, 313.691437, 253.340515, 474446
2744, 0, 0, 0, 0, 0, 0, 1045, 264, 0, 0, 0, 2293, 224513, 6.619101, 5.605164, 477190
1902, 0, 0, 0, 0, 0, 0, 1045, 276, 0, 0, 0, 577, 198106, 2.319895, 2.319895, 479092
30922, 0, 0, 0, 0, 0, 0, 1045, 960, 0, 0, 0, 2173832, 4999932, 152.051163, 151.521957, 510014
80693, 0, 0, 0, 0, 0, 0, 1045, 960, 0, 0, 0, 4999916, 4999932, 374.775452, 338.448639, 590707
1762, 0, 0, 0, 0, 0, 0, 1045, 260, 0, 0, 0, 74, 67490, 2.269612, 1.670906, 592469
21391, 0, 0, 0, 0, 0, 0, 1045, 612, 0, 0, 0, 420567, 2323696, 112.993843, 108.396286, 613860
2835, 0, 0, 0, 0, 0, 0, 1045, 288, 0, 0, 0, 73, 164331, 0.887677, 0.887677, 616695
1503, 0, 0, 0, 0, 0, 0, 1045, 260, 0, 0, 0, 149, 111561, 5.915697, 5.915697, 618198
2539, 0, 0, 0, 0, 0, 0, 1045, 280, 0, 0, 0, 477, 203709, 0.362603, 0.362603, 620737
1672, 0, 0, 0, 0, 0, 0, 1045, 280, 0, 0, 0, 39, 106010, 0.670129, 0.480697, 622409
79886, 0, 0, 0, 0, 0, 0, 1045, 960, 0, 0, 0, 4999932, 4999932, 343.607391, 325.659393, 702295
21673, 0, 0, 0, 0, 0, 0, 1045, 300, 0, 0, 0, 213833, 588949, 37.621296, 35.937546, 723968
9027, 0, 0, 0, 0, 0, 0, 1045, 692, 0, 0, 0, 126651, 2384964, 120.866615, 114.644341, 732995
5939, 0, 0, 0, 0, 0, 0, 1045, 844, 0, 0, 0, 1440, 3856680, 122.458908, 115.778435, 738934
4112, 0, 0, 0, 0, 0, 0, 1045, 264, 0, 0, 0, 3199, 130350, 19.180494, 18.711533, 743046
13890, 0, 0, 0, 0, 0, 0, 1045, 492, 0, 0, 0, 274119, 1416578, 95.402374, 95.382973, 756936
