querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
14378, 0, 0, 0, 0, 0, 0, 79, 57, 0, 0, 0, 11603, 92365, 175.216599, 158.258011, 14378
6742, 0, 0, 0, 0, 0, 0, 79, 57, 0, 0, 0, 11271, 92597, 205.214050, 181.711288, 21120
1247, 0, 0, 0, 0, 0, 0, 79, 57, 0, 0, 0, 11, 53612, 85.829346, 85.829346, 22367
1962, 0, 0, 0, 0, 0, 0, 79, 57, 0, 0, 0, 1334, 92293, 144.631836, 101.962402, 24329
1441, 0, 0, 0, 0, 0, 0, 79, 57, 0, 0, 0, 196, 91972, 148.433670, 147.802338, 25770
8382, 0, 0, 0, 0, 0, 0, 79, 57, 0, 0, 0, 24269, 77024, 183.378067, 183.378067, 34152
630, 0, 0, 0, 0, 0, 0, 79, 57, 0, 0, 0, 14, 52033, 91.945007, 91.945007, 34782
1309, 0, 0, 0, 0, 0, 0, 79, 57, 0, 0, 0, 191, 91979, 135.380249, 135.380249, 36091
1191, 0, 0, 0, 0, 0, 0, 79, 57, 0, 0, 0, 815, 92017, 149.930862, 93.383339, 37282
797, 0, 0, 0, 0, 0, 0, 79, 57, 0, 0, 0, 77, 54954, 143.090027, 143.090027, 38079
919, 0, 0, 0, 0, 0, 0, 79, 57, 0, 0, 0, 13, 55582, 81.118790, 53.414455, 38998
432, 0, 0, 0, 0, 0, 0, 79, 57, 0, 0, 0, 13, 27101, 44.603924, 44.603924, 39430
1322, 0, 0, 0, 0, 0, 0, 79, 57, 0, 0, 0, 1446, 92048, 146.280670, 146.280670, 40752
977, 0, 0, 0, 0, 0, 0, 79, 57, 0, 0, 0, 70, 91972, 116.066116, 116.066116, 41729
1418, 0, 0, 0, 0, 0, 0, 79, 57, 0, 0, 0, 107, 81039, 124.161308, 92.917755, 43147
1316, 0, 0, 0, 0, 0, 0, 79, 57, 0, 0, 0, 214, 91935, 136.933807, 111.920464, 44463
3267, 0, 0, 0, 0, 0, 0, 79, 57, 0, 0, 0, 14268, 92375, 194.605789, 194.605789, 47730
1208, 0, 0, 0, 0, 0, 0, 79, 57, 0, 0, 0, 1325, 92320, 167.043060, 111.665497, 48938
896, 0, 0, 0, 0, 0, 0, 79, 57, 0, 0, 0, 200, 65763, 100.937386, 100.937386, 49834
