querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
78262, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3630307, 4098682, 248.651733, 243.993118, 78262
45731, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3374586, 4098682, 304.201385, 150.606842, 123993
63556, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3881621, 4098682, 292.284576, 218.079254, 187549
58791, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3851103, 4098682, 264.664429, 214.058014, 246340
56838, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3960366, 4098682, 255.994888, 239.503143, 303178
55168, 0, 0, 0, 0, 0, 0, 664, 515, 0, 0, 0, 3620901, 4066491, 224.398438, 196.681702, 358346
47666, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3745180, 4098682, 253.023804, 228.887695, 406012
57704, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3865987, 4098682, 281.805328, 234.888641, 463716
41018, 0, 0, 0, 0, 0, 0, 664, 511, 0, 0, 0, 2564305, 4066493, 213.987686, 160.424606, 504734
59258, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3979084, 4098682, 307.663086, 231.059952, 563992
46168, 0, 0, 0, 0, 0, 0, 664, 511, 0, 0, 0, 2714382, 4066485, 205.377396, 178.847961, 610160
7128, 0, 0, 0, 0, 0, 0, 664, 500, 0, 0, 0, 59062, 4019661, 140.307770, 113.034195, 617288
58091, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3836820, 4098682, 267.059998, 229.595108, 675379
54332, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3541162, 4066491, 259.207977, 175.587906, 729711
45867, 0, 0, 0, 0, 0, 0, 664, 515, 0, 0, 0, 3515382, 4066487, 227.363937, 165.262939, 775578
48388, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3661877, 4098682, 261.875366, 219.725189, 823966
56219, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 4077683, 4098682, 255.992950, 255.989914, 880185
59723, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 4080049, 4098682, 249.528671, 236.959122, 939908
55851, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 4029428, 4098682, 308.019287, 255.837036, 995759
56934, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3951662, 4098682, 255.998322, 216.517807, 1052693
63433, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 4095593, 4098683, 255.992523, 255.991608, 1116126
48436, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3662735, 4068655, 244.018890, 187.160324, 1164562
56602, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 4073619, 4098682, 255.994263, 232.524597, 1221164
61834, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 4061613, 4098682, 255.995483, 250.405807, 1282998
40994, 0, 0, 0, 0, 0, 0, 664, 513, 0, 0, 0, 3052161, 4066490, 221.319504, 190.958176, 1323992
64904, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3936627, 4098682, 306.187195, 243.094238, 1388896
52733, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3818566, 4098682, 304.687683, 236.400620, 1441629
44790, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3718858, 4068655, 269.299896, 215.161865, 1486419
28630, 0, 0, 0, 0, 0, 0, 664, 503, 0, 0, 0, 2137574, 4055883, 100.596619, 87.816536, 1515049
41401, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3034589, 4063257, 248.387665, 122.827507, 1556450
54907, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3767724, 4098682, 276.307983, 230.207031, 1611357
31026, 0, 0, 0, 0, 0, 0, 664, 515, 0, 0, 0, 3103416, 4065333, 220.737640, 157.214432, 1642383
27941, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 1244053, 4065330, 206.745804, 121.485962, 1670324
44406, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 2891474, 4098682, 140.488724, 109.317291, 1714730
51809, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3677821, 4098682, 286.348724, 199.947586, 1766539
55956, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3997271, 4098682, 325.123566, 223.902496, 1822495
42921, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3555970, 4098682, 282.524292, 217.547638, 1865416
42220, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 2740131, 4066493, 262.196686, 192.676620, 1907636
43948, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3486126, 4067601, 287.870514, 190.665359, 1951584
54908, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3287746, 4098680, 218.352112, 135.844391, 2006492
37020, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3367036, 4098682, 261.748138, 143.709915, 2043512
52593, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3951211, 4098682, 285.611572, 220.630966, 2096105
39433, 0, 0, 0, 0, 0, 0, 664, 508, 0, 0, 0, 2713426, 4063229, 166.099533, 107.220512, 2135538
54900, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3759649, 4098682, 226.707870, 187.090179, 2190438
54615, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3955609, 4098682, 242.743073, 209.030350, 2245053
57215, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3952817, 4098682, 278.021606, 214.924423, 2302268
53733, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3823134, 4066491, 234.271667, 199.142838, 2356001
53624, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 4075595, 4098682, 299.834381, 255.634399, 2409625
38498, 0, 0, 0, 0, 0, 0, 664, 511, 0, 0, 0, 2735951, 4061099, 176.493927, 98.236717, 2448123
55832, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 4042528, 4098682, 255.995728, 241.936005, 2503955
38464, 0, 0, 0, 0, 0, 0, 664, 511, 0, 0, 0, 2761471, 4065330, 219.844116, 180.632614, 2542419
47551, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3116742, 4098682, 135.702042, 120.998077, 2589970
34150, 0, 0, 0, 0, 0, 0, 664, 511, 0, 0, 0, 2576246, 4065332, 207.303848, 158.858978, 2624120
46483, 0, 0, 0, 0, 0, 0, 664, 511, 0, 0, 0, 2716830, 4065330, 185.169998, 163.453400, 2670603
54537, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 4022384, 4098682, 255.990372, 225.491440, 2725140
54042, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3802881, 4098682, 288.802277, 245.684128, 2779182
54634, 0, 0, 0, 0, 0, 0, 664, 579, 0, 0, 0, 3839016, 4098682, 286.244690, 242.841888, 2833816
