querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
124903, 0, 0, 0, 0, 0, 0, 15681, 12428, 0, 0, 0, 3547871, 68932415, 60.157814, 51.895206, 124903
40096, 0, 0, 0, 0, 0, 0, 15681, 9228, 0, 0, 0, 304984, 38369003, 40.424606, 36.224583, 164999
14485, 0, 0, 0, 0, 0, 0, 15681, 4752, 0, 0, 0, 148629, 13164543, 24.047432, 19.078072, 179484
28433, 0, 0, 0, 0, 0, 0, 15681, 8680, 0, 0, 0, 100692, 29769183, 23.773729, 21.251453, 207917
54830, 0, 0, 0, 0, 0, 0, 15681, 12116, 0, 0, 0, 516279, 56028287, 37.884354, 30.531570, 262747
159513, 0, 0, 0, 0, 0, 0, 15681, 15596, 0, 0, 0, 8106012, 99522537, 72.426529, 64.408295, 422260
104832, 0, 0, 0, 0, 0, 0, 15681, 14788, 0, 0, 0, 2674597, 84962960, 66.858040, 55.455639, 527092
13219, 0, 0, 0, 0, 0, 0, 15681, 4672, 0, 0, 0, 36574, 14378091, 20.820322, 18.778326, 540311
120899, 0, 0, 0, 0, 0, 0, 15681, 15596, 0, 0, 0, 2643391, 99536685, 103.408600, 56.610981, 661210
29580, 0, 0, 0, 0, 0, 0, 15681, 6432, 0, 0, 0, 183634, 29259031, 38.914787, 35.827148, 690790
50115, 0, 0, 0, 0, 0, 0, 15681, 12852, 0, 0, 0, 244702, 53502539, 33.062172, 29.562952, 740905
79813, 0, 0, 0, 0, 0, 0, 15681, 15572, 0, 0, 0, 889224, 79678025, 57.904320, 40.874527, 820718
30678, 0, 0, 0, 0, 0, 0, 15681, 7112, 0, 0, 0, 358346, 27141490, 29.676167, 25.919353, 851396
33043, 0, 0, 0, 0, 0, 0, 15681, 8748, 0, 0, 0, 228079, 32701787, 40.416481, 31.971146, 884439
80964, 0, 0, 0, 0, 0, 0, 15681, 14236, 0, 0, 0, 1530936, 80040860, 34.025208, 34.025208, 965403
103758, 0, 0, 0, 0, 0, 0, 15681, 14364, 0, 0, 0, 3516550, 82564340, 49.957634, 47.194710, 1069161
35886, 0, 0, 0, 0, 0, 0, 15681, 5500, 0, 0, 0, 1287654, 29583534, 33.831337, 33.831337, 1105047
72021, 0, 0, 0, 0, 0, 0, 15681, 13344, 0, 0, 0, 822732, 65845863, 47.423588, 39.507542, 1177068
32162, 0, 0, 0, 0, 0, 0, 15681, 7040, 0, 0, 0, 253654, 34199780, 23.425003, 23.175106, 1209230
9921, 0, 0, 0, 0, 0, 0, 15681, 2988, 0, 0, 0, 3367, 9317356, 12.651013, 11.921935, 1219151
