querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
587565, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 35636953, 35851641, 307.130707, 197.435623, 587565
30881, 0, 0, 0, 0, 0, 0, 6057, 5936, 0, 0, 0, 56236, 29556086, 142.408142, 104.374077, 618446
252862, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 22424503, 35851641, 217.766678, 180.244370, 871308
364353, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 30270529, 35851641, 324.303589, 197.705109, 1235661
54311, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 579662, 35851641, 217.871597, 143.106445, 1289972
401090, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 35846978, 35851641, 371.683533, 252.393982, 1691062
250770, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 27808447, 35851641, 220.192749, 161.773712, 1941832
467483, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 35849265, 35851641, 342.959961, 255.999405, 2409315
402519, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 34801565, 35851641, 330.225403, 226.760895, 2811834
306094, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 33522516, 35851641, 229.606262, 149.130676, 3117928
355524, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 34108444, 35851641, 208.587753, 177.441116, 3473452
98309, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 15380553, 35851641, 90.955940, 25.845432, 3571761
450888, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 35851641, 35851641, 336.044128, 255.999283, 4022649
419371, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 33733810, 35851641, 266.424805, 226.074783, 4442020
224036, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 24238642, 35851641, 222.479568, 169.612091, 4666056
309140, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 30902360, 35851641, 213.480957, 196.722839, 4975196
392469, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 35044714, 35851641, 299.721619, 250.125244, 5367665
189714, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 17863474, 35851641, 231.034027, 180.750031, 5557379
422227, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 35390084, 35851641, 320.555817, 255.998093, 5979606
390219, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 34748183, 35851641, 242.005066, 226.219086, 6369825
358784, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 35666996, 35851641, 340.658905, 191.079590, 6728609
365714, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 31468186, 35851641, 268.991882, 183.750427, 7094323
379138, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 34555690, 35851641, 276.361481, 191.238388, 7473461
178653, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 16709250, 35851641, 203.781464, 169.300964, 7652114
134991, 0, 0, 0, 0, 0, 0, 6057, 5972, 0, 0, 0, 12595855, 35851641, 204.685776, 147.730011, 7787105
8499, 0, 0, 0, 0, 0, 0, 6057, 1428, 0, 0, 0, 27732, 8962742, 121.092766, 88.271461, 7795604
