querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
87617, 0, 0, 0, 0, 0, 0, 1776, 1729, 0, 0, 0, 4162122, 4999879, 357.186920, 339.123413, 87617
1612, 0, 0, 0, 0, 0, 0, 1776, 262, 0, 0, 0, 25, 10865, 0.365176, 0.365176, 89229
65260, 0, 0, 0, 0, 0, 0, 1776, 1729, 0, 0, 0, 3595143, 4987173, 354.278442, 304.093292, 154489
1551, 0, 0, 0, 0, 0, 0, 1776, 262, 0, 0, 0, 27, 10436, 1.638407, 1.638407, 156040
22150, 0, 0, 0, 0, 0, 0, 1776, 1671, 0, 0, 0, 1210491, 3855210, 227.377075, 194.679367, 178190
18144, 0, 0, 0, 0, 0, 0, 1776, 1550, 0, 0, 0, 752552, 3534691, 210.345245, 187.058197, 196334
1281, 0, 0, 0, 0, 0, 0, 1776, 290, 0, 0, 0, 13, 19936, 3.834274, 3.834274, 197615
2172, 0, 0, 0, 0, 0, 0, 1776, 262, 0, 0, 0, 35, 47839, 1.939525, 1.939525, 199787
2467, 0, 0, 0, 0, 0, 0, 1776, 268, 0, 0, 0, 268, 42862, 0.892898, 0.892898, 202254
23287, 0, 0, 0, 0, 0, 0, 1776, 1729, 0, 0, 0, 1203066, 4966400, 323.156738, 251.283997, 225541
3075, 0, 0, 0, 0, 0, 0, 1776, 278, 0, 0, 0, 202, 45409, 1.697101, 1.697101, 228616
2474, 0, 0, 0, 0, 0, 0, 1776, 294, 0, 0, 0, 418, 98138, 0.164868, 0.119568, 231090
59264, 0, 0, 0, 0, 0, 0, 1776, 1729, 0, 0, 0, 3687062, 4997668, 330.504272, 322.906403, 290354
2534, 0, 0, 0, 0, 0, 0, 1776, 345, 0, 0, 0, 315, 216517, 3.684936, 3.514809, 292888
2724, 0, 0, 0, 0, 0, 0, 1776, 379, 0, 0, 0, 238, 347128, 7.634725, 6.178798, 295612
2658, 0, 0, 0, 0, 0, 0, 1776, 303, 0, 0, 0, 277, 198730, 4.848814, 4.848814, 298270
3719, 0, 0, 0, 0, 0, 0, 1776, 1074, 0, 0, 0, 50, 2007704, 102.810837, 102.810837, 301989
3631, 0, 0, 0, 0, 0, 0, 1776, 395, 0, 0, 0, 302, 390567, 13.873386, 12.769118, 305620
27157, 0, 0, 0, 0, 0, 0, 1776, 1729, 0, 0, 0, 1086340, 4969496, 298.859314, 253.340530, 332777
3109, 0, 0, 0, 0, 0, 0, 1776, 268, 0, 0, 0, 170, 82188, 5.605164, 5.605164, 335886
2710, 0, 0, 0, 0, 0, 0, 1776, 274, 0, 0, 0, 342, 117654, 2.319895, 2.319895, 338596
14104, 0, 0, 0, 0, 0, 0, 1776, 1465, 0, 0, 0, 343423, 2872921, 159.940308, 151.521973, 352700
60068, 0, 0, 0, 0, 0, 0, 1776, 1729, 0, 0, 0, 3970668, 4999784, 354.390625, 338.448669, 412768
2680, 0, 0, 0, 0, 0, 0, 1776, 262, 0, 0, 0, 30, 26003, 1.670906, 1.670906, 415448
13950, 0, 0, 0, 0, 0, 0, 1776, 972, 0, 0, 0, 265763, 2013159, 128.912415, 108.396278, 429398
2964, 0, 0, 0, 0, 0, 0, 1776, 268, 0, 0, 0, 68, 38788, 0.887677, 0.887677, 432362
2243, 0, 0, 0, 0, 0, 0, 1776, 280, 0, 0, 0, 46, 111335, 5.915697, 5.915697, 434605
2301, 0, 0, 0, 0, 0, 0, 1776, 294, 0, 0, 0, 522, 84044, 0.362603, 0.362603, 436906
2661, 0, 0, 0, 0, 0, 0, 1776, 274, 0, 0, 0, 72, 50409, 0.544968, 0.480697, 439567
57893, 0, 0, 0, 0, 0, 0, 1776, 1729, 0, 0, 0, 3589812, 4998585, 347.777985, 325.659454, 497460
14275, 0, 0, 0, 0, 0, 0, 1776, 367, 0, 0, 0, 48506, 622473, 35.937550, 35.937550, 511735
4290, 0, 0, 0, 0, 0, 0, 1776, 1228, 0, 0, 0, 13500, 2114997, 128.892349, 114.644341, 516025
5294, 0, 0, 0, 0, 0, 0, 1776, 1442, 0, 0, 0, 70, 3012821, 151.196289, 115.778427, 521319
2768, 0, 0, 0, 0, 0, 0, 1776, 290, 0, 0, 0, 942, 104872, 18.711531, 18.711531, 524087
12652, 0, 0, 0, 0, 0, 0, 1776, 906, 0, 0, 0, 160829, 1737298, 111.894325, 95.383003, 536739
8619, 0, 0, 0, 0, 0, 0, 1776, 416, 0, 0, 0, 79347, 562069, 18.398319, 17.472527, 545358
7315, 0, 0, 0, 0, 0, 0, 1776, 310, 0, 0, 0, 2276, 159669, 1.536813, 1.470447, 552673
13612, 0, 0, 0, 0, 0, 0, 1776, 773, 0, 0, 0, 292272, 1430424, 86.149841, 67.701973, 566285
3137, 0, 0, 0, 0, 0, 0, 1776, 307, 0, 0, 0, 715, 126181, 1.755522, 1.755522, 569422
2984, 0, 0, 0, 0, 0, 0, 1776, 290, 0, 0, 0, 119, 209119, 26.423361, 26.423361, 572406
68177, 0, 0, 0, 0, 0, 0, 1776, 1729, 0, 0, 0, 4999565, 4999891, 386.342041, 345.895233, 640583
5912, 0, 0, 0, 0, 0, 0, 1776, 498, 0, 0, 0, 9412, 835919, 53.962894, 53.962894, 646495
11407, 0, 0, 0, 0, 0, 0, 1776, 1239, 0, 0, 0, 154895, 2690831, 134.901566, 126.116547, 657902
12338, 0, 0, 0, 0, 0, 0, 1776, 355, 0, 0, 0, 62185, 352970, 34.010883, 34.010883, 670240
