querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
46052, 0, 0, 0, 0, 0, 0, 8859, 4420, 0, 0, 0, 155762, 9539464, 180.068680, 160.474472, 46052
14522, 0, 0, 0, 0, 0, 0, 8859, 3932, 0, 0, 0, 93469, 8680668, 145.558014, 140.200012, 60574
3622, 0, 0, 0, 0, 0, 0, 8859, 532, 0, 0, 0, 5576, 726783, 8.134409, 8.134409, 64196
2703, 0, 0, 0, 0, 0, 0, 8859, 548, 0, 0, 0, 7164, 861081, 7.670108, 6.328071, 66899
15347, 0, 0, 0, 0, 0, 0, 8859, 4076, 0, 0, 0, 52065, 8323232, 141.290405, 107.638672, 82246
9505, 0, 0, 0, 0, 0, 0, 8859, 1220, 0, 0, 0, 51966, 2373310, 40.176975, 29.842978, 91751
6154, 0, 0, 0, 0, 0, 0, 8859, 1188, 0, 0, 0, 29844, 1466775, 31.342512, 11.716393, 97905
13948, 0, 0, 0, 0, 0, 0, 8859, 1276, 0, 0, 0, 57879, 1329324, 34.326931, 9.954462, 111853
15775, 0, 0, 0, 0, 0, 0, 8859, 4124, 0, 0, 0, 9148, 8749787, 87.086319, 64.074570, 127628
5488, 0, 0, 0, 0, 0, 0, 8859, 1236, 0, 0, 0, 30113, 2376948, 11.140659, 10.271837, 133116
4626, 0, 0, 0, 0, 0, 0, 8859, 1180, 0, 0, 0, 32819, 2196050, 29.444542, 25.018686, 137742
13396, 0, 0, 0, 0, 0, 0, 8859, 3980, 0, 0, 0, 80019, 7919089, 154.923111, 102.369072, 151138
18865, 0, 0, 0, 0, 0, 0, 8859, 4340, 0, 0, 0, 67247, 9801470, 131.493027, 121.175705, 170003
6479, 0, 0, 0, 0, 0, 0, 8859, 1260, 0, 0, 0, 11526, 2398675, 73.848831, 73.848831, 176482
19110, 0, 0, 0, 0, 0, 0, 8859, 4716, 0, 0, 0, 154848, 9696807, 188.288818, 127.825333, 195592
3259, 0, 0, 0, 0, 0, 0, 8859, 348, 0, 0, 0, 1417, 227929, 7.556457, 7.556457, 198851
3294, 0, 0, 0, 0, 0, 0, 8859, 644, 0, 0, 0, 9190, 1003255, 3.429518, 1.750371, 202145
26540, 0, 0, 0, 0, 0, 0, 8859, 5596, 0, 0, 0, 220272, 9733299, 244.126862, 145.661301, 228685
18778, 0, 0, 0, 0, 0, 0, 8859, 4924, 0, 0, 0, 75486, 9809020, 171.419388, 105.415894, 247463
16891, 0, 0, 0, 0, 0, 0, 8859, 3932, 0, 0, 0, 158947, 9811034, 160.249603, 158.617157, 264354
12297, 0, 0, 0, 0, 0, 0, 8859, 3716, 0, 0, 0, 60302, 8024288, 133.687012, 133.687012, 276651
19392, 0, 0, 0, 0, 0, 0, 8859, 5028, 0, 0, 0, 77772, 9221963, 180.699219, 101.880653, 296043
13194, 0, 0, 0, 0, 0, 0, 8859, 3964, 0, 0, 0, 52869, 8872262, 125.038986, 125.038986, 309237
14352, 0, 0, 0, 0, 0, 0, 8859, 3876, 0, 0, 0, 103191, 8775193, 142.428589, 142.428589, 323589
16391, 0, 0, 0, 0, 0, 0, 8859, 4884, 0, 0, 0, 72134, 8732710, 199.452576, 108.611481, 339980
14311, 0, 0, 0, 0, 0, 0, 8859, 4580, 0, 0, 0, 76925, 8161853, 201.512604, 102.284157, 354291
3265, 0, 0, 0, 0, 0, 0, 8859, 620, 0, 0, 0, 4576, 777651, 3.512812, 3.007715, 357556
21082, 0, 0, 0, 0, 0, 0, 8859, 5244, 0, 0, 0, 210840, 10027481, 218.492065, 135.470551, 378638
3444, 0, 0, 0, 0, 0, 0, 8859, 524, 0, 0, 0, 13968, 794024, 55.545151, 34.015839, 382082
10482, 0, 0, 0, 0, 0, 0, 8859, 3620, 0, 0, 0, 5037, 7569580, 74.786240, 74.786240, 392564
7642, 0, 0, 0, 0, 0, 0, 8859, 2884, 0, 0, 0, 31124, 3913863, 114.172531, 84.753769, 400206
3737, 0, 0, 0, 0, 0, 0, 8859, 476, 0, 0, 0, 8721, 547113, 27.718990, 12.021811, 403943
3596, 0, 0, 0, 0, 0, 0, 8859, 588, 0, 0, 0, 16292, 1224609, 3.697320, 1.861399, 407539
4142, 0, 0, 0, 0, 0, 0, 8859, 564, 0, 0, 0, 34009, 980393, 37.108261, 30.488173, 411681
4236, 0, 0, 0, 0, 0, 0, 8859, 1004, 0, 0, 0, 8096, 1649604, 30.015633, 30.015633, 415917
13912, 0, 0, 0, 0, 0, 0, 8859, 4268, 0, 0, 0, 99948, 8267226, 193.880127, 133.739029, 429829
3712, 0, 0, 0, 0, 0, 0, 8859, 908, 0, 0, 0, 10583, 1167998, 60.796539, 40.502655, 433541
10891, 0, 0, 0, 0, 0, 0, 8859, 3628, 0, 0, 0, 23506, 7055252, 111.958939, 81.870430, 444432
8832, 0, 0, 0, 0, 0, 0, 8859, 3124, 0, 0, 0, 7571, 6108453, 76.576378, 76.576378, 453264
6769, 0, 0, 0, 0, 0, 0, 8859, 1300, 0, 0, 0, 55637, 2845957, 90.721931, 62.829517, 460033
12839, 0, 0, 0, 0, 0, 0, 8859, 4388, 0, 0, 0, 41879, 7087348, 201.999481, 69.948853, 472872
25925, 0, 0, 0, 0, 0, 0, 8859, 5196, 0, 0, 0, 302291, 11728481, 217.603973, 206.932312, 498797
3108, 0, 0, 0, 0, 0, 0, 8859, 532, 0, 0, 0, 4309, 685437, 8.899741, 6.080228, 501905
16096, 0, 0, 0, 0, 0, 0, 8859, 4756, 0, 0, 0, 132548, 8362535, 205.437744, 118.657883, 518001
10197, 0, 0, 0, 0, 0, 0, 8859, 3668, 0, 0, 0, 76335, 6981229, 150.093964, 109.988220, 528198
24719, 0, 0, 0, 0, 0, 0, 8859, 5036, 0, 0, 0, 304732, 11815603, 212.281784, 205.662186, 552917
4763, 0, 0, 0, 0, 0, 0, 8859, 1060, 0, 0, 0, 11886, 1875627, 26.828445, 26.828445, 557680
4637, 0, 0, 0, 0, 0, 0, 8859, 1036, 0, 0, 0, 14631, 1797188, 11.574409, 7.392575, 562317
4439, 0, 0, 0, 0, 0, 0, 8859, 1220, 0, 0, 0, 34315, 1912817, 27.795717, 7.952715, 566756
18345, 0, 0, 0, 0, 0, 0, 8859, 4508, 0, 0, 0, 165411, 10068539, 179.253540, 168.719681, 585101
2983, 0, 0, 0, 0, 0, 0, 8859, 508, 0, 0, 0, 1910, 595693, 2.955384, 2.912158, 588084
4296, 0, 0, 0, 0, 0, 0, 8859, 820, 0, 0, 0, 12957, 993772, 63.393425, 21.497225, 592380
3571, 0, 0, 0, 0, 0, 0, 8859, 588, 0, 0, 0, 19312, 1151302, 50.463997, 50.463997, 595951
3580, 0, 0, 0, 0, 0, 0, 8859, 764, 0, 0, 0, 4535, 1129061, 4.195183, 4.195183, 599531
3666, 0, 0, 0, 0, 0, 0, 8859, 764, 0, 0, 0, 6677, 1329988, 7.198107, 5.618197, 603197
2457, 0, 0, 0, 0, 0, 0, 8859, 436, 0, 0, 0, 2887, 426203, 7.487675, 7.487675, 605654
6718, 0, 0, 0, 0, 0, 0, 8859, 1300, 0, 0, 0, 61105, 3017585, 115.065430, 79.015854, 612372
2948, 0, 0, 0, 0, 0, 0, 8859, 540, 0, 0, 0, 2751, 696676, 5.449315, 5.449315, 615320
3867, 0, 0, 0, 0, 0, 0, 8859, 732, 0, 0, 0, 2827, 1144276, 2.099312, 2.099312, 619187
2865, 0, 0, 0, 0, 0, 0, 8859, 532, 0, 0, 0, 2729, 680134, 2.960320, 2.960320, 622052
33136, 0, 0, 0, 0, 0, 0, 8859, 5708, 0, 0, 0, 439878, 13064062, 246.435486, 221.596939, 655188
4839, 0, 0, 0, 0, 0, 0, 8859, 1852, 0, 0, 0, 3659, 1711464, 41.022182, 41.022182, 660027
2908, 0, 0, 0, 0, 0, 0, 8859, 468, 0, 0, 0, 1901, 542468, 40.425415, 36.958199, 662935
10910, 0, 0, 0, 0, 0, 0, 8859, 4020, 0, 0, 0, 47143, 7571677, 166.439285, 87.935211, 673845
3647, 0, 0, 0, 0, 0, 0, 8859, 548, 0, 0, 0, 5825, 747087, 9.904656, 6.790058, 677492
10076, 0, 0, 0, 0, 0, 0, 8859, 3012, 0, 0, 0, 58950, 5579344, 127.853561, 104.056076, 687568
5166, 0, 0, 0, 0, 0, 0, 8859, 1356, 0, 0, 0, 46265, 1390820, 34.091347, 3.428796, 692734
18181, 0, 0, 0, 0, 0, 0, 8859, 4388, 0, 0, 0, 89228, 9572420, 157.220398, 131.509552, 710915
26753, 0, 0, 0, 0, 0, 0, 8859, 5780, 0, 0, 0, 218852, 11268951, 232.173355, 157.545837, 737668
4658, 0, 0, 0, 0, 0, 0, 8859, 580, 0, 0, 0, 30189, 1016387, 45.686100, 45.686100, 742326
5949, 0, 0, 0, 0, 0, 0, 8859, 1196, 0, 0, 0, 30246, 1894374, 56.289047, 46.988949, 748275
4263, 0, 0, 0, 0, 0, 0, 8859, 1068, 0, 0, 0, 10064, 1878691, 31.437090, 29.668463, 752538
2644, 0, 0, 0, 0, 0, 0, 8859, 444, 0, 0, 0, 1176, 389788, 7.746819, 7.746819, 755182
22103, 0, 0, 0, 0, 0, 0, 8859, 6156, 0, 0, 0, 256330, 10406705, 254.325653, 160.249359, 777285
9107, 0, 0, 0, 0, 0, 0, 8859, 3196, 0, 0, 0, 45498, 5851178, 116.802071, 107.905228, 786392
4349, 0, 0, 0, 0, 0, 0, 8859, 1004, 0, 0, 0, 13919, 1708836, 16.146191, 16.146191, 790741
2695, 0, 0, 0, 0, 0, 0, 8859, 532, 0, 0, 0, 2006, 683167, 2.285115, 1.108160, 793436
4117, 0, 0, 0, 0, 0, 0, 8859, 1092, 0, 0, 0, 16697, 1081080, 41.111629, 8.493831, 797553
4000, 0, 0, 0, 0, 0, 0, 8859, 1068, 0, 0, 0, 16097, 1790747, 49.591473, 32.685505, 801553
7810, 0, 0, 0, 0, 0, 0, 8859, 2884, 0, 0, 0, 54200, 4190893, 91.314499, 67.772972, 809363
4944, 0, 0, 0, 0, 0, 0, 8859, 1124, 0, 0, 0, 17689, 2019823, 54.333439, 54.333439, 814307
3746, 0, 0, 0, 0, 0, 0, 8859, 580, 0, 0, 0, 12204, 976879, 42.359467, 22.512762, 818053
31907, 0, 0, 0, 0, 0, 0, 8859, 6668, 0, 0, 0, 452202, 11884629, 255.983047, 197.026382, 849960
3803, 0, 0, 0, 0, 0, 0, 8859, 572, 0, 0, 0, 11952, 953790, 25.242283, 21.966537, 853763
4061, 0, 0, 0, 0, 0, 0, 8859, 1028, 0, 0, 0, 12032, 1118062, 37.777401, 14.975391, 857824
5724, 0, 0, 0, 0, 0, 0, 8859, 2484, 0, 0, 0, 38574, 2690630, 100.336800, 97.039566, 863548
21826, 0, 0, 0, 0, 0, 0, 8859, 4660, 0, 0, 0, 163095, 10405079, 182.885696, 164.643188, 885374
16493, 0, 0, 0, 0, 0, 0, 8859, 4532, 0, 0, 0, 255144, 9493075, 222.608673, 189.073456, 901867
7786, 0, 0, 0, 0, 0, 0, 8859, 3020, 0, 0, 0, 4508, 4811454, 45.008999, 45.008999, 909653
4523, 0, 0, 0, 0, 0, 0, 8859, 580, 0, 0, 0, 16248, 1036723, 32.612682, 14.818748, 914176
4151, 0, 0, 0, 0, 0, 0, 8859, 1052, 0, 0, 0, 6384, 1625847, 31.846098, 23.099325, 918327
2851, 0, 0, 0, 0, 0, 0, 8859, 436, 0, 0, 0, 1622, 419037, 8.371557, 8.371557, 921178
5086, 0, 0, 0, 0, 0, 0, 8859, 1252, 0, 0, 0, 37009, 2191324, 32.274494, 15.815001, 926264
3413, 0, 0, 0, 0, 0, 0, 8859, 508, 0, 0, 0, 5133, 727369, 49.262329, 22.398138, 929677
2908, 0, 0, 0, 0, 0, 0, 8859, 540, 0, 0, 0, 3138, 701703, 16.285946, 12.996685, 932585
5530, 0, 0, 0, 0, 0, 0, 8859, 2516, 0, 0, 0, 20530, 3377081, 94.931351, 87.232864, 938115
3969, 0, 0, 0, 0, 0, 0, 8859, 860, 0, 0, 0, 10319, 1400325, 30.860477, 27.123800, 942084
3172, 0, 0, 0, 0, 0, 0, 8859, 556, 0, 0, 0, 6248, 733972, 27.793928, 26.290123, 945256
