querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
12928, 0, 0, 0, 0, 0, 0, 19999, 1424, 0, 0, 0, 4, 3747378, 16.219980, 12.447767, 12928
4987, 0, 0, 0, 0, 0, 0, 19999, 368, 0, 0, 0, 1, 158830, 1.665452, 1.665452, 17915
9629, 0, 0, 0, 0, 0, 0, 19999, 1336, 0, 0, 0, 10, 3737252, 20.164251, 20.164251, 27544
182830, 0, 0, 0, 0, 0, 0, 19999, 15115, 0, 0, 0, 6279677, 65308317, 256.220612, 213.470169, 210374
20723, 0, 0, 0, 0, 0, 0, 19999, 5687, 0, 0, 0, 32, 17064869, 73.656654, 49.990955, 231097
2521, 0, 0, 0, 0, 0, 0, 19999, 320, 0, 0, 0, 4, 52369, 0.409124, 0.179217, 233618
110080, 0, 0, 0, 0, 0, 0, 19999, 14646, 0, 0, 0, 97477, 65212435, 177.853394, 151.610718, 343698
51335, 0, 0, 0, 0, 0, 0, 19999, 18094, 0, 0, 0, 644, 43577597, 231.911194, 92.912666, 395033
52734, 0, 0, 0, 0, 0, 0, 19999, 5407, 0, 0, 0, 1162157, 22208126, 54.210297, 48.675865, 447767
2545, 0, 0, 0, 0, 0, 0, 19999, 440, 0, 0, 0, 2, 151637, 0.989566, 0.989566, 450312
10956, 0, 0, 0, 0, 0, 0, 19999, 2032, 0, 0, 0, 39, 6096782, 17.821201, 14.495574, 461268
26258, 0, 0, 0, 0, 0, 0, 19999, 9440, 0, 0, 0, 177, 26752559, 103.583084, 55.950478, 487526
95464, 0, 0, 0, 0, 0, 0, 19999, 16718, 0, 0, 0, 228464, 72341744, 212.011642, 181.264816, 582990
2612, 0, 0, 0, 0, 0, 0, 19999, 528, 0, 0, 0, 2, 169809, 6.714112, 6.714112, 585602
13645, 0, 0, 0, 0, 0, 0, 19999, 3416, 0, 0, 0, 717, 11076539, 49.684109, 37.990635, 599247
42865, 0, 0, 0, 0, 0, 0, 19999, 3160, 0, 0, 0, 1292243, 12512266, 74.123871, 65.409508, 642112
74799, 0, 0, 0, 0, 0, 0, 19999, 13038, 0, 0, 0, 899588, 45037417, 202.627625, 141.049713, 716911
40306, 0, 0, 0, 0, 0, 0, 19999, 15804, 0, 0, 0, 217734, 31765688, 175.317291, 54.946800, 757217
55595, 0, 0, 0, 0, 0, 0, 19999, 15777, 0, 0, 0, 96, 57818657, 178.814270, 137.332870, 812812
69907, 0, 0, 0, 0, 0, 0, 19999, 16639, 0, 0, 0, 614254, 50696441, 217.186096, 126.871033, 882719
84099, 0, 0, 0, 0, 0, 0, 19999, 18746, 0, 0, 0, 94371, 71800467, 261.592682, 202.817993, 966818
4767, 0, 0, 0, 0, 0, 0, 19999, 312, 0, 0, 0, 4, 146169, 0.802219, 0.770839, 971585
7078, 0, 0, 0, 0, 0, 0, 19999, 2816, 0, 0, 0, 12, 4058207, 46.965183, 38.999680, 978663
3184, 0, 0, 0, 0, 0, 0, 19999, 440, 0, 0, 0, 3, 119564, 1.980150, 1.148669, 981847
32611, 0, 0, 0, 0, 0, 0, 19999, 7175, 0, 0, 0, 7406, 29049800, 96.013565, 82.649551, 1014458
65922, 0, 0, 0, 0, 0, 0, 19999, 13536, 0, 0, 0, 284, 57540243, 189.180756, 150.033905, 1080380
7154, 0, 0, 0, 0, 0, 0, 19999, 1080, 0, 0, 0, 47, 3284061, 7.558423, 7.403674, 1087534
41039, 0, 0, 0, 0, 0, 0, 19999, 15232, 0, 0, 0, 119, 45771812, 176.538528, 98.353348, 1128573
85201, 0, 0, 0, 0, 0, 0, 19999, 15323, 0, 0, 0, 1181, 68562473, 189.105255, 175.922226, 1213774
31601, 0, 0, 0, 0, 0, 0, 19999, 2404, 0, 0, 0, 1130012, 8765064, 15.101699, 14.879476, 1245375
5258, 0, 0, 0, 0, 0, 0, 19999, 1136, 0, 0, 0, 650, 3212940, 12.238750, 12.238750, 1250633
42599, 0, 0, 0, 0, 0, 0, 19999, 16588, 0, 0, 0, 4370, 45745293, 204.046692, 110.184891, 1293232
1961, 0, 0, 0, 0, 0, 0, 19999, 344, 0, 0, 0, 4, 96917, 1.052321, 1.052321, 1295193
2149, 0, 0, 0, 0, 0, 0, 19999, 304, 0, 0, 0, 1, 95991, 0.839579, 0.839579, 1297342
41375, 0, 0, 0, 0, 0, 0, 19999, 15151, 0, 0, 0, 325437, 30437567, 185.486877, 43.081028, 1338717
5455, 0, 0, 0, 0, 0, 0, 19999, 2536, 0, 0, 0, 31, 3019590, 22.863537, 16.145891, 1344172
53287, 0, 0, 0, 0, 0, 0, 19999, 15524, 0, 0, 0, 27491, 41919649, 191.803833, 88.550842, 1397459
42730, 0, 0, 0, 0, 0, 0, 19999, 9857, 0, 0, 0, 117, 36980606, 143.673111, 110.574173, 1440189
2554, 0, 0, 0, 0, 0, 0, 19999, 392, 0, 0, 0, 10, 58076, 1.997671, 1.997671, 1442743
39058, 0, 0, 0, 0, 0, 0, 19999, 12959, 0, 0, 0, 450, 42453062, 184.157242, 136.787476, 1481801
8335, 0, 0, 0, 0, 0, 0, 19999, 1520, 0, 0, 0, 38648, 5387735, 36.973347, 36.973347, 1490136
9962, 0, 0, 0, 0, 0, 0, 19999, 606, 0, 0, 0, 87028, 970795, 1.307032, 1.286649, 1500098
2297, 0, 0, 0, 0, 0, 0, 19999, 352, 0, 0, 0, 11, 221474, 0.556952, 0.341315, 1502395
70386, 0, 0, 0, 0, 0, 0, 19999, 13861, 0, 0, 0, 226, 60616081, 175.457642, 128.640259, 1572781
14880, 0, 0, 0, 0, 0, 0, 19999, 1832, 0, 0, 0, 16613, 5953706, 33.831116, 28.337074, 1587661
33439, 0, 0, 0, 0, 0, 0, 19999, 9367, 0, 0, 0, 103177, 30385123, 109.346382, 98.727234, 1621100
17043, 0, 0, 0, 0, 0, 0, 19999, 3087, 0, 0, 0, 1320, 11693057, 36.568100, 33.754272, 1638143
4674, 0, 0, 0, 0, 0, 0, 19999, 344, 0, 0, 0, 3634, 284380, 0.545092, 0.545092, 1642817
2593, 0, 0, 0, 0, 0, 0, 19999, 352, 0, 0, 0, 7, 205140, 1.195073, 1.195073, 1645410
51876, 0, 0, 0, 0, 0, 0, 19999, 5764, 0, 0, 0, 1220442, 23875932, 61.908348, 53.206833, 1697286
16281, 0, 0, 0, 0, 0, 0, 19999, 3552, 0, 0, 0, 212, 13696809, 113.851547, 109.005844, 1713567
8837, 0, 0, 0, 0, 0, 0, 19999, 1760, 0, 0, 0, 24, 4875814, 46.158699, 40.306614, 1722404
40235, 0, 0, 0, 0, 0, 0, 19999, 8924, 0, 0, 0, 57714, 26671832, 109.613899, 73.460167, 1762639
80292, 0, 0, 0, 0, 0, 0, 19999, 14203, 0, 0, 0, 1127, 64426715, 195.447861, 168.038574, 1842931
223673, 0, 0, 0, 0, 0, 0, 19999, 15542, 0, 0, 0, 10259085, 64032511, 239.334900, 195.492462, 2066604
5348, 0, 0, 0, 0, 0, 0, 19999, 662, 0, 0, 0, 18, 1031942, 2.747848, 2.747848, 2071952
3426, 0, 0, 0, 0, 0, 0, 19999, 552, 0, 0, 0, 2, 969703, 1.351029, 1.277868, 2075378
13232, 0, 0, 0, 0, 0, 0, 19999, 2303, 0, 0, 0, 1216, 8816031, 15.008097, 14.453389, 2088610
5290, 0, 0, 0, 0, 0, 0, 19999, 928, 0, 0, 0, 7, 1703000, 30.175934, 25.128288, 2093900
3967, 0, 0, 0, 0, 0, 0, 19999, 368, 0, 0, 0, 8, 155614, 2.775936, 2.775936, 2097867
13453, 0, 0, 0, 0, 0, 0, 19999, 1304, 0, 0, 0, 270481, 4938004, 37.271935, 33.536819, 2111320
9959, 0, 0, 0, 0, 0, 0, 19999, 1872, 0, 0, 0, 16421, 5832915, 42.117756, 40.708427, 2121279
35136, 0, 0, 0, 0, 0, 0, 19999, 11928, 0, 0, 0, 152, 36959518, 156.151108, 101.857574, 2156415
35574, 0, 0, 0, 0, 0, 0, 19999, 3104, 0, 0, 0, 1028158, 11616216, 37.361755, 30.935043, 2191989
2424, 0, 0, 0, 0, 0, 0, 19999, 400, 0, 0, 0, 1, 122876, 6.388825, 6.388825, 2194413
9079, 0, 0, 0, 0, 0, 0, 19999, 2148, 0, 0, 0, 2020, 5563380, 9.790145, 7.357484, 2203492
31782, 0, 0, 0, 0, 0, 0, 19999, 7676, 0, 0, 0, 57885, 25905946, 65.474968, 38.279678, 2235274
9946, 0, 0, 0, 0, 0, 0, 19999, 2824, 0, 0, 0, 3, 6589609, 69.315361, 64.216354, 2245220
4379, 0, 0, 0, 0, 0, 0, 19999, 936, 0, 0, 0, 162, 1980988, 3.378760, 3.378760, 2249599
51063, 0, 0, 0, 0, 0, 0, 19999, 9464, 0, 0, 0, 55675, 41545612, 123.409134, 118.852646, 2300662
37582, 0, 0, 0, 0, 0, 0, 19999, 6888, 0, 0, 0, 4440, 29406727, 115.249603, 113.454910, 2338244
