querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
102823, 0, 0, 0, 0, 0, 0, 24248, 23596, 0, 0, 0, 7080, 71123273, 86.408714, 63.475746, 102823
8191, 0, 0, 0, 0, 0, 0, 24248, 1864, 0, 0, 0, 55, 3646268, 15.619765, 15.619765, 111014
20087, 0, 0, 0, 0, 0, 0, 24248, 10022, 0, 0, 0, 1479, 16033563, 32.530888, 22.877386, 131101
5962, 0, 0, 0, 0, 0, 0, 24248, 848, 0, 0, 0, 128, 940618, 1.471510, 1.379703, 137063
83082, 0, 0, 0, 0, 0, 0, 24248, 19987, 0, 0, 0, 1990, 65493110, 82.983780, 63.104500, 220145
9393, 0, 0, 0, 0, 0, 0, 24248, 2270, 0, 0, 0, 193, 4106158, 7.168890, 5.833897, 229538
5015, 0, 0, 0, 0, 0, 0, 24248, 1637, 0, 0, 0, 41, 2297831, 5.340401, 4.495729, 234553
48600, 0, 0, 0, 0, 0, 0, 24248, 14923, 0, 0, 0, 145, 41994776, 45.229263, 36.586964, 283153
6406, 0, 0, 0, 0, 0, 0, 24248, 2154, 0, 0, 0, 110, 3702335, 13.896256, 13.834515, 289559
24030, 0, 0, 0, 0, 0, 0, 24248, 11383, 0, 0, 0, 292, 19338378, 27.744656, 22.127977, 313589
66690, 0, 0, 0, 0, 0, 0, 24248, 16184, 0, 0, 0, 401, 55469174, 64.134743, 58.902103, 380279
10606, 0, 0, 0, 0, 0, 0, 24248, 5472, 0, 0, 0, 72, 7278924, 22.362749, 17.210236, 390885
31592, 0, 0, 0, 0, 0, 0, 24248, 13288, 0, 0, 0, 90, 26608260, 51.384575, 40.741020, 422477
31100, 0, 0, 0, 0, 0, 0, 24248, 12871, 0, 0, 0, 461, 24141569, 45.269386, 31.880358, 453577
8155, 0, 0, 0, 0, 0, 0, 24248, 3681, 0, 0, 0, 783, 4608211, 16.742264, 10.445631, 461732
74525, 0, 0, 0, 0, 0, 0, 24248, 20346, 0, 0, 0, 9484, 63930660, 80.440506, 71.535187, 536257
23537, 0, 0, 0, 0, 0, 0, 24248, 6157, 0, 0, 0, 42, 17813165, 25.136330, 23.247166, 559794
25978, 0, 0, 0, 0, 0, 0, 24248, 7871, 0, 0, 0, 93, 20954145, 28.926174, 26.051794, 585772
4948, 0, 0, 0, 0, 0, 0, 24248, 1705, 0, 0, 0, 90, 1854680, 5.066967, 5.066967, 590720
30755, 0, 0, 0, 0, 0, 0, 24248, 9225, 0, 0, 0, 121, 25701203, 31.130507, 30.577793, 621475
41702, 0, 0, 0, 0, 0, 0, 24248, 11328, 0, 0, 0, 511, 34859794, 45.649990, 41.077839, 663177
43960, 0, 0, 0, 0, 0, 0, 24248, 16709, 0, 0, 0, 196, 38326215, 32.312538, 29.387695, 707137
46535, 0, 0, 0, 0, 0, 0, 24248, 19411, 0, 0, 0, 475, 39855022, 57.914631, 32.041988, 753672
96287, 0, 0, 0, 0, 0, 0, 24248, 23554, 0, 0, 0, 1062, 80319325, 87.860672, 66.867790, 849959
