querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
20292, 0, 0, 0, 0, 0, 0, 8680, 2412, 0, 0, 0, 46247, 5907867, 81.159088, 78.210190, 20292
34918, 0, 0, 0, 0, 0, 0, 8680, 8399, 0, 0, 0, 20740, 21417520, 260.975311, 206.411530, 55210
27371, 0, 0, 0, 0, 0, 0, 8680, 7029, 0, 0, 0, 5251, 18237242, 222.048157, 171.566635, 82581
1278938, 0, 0, 0, 0, 0, 0, 8680, 8466, 0, 0, 0, 6520721, 30725198, 272.099609, 256.000000, 1361519
34028, 0, 0, 0, 0, 0, 0, 8680, 7281, 0, 0, 0, 328, 17000592, 211.515152, 155.947861, 1395547
19701, 0, 0, 0, 0, 0, 0, 8680, 6925, 0, 0, 0, 67, 14827279, 164.461395, 121.478027, 1415248
30581, 0, 0, 0, 0, 0, 0, 8680, 8406, 0, 0, 0, 3826, 16845717, 266.009277, 182.873825, 1445829
3337, 0, 0, 0, 0, 0, 0, 8680, 392, 0, 0, 0, 1894, 341753, 9.917748, 9.063295, 1449166
39943, 0, 0, 0, 0, 0, 0, 8680, 8438, 0, 0, 0, 69637, 23504834, 277.240387, 219.588608, 1489109
28408, 0, 0, 0, 0, 0, 0, 8680, 8372, 0, 0, 0, 2895, 19196168, 239.579010, 185.919205, 1517517
21504, 0, 0, 0, 0, 0, 0, 8680, 7728, 0, 0, 0, 196, 15004749, 183.186340, 128.844208, 1539021
1431314, 0, 0, 0, 0, 0, 0, 8680, 8454, 0, 0, 0, 6207879, 30435640, 261.623352, 237.750702, 2970335
42203, 0, 0, 0, 0, 0, 0, 8680, 5822, 0, 0, 0, 2485, 16104308, 158.086639, 141.374161, 3012538
46636, 0, 0, 0, 0, 0, 0, 8680, 8486, 0, 0, 0, 251885, 23421674, 304.190918, 219.835846, 3059174
37089, 0, 0, 0, 0, 0, 0, 8680, 8395, 0, 0, 0, 18312, 21670673, 245.054764, 205.275467, 3096263
6881, 0, 0, 0, 0, 0, 0, 8680, 844, 0, 0, 0, 909, 1769396, 43.800819, 43.800819, 3103144
25454, 0, 0, 0, 0, 0, 0, 8680, 8375, 0, 0, 0, 2564, 15403682, 239.087921, 149.911194, 3128598
22344, 0, 0, 0, 0, 0, 0, 8680, 6209, 0, 0, 0, 702, 14805765, 178.362320, 138.869034, 3150942
22236, 0, 0, 0, 0, 0, 0, 8680, 8338, 0, 0, 0, 1054, 15044667, 242.029694, 144.602402, 3173178
25725, 0, 0, 0, 0, 0, 0, 8680, 8169, 0, 0, 0, 2116, 15339749, 230.200668, 162.322830, 3198903
20889, 0, 0, 0, 0, 0, 0, 8680, 8025, 0, 0, 0, 882, 16545931, 194.471130, 169.901001, 3219792
15597, 0, 0, 0, 0, 0, 0, 8680, 3896, 0, 0, 0, 1953, 9442770, 111.802643, 86.938248, 3235389
29544, 0, 0, 0, 0, 0, 0, 8680, 8420, 0, 0, 0, 19760, 17185110, 268.842987, 183.295746, 3264933
32088, 0, 0, 0, 0, 0, 0, 8680, 8327, 0, 0, 0, 5902, 20302340, 227.247910, 194.510406, 3297021
16196, 0, 0, 0, 0, 0, 0, 8680, 6502, 0, 0, 0, 113, 13625995, 165.156509, 100.896454, 3313217
6509, 0, 0, 0, 0, 0, 0, 8680, 720, 0, 0, 0, 7044, 1497870, 21.044954, 19.359430, 3319726
685466, 0, 0, 0, 0, 0, 0, 8680, 8366, 0, 0, 0, 102215, 28930833, 255.548538, 233.221298, 4005192
54563, 0, 0, 0, 0, 0, 0, 8680, 8462, 0, 0, 0, 83773, 22107504, 295.401215, 218.898788, 4059755
