querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
193843, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 2337032, 87054025, 272.817993, 217.268494, 193843
131012, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 3745, 87028076, 228.792160, 147.639908, 324855
126111, 0, 0, 0, 0, 0, 0, 19295, 19256, 0, 0, 0, 12906, 86913722, 250.703918, 124.486542, 450966
144280, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 107230, 87050659, 254.171387, 184.155121, 595246
82267, 0, 0, 0, 0, 0, 0, 19295, 18872, 0, 0, 0, 990, 70534822, 162.111023, 120.844978, 677513
124025, 0, 0, 0, 0, 0, 0, 19295, 19248, 0, 0, 0, 962, 86883166, 207.146927, 127.045845, 801538
133980, 0, 0, 0, 0, 0, 0, 19295, 19256, 0, 0, 0, 16948, 87046501, 249.932541, 167.251038, 935518
118213, 0, 0, 0, 0, 0, 0, 19295, 19248, 0, 0, 0, 11125, 84982405, 195.866440, 154.674896, 1053731
135826, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 89403, 87047286, 257.770203, 162.522446, 1189557
3430, 0, 0, 0, 0, 0, 0, 19295, 1108, 0, 0, 0, 31, 1057529, 41.256969, 41.256969, 1192987
142844, 0, 0, 0, 0, 0, 0, 19295, 19252, 0, 0, 0, 7280, 85614458, 224.079391, 165.862076, 1335831
141402, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 88307, 87049844, 285.238770, 184.297760, 1477233
145465, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 2575, 87040792, 229.945267, 157.931213, 1622698
130171, 0, 0, 0, 0, 0, 0, 19295, 19250, 0, 0, 0, 1244, 86895782, 214.254044, 130.274887, 1752869
129618, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 6614, 86489547, 222.891113, 127.069702, 1882487
135418, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 21412, 87023075, 237.362000, 179.548904, 2017905
132126, 0, 0, 0, 0, 0, 0, 19295, 19256, 0, 0, 0, 19002, 87046235, 250.276657, 170.973923, 2150031
257001, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 5745221, 87057128, 323.691101, 248.867752, 2407032
131223, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 25273, 87023275, 266.780273, 143.385269, 2538255
169264, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 1109284, 87053457, 272.269836, 205.413025, 2707519
132049, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 18110, 87037516, 236.669144, 182.777618, 2839568
153965, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 12403, 86833618, 233.210571, 190.047455, 2993533
138201, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 90288, 87049097, 304.098846, 175.201584, 3131734
129915, 0, 0, 0, 0, 0, 0, 19295, 19256, 0, 0, 0, 11865, 87008461, 253.640762, 141.163986, 3261649
140450, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 35305, 87048896, 231.130646, 171.076935, 3402099
167840, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 1883365, 86994057, 271.855042, 201.524429, 3569939
131765, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 26234, 87038904, 262.332214, 162.945328, 3701704
158340, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 668748, 87051312, 278.703308, 194.481155, 3860044
184940, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 1875667, 87054030, 280.073181, 209.982590, 4044984
145563, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 31967, 87038146, 252.648239, 157.164444, 4190547
130052, 0, 0, 0, 0, 0, 0, 19295, 19240, 0, 0, 0, 1424, 86979596, 137.309509, 131.958099, 4320599
141124, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 195352, 87047977, 298.343811, 176.389191, 4461723
139024, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 34942, 87047476, 263.323334, 175.430099, 4600747
142341, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 58145, 87049501, 292.435272, 191.212799, 4743088
132151, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 57255, 87040934, 289.214203, 163.357971, 4875239
148712, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 275931, 87050152, 338.733521, 183.865067, 5023951
116868, 0, 0, 0, 0, 0, 0, 19295, 19248, 0, 0, 0, 2218, 85037868, 182.987045, 154.893814, 5140819
132959, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 25452, 87043980, 263.061920, 174.735184, 5273778
135245, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 13278, 86622628, 225.582474, 174.501190, 5409023
167620, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 511919, 87051831, 321.560333, 190.393585, 5576643
125427, 0, 0, 0, 0, 0, 0, 19295, 19248, 0, 0, 0, 571, 86780842, 210.275528, 106.782005, 5702070
126617, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 7994, 87016100, 227.899078, 163.529907, 5828687
128049, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 11851, 86999480, 265.360504, 140.182251, 5956736
125684, 0, 0, 0, 0, 0, 0, 19295, 19250, 0, 0, 0, 581, 86675687, 209.694366, 119.883598, 6082420
104241, 0, 0, 0, 0, 0, 0, 19295, 19184, 0, 0, 0, 735, 79898023, 178.981796, 136.432861, 6186661
159329, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 367902, 87052014, 278.580902, 206.949310, 6345990
150465, 0, 0, 0, 0, 0, 0, 19295, 19256, 0, 0, 0, 19703, 87018865, 242.794250, 175.126724, 6496455
130397, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 31781, 87032157, 269.222290, 155.385574, 6626852
118049, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 2866, 86125115, 241.277161, 109.062462, 6744901
126028, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 14376, 86629692, 274.956543, 107.266907, 6870929
138747, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 38673, 87047353, 272.952057, 167.964569, 7009676
129161, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 8888, 86518213, 221.944122, 176.333313, 7138837
152334, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 72609, 87051247, 277.629944, 192.752533, 7291171
161328, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 153133, 87052500, 275.398254, 209.436707, 7452499
127941, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 3655, 86869756, 235.041428, 125.747108, 7580440
175894, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 1654410, 87052711, 286.199493, 209.595230, 7756334
124800, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 24720, 86764140, 273.488342, 115.334541, 7881134
147311, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 37793, 87051109, 253.112366, 186.990906, 8028445
126128, 0, 0, 0, 0, 0, 0, 19295, 19252, 0, 0, 0, 928, 86886806, 227.145874, 136.315247, 8154573
200052, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 2364208, 87054706, 319.224213, 224.671631, 8354625
145020, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 233713, 87048649, 267.262817, 180.247009, 8499645
100343, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 19830, 86457369, 276.477081, 118.555550, 8599988
129299, 0, 0, 0, 0, 0, 0, 19295, 19256, 0, 0, 0, 9004, 87013752, 240.763184, 138.261108, 8729287
150785, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 207854, 87050612, 292.324799, 188.258484, 8880072
144603, 0, 0, 0, 0, 0, 0, 19295, 19256, 0, 0, 0, 30407, 87046987, 239.697220, 187.001068, 9024675
128671, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 57312, 86897641, 290.237610, 114.894836, 9153346
236458, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 6284351, 87054999, 312.217224, 221.502960, 9389804
115615, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 6098, 86844857, 228.980850, 107.997246, 9505419
127127, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 33837, 86960859, 261.595398, 123.035782, 9632546
146658, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 94246, 87045599, 323.215790, 167.876678, 9779204
141870, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 47181, 87050684, 268.228271, 186.172546, 9921074
150256, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 160433, 87050571, 305.400146, 191.371338, 10071330
130510, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 27709, 87032083, 285.192719, 151.143890, 10201840
127075, 0, 0, 0, 0, 0, 0, 19295, 19256, 0, 0, 0, 4993, 86987681, 242.075241, 130.267105, 10328915
130431, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 51403, 87044797, 296.591095, 169.752426, 10459346
131031, 0, 0, 0, 0, 0, 0, 19295, 19256, 0, 0, 0, 10141, 87045566, 238.149033, 164.245041, 10590377
226470, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 7082069, 87057988, 272.788300, 219.017151, 10816847
136512, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 13905, 87047295, 257.808777, 176.772247, 10953359
150369, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 210265, 87051476, 303.118713, 195.026550, 11103728
119572, 0, 0, 0, 0, 0, 0, 19295, 19248, 0, 0, 0, 2801, 86111650, 190.067810, 158.856476, 11223300
155735, 0, 0, 0, 0, 0, 0, 19295, 19256, 0, 0, 0, 33708, 87050087, 248.259094, 179.052505, 11379035
122829, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 3797, 86066366, 234.551208, 158.955872, 11501864
139692, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 49488, 87048905, 298.512482, 171.779510, 11641556
134814, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 62087, 87049408, 291.254730, 179.845016, 11776370
153641, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 265383, 87051532, 289.876434, 202.079788, 11930011
109198, 0, 0, 0, 0, 0, 0, 19295, 19232, 0, 0, 0, 5682, 81581753, 183.759613, 146.697952, 12039209
110514, 0, 0, 0, 0, 0, 0, 19295, 19240, 0, 0, 0, 159, 78679406, 171.873764, 76.439560, 12149723
143643, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 179525, 87048579, 320.801239, 174.935074, 12293366
140970, 0, 0, 0, 0, 0, 0, 19295, 19256, 0, 0, 0, 16211, 87044368, 239.918808, 165.860382, 12434336
152257, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 251554, 87050659, 265.753601, 184.345901, 12586593
125726, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 26430, 86897773, 290.276276, 133.943024, 12712319
139761, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 38148, 87047263, 261.800995, 168.296204, 12852080
134828, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 105298, 87045045, 280.074341, 158.662659, 12986908
131540, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 26095, 87041029, 256.214142, 158.284973, 13118448
155634, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 255602, 87052542, 277.408356, 206.137054, 13274082
139182, 0, 0, 0, 0, 0, 0, 19295, 19248, 0, 0, 0, 768, 86876157, 202.026718, 151.097610, 13413264
5129, 0, 0, 0, 0, 0, 0, 19295, 1620, 0, 0, 0, 63, 2056417, 45.974678, 43.724995, 13418393
138102, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 41754, 87047991, 291.798889, 172.809631, 13556495
153892, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 126334, 87052176, 254.440582, 202.941681, 13710387
128373, 0, 0, 0, 0, 0, 0, 19295, 19248, 0, 0, 0, 202, 87019558, 169.346939, 136.343750, 13838760
138387.600000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 19295, 18893.140000, 0.000000, 0.000000, 0.000000, 363296.690000, 84823024.090000, 251.715637, 162.921053, 13838760.000000
