querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
3711, 0, 0, 0, 0, 0, 0, 20308, 446, 0, 0, 0, 38, 101951, 7.589795, 6.812838, 3711
2994, 0, 0, 0, 0, 0, 0, 20308, 302, 0, 0, 0, 25, 25166, 1.536543, 1.293659, 6705
2710, 0, 0, 0, 0, 0, 0, 20308, 350, 0, 0, 0, 26, 56222, 0.411729, 0.411729, 9415
2607, 0, 0, 0, 0, 0, 0, 20308, 406, 0, 0, 0, 21, 137906, 0.550013, 0.550013, 12022
2230, 0, 0, 0, 0, 0, 0, 20308, 342, 0, 0, 0, 19, 66578, 2.127993, 1.692372, 14252
1584, 0, 0, 0, 0, 0, 0, 20308, 438, 0, 0, 0, 13, 44269, 0.496513, 0.407790, 15836
2097, 0, 0, 0, 0, 0, 0, 20308, 350, 0, 0, 0, 32, 68967, 0.091701, 0.085353, 17933
1892, 0, 0, 0, 0, 0, 0, 20308, 390, 0, 0, 0, 36, 65581, 0.611919, 0.611919, 19825
1892, 0, 0, 0, 0, 0, 0, 20308, 310, 0, 0, 0, 5, 49834, 0.404469, 0.404469, 21717
2863, 0, 0, 0, 0, 0, 0, 20308, 438, 0, 0, 0, 32, 226075, 11.316323, 11.225079, 24580
1659, 0, 0, 0, 0, 0, 0, 20308, 294, 0, 0, 0, 23, 17414, 0.301291, 0.301291, 26239
1222, 0, 0, 0, 0, 0, 0, 20308, 406, 0, 0, 0, 21, 29586, 0.482695, 0.482695, 27461
1397, 0, 0, 0, 0, 0, 0, 20308, 430, 0, 0, 0, 23, 74789, 0.464301, 0.419714, 28858
1468, 0, 0, 0, 0, 0, 0, 20308, 334, 0, 0, 0, 11, 21804, 0.116234, 0.116234, 30326
1332, 0, 0, 0, 0, 0, 0, 20308, 318, 0, 0, 0, 14, 17545, 0.239017, 0.239017, 31658
1336, 0, 0, 0, 0, 0, 0, 20308, 398, 0, 0, 0, 13, 53421, 0.688139, 0.688139, 32994
1201, 0, 0, 0, 0, 0, 0, 20308, 310, 0, 0, 0, 24, 34135, 0.153316, 0.058809, 34195
