querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
10255, 0, 0, 0, 0, 0, 0, 8859, 4420, 0, 0, 0, 53837, 1876290, 180.068680, 160.474472, 10255
6135, 0, 0, 0, 0, 0, 0, 8859, 3932, 0, 0, 0, 39218, 1583993, 145.558014, 140.200012, 16390
2162, 0, 0, 0, 0, 0, 0, 8859, 532, 0, 0, 0, 2998, 99935, 8.134409, 8.134409, 18552
2030, 0, 0, 0, 0, 0, 0, 8859, 548, 0, 0, 0, 4690, 142189, 7.670108, 6.328071, 20582
5459, 0, 0, 0, 0, 0, 0, 8859, 4076, 0, 0, 0, 22366, 1472895, 141.290405, 107.638672, 26041
2318, 0, 0, 0, 0, 0, 0, 8859, 1220, 0, 0, 0, 26164, 406670, 40.176975, 29.842978, 28359
2274, 0, 0, 0, 0, 0, 0, 8859, 1188, 0, 0, 0, 16213, 206288, 31.342512, 11.716393, 30633
2623, 0, 0, 0, 0, 0, 0, 8859, 1276, 0, 0, 0, 21510, 212786, 34.326931, 9.954462, 33256
4278, 0, 0, 0, 0, 0, 0, 8859, 4124, 0, 0, 0, 6272, 1527801, 87.086319, 64.074570, 37534
1916, 0, 0, 0, 0, 0, 0, 8859, 1236, 0, 0, 0, 18486, 404904, 11.140659, 10.271837, 39450
1656, 0, 0, 0, 0, 0, 0, 8859, 1180, 0, 0, 0, 17209, 315578, 29.444542, 25.018686, 41106
3823, 0, 0, 0, 0, 0, 0, 8859, 3980, 0, 0, 0, 28693, 1363376, 154.923111, 102.369072, 44929
4710, 0, 0, 0, 0, 0, 0, 8859, 4340, 0, 0, 0, 31539, 1891156, 131.493027, 121.175705, 49639
2737, 0, 0, 0, 0, 0, 0, 8859, 1260, 0, 0, 0, 9937, 408800, 73.848831, 73.848831, 52376
4788, 0, 0, 0, 0, 0, 0, 8859, 4716, 0, 0, 0, 46749, 1835234, 188.288818, 127.825333, 57164
1499, 0, 0, 0, 0, 0, 0, 8859, 348, 0, 0, 0, 969, 36018, 7.556457, 7.556457, 58663
1257, 0, 0, 0, 0, 0, 0, 8859, 644, 0, 0, 0, 5150, 124041, 3.429518, 1.750371, 59920
8288, 0, 0, 0, 0, 0, 0, 8859, 5596, 0, 0, 0, 129555, 1906011, 244.126862, 145.661301, 68208
4967, 0, 0, 0, 0, 0, 0, 8859, 4924, 0, 0, 0, 36535, 1898823, 171.419388, 105.415894, 73175
4906, 0, 0, 0, 0, 0, 0, 8859, 3932, 0, 0, 0, 53745, 1904451, 160.249603, 158.617157, 78081
3652, 0, 0, 0, 0, 0, 0, 8859, 3716, 0, 0, 0, 35070, 1408958, 133.687012, 133.687012, 81733
4726, 0, 0, 0, 0, 0, 0, 8859, 5028, 0, 0, 0, 30141, 1736785, 180.699219, 101.880653, 86459
3792, 0, 0, 0, 0, 0, 0, 8859, 3964, 0, 0, 0, 28609, 1617502, 125.038986, 125.038986, 90251
4144, 0, 0, 0, 0, 0, 0, 8859, 3876, 0, 0, 0, 39311, 1630629, 142.428589, 142.428589, 94395
