querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
6061, 0, 0, 0, 0, 0, 0, 33847, 1444, 0, 0, 0, 13, 896012, 12.447767, 12.447767, 6061
3523, 0, 0, 0, 0, 0, 0, 33847, 1386, 0, 0, 0, 207, 381124, 2.447333, 1.665452, 9584
8132, 0, 0, 0, 0, 0, 0, 33847, 2066, 0, 0, 0, 1501, 1932625, 22.647293, 20.164251, 17716
103743, 0, 0, 0, 0, 0, 0, 33847, 24606, 0, 0, 0, 2254971, 41223234, 239.650772, 213.470169, 121459
12415, 0, 0, 0, 0, 0, 0, 33847, 10082, 0, 0, 0, 64, 6815112, 71.942245, 49.990952, 133874
1610, 0, 0, 0, 0, 0, 0, 33847, 299, 0, 0, 0, 25, 22679, 0.419924, 0.179217, 135484
66840, 0, 0, 0, 0, 0, 0, 33847, 24615, 0, 0, 0, 132781, 34156978, 220.247284, 151.610733, 202324
43480, 0, 0, 0, 0, 0, 0, 33847, 27259, 0, 0, 0, 253, 26726018, 201.932129, 92.912659, 245804
37748, 0, 0, 0, 0, 0, 0, 33847, 8659, 0, 0, 0, 1237488, 11041320, 54.149212, 48.675865, 283552
1997, 0, 0, 0, 0, 0, 0, 33847, 388, 0, 0, 0, 55, 47449, 0.989567, 0.989567, 285549
6146, 0, 0, 0, 0, 0, 0, 33847, 3835, 0, 0, 0, 8631, 2479085, 19.023655, 14.495573, 291695
6366, 0, 0, 0, 0, 0, 0, 33847, 4859, 0, 0, 0, 9, 4018862, 55.950470, 55.950470, 298061
68841, 0, 0, 0, 0, 0, 0, 33847, 26356, 0, 0, 0, 274593, 38196897, 226.117935, 181.264847, 366902
1641, 0, 0, 0, 0, 0, 0, 33847, 440, 0, 0, 0, 16, 64065, 8.038117, 6.714112, 368543
8146, 0, 0, 0, 0, 0, 0, 33847, 6554, 0, 0, 0, 718, 4323443, 44.664818, 37.990635, 376689
32926, 0, 0, 0, 0, 0, 0, 33847, 4058, 0, 0, 0, 1071984, 6703079, 71.252777, 65.409508, 409615
