querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
20434, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 136213, 2251254, 425.179077, 17.696831, 20434
9725, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 109074, 189349, 395.599274, 14.898205, 30159
9015, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 126352, 200583, 457.295044, 17.828831, 39174
10772, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 196997, 282311, 489.313202, 15.856451, 49946
6310, 0, 0, 0, 0, 0, 0, 21520, 4438, 0, 0, 0, 11190, 16716, 14.364670, 14.364670, 56256
10545, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 172276, 189471, 481.682861, 15.054003, 66801
9376, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 190751, 483079, 478.644623, 16.723976, 76177
4230, 0, 0, 0, 0, 0, 0, 21520, 9991, 0, 0, 0, 6419, 70622, 16.485149, 16.485149, 80407
1443, 0, 0, 0, 0, 0, 0, 21520, 13865, 0, 0, 0, 16, 132575, 15.144853, 15.144853, 81850
10915, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 383071, 470059, 428.260681, 15.658474, 92765
11399, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 242109, 262676, 433.815460, 14.940657, 104164
2116, 0, 0, 0, 0, 0, 0, 21520, 6110, 0, 0, 0, 1529, 48313, 14.938226, 14.938226, 106280
8917, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 179705, 213673, 469.451355, 14.115511, 115197
1188, 0, 0, 0, 0, 0, 0, 21520, 2188, 0, 0, 0, 16, 8016, 16.976395, 16.976395, 116385
8419, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 100483, 555526, 377.832397, 15.534547, 124804
6584, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 90739, 129771, 378.907440, 15.949064, 131388
6645, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 93849, 443627, 421.265320, 20.205748, 138033
6755, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 108877, 343359, 484.940063, 16.048643, 144788
7035, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 99815, 138513, 402.984375, 15.684229, 151823
7781, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 98519, 357361, 377.040283, 16.539322, 159604
7507, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 157900, 250290, 442.444794, 16.588625, 167111
8242, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 119094, 306159, 401.359497, 15.140232, 175353
7819, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 130356, 231624, 425.832977, 15.695456, 183172
8757, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 170240, 211325, 416.102509, 14.916829, 191929
9232, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 171303, 202243, 408.048218, 17.794754, 201161
10473, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 161374, 385554, 404.343811, 16.199396, 211634
8298, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 158297, 177628, 460.709045, 15.173077, 219932
8778, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 118025, 235588, 443.371490, 15.217175, 228710
8428, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 155221, 200450, 434.902283, 14.971380, 237138
7749, 0, 0, 0, 0, 0, 0, 21520, 21481, 0, 0, 0, 154071, 195417, 442.554016, 16.667355, 244887
7286, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 139158, 220428, 452.590393, 15.558431, 252173
15040, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 422249, 1555432, 395.851959, 13.905424, 267213
9698, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 152010, 157578, 446.177185, 14.534403, 276911
11111, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 171589, 277712, 450.497620, 17.560814, 288022
1401, 0, 0, 0, 0, 0, 0, 21520, 6705, 0, 0, 0, 17, 18157, 15.518349, 15.518349, 289423
8566, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 167389, 233263, 487.421112, 19.058027, 297989
1146, 0, 0, 0, 0, 0, 0, 21520, 2108, 0, 0, 0, 9, 4320, 16.948715, 16.948715, 299135
1595, 0, 0, 0, 0, 0, 0, 21520, 16032, 0, 0, 0, 15, 179760, 17.251125, 17.251125, 300730
1607, 0, 0, 0, 0, 0, 0, 21520, 14554, 0, 0, 0, 26, 174736, 16.809702, 16.809702, 302337
9030, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 160667, 210870, 401.898438, 15.718811, 311367
7881, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 130553, 161972, 427.494476, 16.938984, 319248
1467, 0, 0, 0, 0, 0, 0, 21520, 5856, 0, 0, 0, 130, 22686, 15.584031, 15.584031, 320715
1175, 0, 0, 0, 0, 0, 0, 21520, 4667, 0, 0, 0, 93, 29149, 15.348602, 15.348602, 321890
8293, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 126828, 149048, 493.885468, 14.753499, 330183
8425, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 156406, 172668, 466.658142, 15.072355, 338608
7544, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 97398, 116475, 482.791260, 17.910051, 346152
1119, 0, 0, 0, 0, 0, 0, 21520, 1662, 0, 0, 0, 16, 4655, 16.090786, 16.090786, 347271
14178, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 182627, 237547, 576.268860, 14.569681, 361449
1684, 0, 0, 0, 0, 0, 0, 21520, 3078, 0, 0, 0, 758, 19008, 17.636322, 17.636322, 363133
5883, 0, 0, 0, 0, 0, 0, 21520, 21479, 0, 0, 0, 121280, 169290, 350.931213, 18.431208, 369016
1783, 0, 0, 0, 0, 0, 0, 21520, 6807, 0, 0, 0, 807, 28632, 13.573877, 13.573877, 370799
2134, 0, 0, 0, 0, 0, 0, 21520, 9755, 0, 0, 0, 1988, 32974, 15.641743, 15.641743, 372933
8487, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 128232, 178275, 444.557953, 15.386155, 381420
8708, 0, 0, 0, 0, 0, 0, 21520, 21479, 0, 0, 0, 195114, 375761, 378.446167, 13.919651, 390128
7395, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 154786, 205874, 394.518829, 17.596748, 397523
9447, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 140861, 183798, 433.473999, 16.382133, 406970
1158, 0, 0, 0, 0, 0, 0, 21520, 2563, 0, 0, 0, 63, 5483, 16.046892, 16.046892, 408128
7790, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 97343, 139950, 392.480743, 15.370667, 415918
10775, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 205878, 287258, 461.956970, 18.061527, 426693
7366, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 146192, 196977, 491.554291, 17.027607, 434059
1385, 0, 0, 0, 0, 0, 0, 21520, 7035, 0, 0, 0, 7, 23100, 15.316600, 15.316600, 435444
7036, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 124545, 252573, 444.659180, 16.445269, 442480
8495, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 102387, 163125, 389.402222, 18.326166, 450975
9353, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 190465, 369364, 455.345520, 15.216118, 460328
6175, 0, 0, 0, 0, 0, 0, 21520, 21483, 0, 0, 0, 82452, 349218, 382.087616, 16.022909, 466503
