querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
137573, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 6280482, 35691428, 231.081543, 197.435654, 137573
36321, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 442, 29057723, 142.408157, 104.374054, 173894
61314, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 6064, 35668356, 225.685394, 180.244339, 235208
74138, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 278357, 35727902, 279.366730, 197.705124, 309346
43350, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 131, 35338253, 150.312317, 143.106445, 352696
233287, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 20712177, 35796266, 331.072662, 252.393997, 585983
65974, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 33984, 35598321, 286.976288, 161.773743, 651957
300469, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 23402766, 35805834, 320.319885, 255.999405, 952426
146693, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 8367662, 35745670, 300.160919, 226.760910, 1099119
140870, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 10416599, 35564945, 190.986771, 149.130676, 1239989
157869, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 11642599, 35677398, 239.640778, 177.441101, 1397858
39842, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 32856, 19815389, 80.151733, 25.845432, 1437700
349940, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 33515557, 35813134, 352.364441, 255.999298, 1787640
96249, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 2603862, 35766713, 251.522903, 226.074768, 1883889
57973, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 1174, 35634461, 208.026154, 169.612061, 1941862
67469, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 5167, 35710383, 229.872314, 196.722870, 2009331
151104, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 10156689, 35807407, 293.036530, 250.125214, 2160435
56461, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 7959, 35667727, 245.544403, 180.750015, 2216896
263656, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 19588589, 35832809, 333.772003, 255.998138, 2480552
90981, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 1925540, 35771502, 257.203613, 226.219116, 2571533
77497, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 265440, 35708534, 262.252075, 191.079590, 2649030
70796, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 30539, 35678120, 265.905945, 183.750427, 2719826
132980, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 5843823, 35700837, 223.082932, 191.238434, 2852806
56213, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 569, 35633100, 184.976257, 169.300980, 2909019
54029, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 5859, 35536740, 182.788406, 147.729996, 2963048
7332, 0, 0, 0, 0, 0, 0, 6065, 2740, 0, 0, 0, 590, 4464915, 144.101578, 88.271446, 2970380
136538, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 7298072, 35789824, 283.987518, 237.982239, 3106918
59152, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 31375, 35619801, 249.544357, 162.195740, 3166070
71235, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 66105, 35654315, 290.644745, 173.879700, 3237305
103397, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 3578301, 35757935, 299.707245, 219.060059, 3340702
57237, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 1347, 35640971, 226.839996, 174.843048, 3397939
263196, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 20575159, 35821900, 347.433624, 255.998871, 3661135
102739, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 3614847, 35772369, 251.708008, 230.416183, 3763874
161172, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 9661139, 35797377, 325.207306, 255.999191, 3925046
61975, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 13587, 35424004, 157.129990, 136.511703, 3987021
72030, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 74829, 35749145, 276.285980, 211.081268, 4059051
55055, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 4900, 35523749, 197.499954, 154.440582, 4114106
110277, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 5443087, 35663108, 269.320679, 178.396225, 4224383
40176, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 622, 32204909, 188.158722, 123.541138, 4264559
78956, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 746048, 35721162, 263.883484, 202.385361, 4343515
64109, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 3737, 35644327, 240.026733, 172.721222, 4407624
150243, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 8494952, 35789829, 315.470520, 239.335861, 4557867
70944, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 7142, 35687784, 260.780212, 187.490829, 4628811
99892, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 2794769, 35771472, 273.685242, 216.625839, 4728703
158776, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 8712766, 35807716, 333.283813, 253.178970, 4887479
76302, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 67802, 35728076, 248.197784, 204.300858, 4963781
271096, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 21657660, 35812644, 353.668701, 255.997589, 5234877
71020, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 70832, 35638697, 318.738495, 167.752960, 5305897
73807, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 35707, 35495886, 177.232193, 133.815704, 5379704
77766, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 105484, 35691801, 290.734375, 187.660080, 5457470
69043, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 18471, 35716887, 247.134247, 198.576431, 5526513
52184, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 7233, 35437367, 229.244949, 130.333771, 5578697
62211, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 48632, 35616749, 263.136566, 163.139114, 5640908
66451, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 5869, 35618608, 227.436874, 165.903503, 5707359
86380, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 1253768, 35757144, 288.408752, 218.450836, 5793739
112940, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 3740945, 35628425, 251.773849, 165.466095, 5906679
60210, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 8528, 35632414, 244.138123, 169.437149, 5966889
63236, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 20713, 35582469, 265.392426, 156.284103, 6030125
65777, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 1695, 34665914, 155.935577, 62.225811, 6095902
69586, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 20551, 35704812, 264.898926, 193.379730, 6165488
67887, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 109219, 35699603, 237.534775, 193.958160, 6233375
74907, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 90472, 35753624, 284.544403, 214.270874, 6308282
126773, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 7150309, 35780635, 303.785889, 225.187195, 6435055
56991, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 1732, 35578855, 202.693054, 155.138031, 6492046
212072, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 14077316, 35822311, 335.486328, 255.996674, 6704118
65495, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 2384, 35091138, 85.201973, 78.389557, 6769613
42746, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 1066, 34681573, 220.434753, 113.621574, 6812359
73027, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 174498, 35712543, 267.605225, 197.244995, 6885386
59920, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 4175, 35643299, 188.979446, 169.189667, 6945306
204078, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 12700875, 35810302, 331.650909, 252.332520, 7149384
40861, 0, 0, 0, 0, 0, 0, 6065, 6020, 0, 0, 0, 443, 32866248, 162.993668, 122.196739, 7190245
79544, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 674505, 35728396, 253.875961, 204.020828, 7269789
58674, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 5795, 35625781, 230.578476, 166.732559, 7328463
90449, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 1844838, 35746826, 276.818420, 213.671967, 7418912
72150, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 45711, 35733522, 281.910065, 204.895477, 7491062
89863, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 1858259, 35766373, 279.104645, 224.813187, 7580925
58731, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 21027, 35604418, 266.838165, 160.445114, 7639656
286638, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 21762349, 35811431, 355.389801, 255.173920, 7926294
