querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
1689, 0, 0, 0, 0, 0, 0, 21220, 283, 0, 0, 0, 1, 16, 0.000000, 0.000000, 1689
5206, 0, 0, 0, 0, 0, 0, 21220, 4123, 0, 0, 0, 76, 494005, 17.465837, 0.003883, 6895
5099, 0, 0, 0, 0, 0, 0, 21220, 4123, 0, 0, 0, 78, 456287, 17.446318, 0.015523, 11994
4642, 0, 0, 0, 0, 0, 0, 21220, 4123, 0, 0, 0, 72, 500486, 17.433861, 0.034906, 16636
4615, 0, 0, 0, 0, 0, 0, 21220, 4115, 0, 0, 0, 81, 524901, 17.428446, 0.062013, 21251
3700, 0, 0, 0, 0, 0, 0, 21220, 4115, 0, 0, 0, 77, 501915, 17.430063, 0.096824, 24951
3805, 0, 0, 0, 0, 0, 0, 21220, 4115, 0, 0, 0, 80, 474879, 17.438692, 0.139316, 28756
3510, 0, 0, 0, 0, 0, 0, 21220, 4123, 0, 0, 0, 75, 476093, 17.454315, 0.189462, 32266
3128, 0, 0, 0, 0, 0, 0, 21220, 4131, 0, 0, 0, 83, 478265, 17.476908, 0.247234, 35394
3097, 0, 0, 0, 0, 0, 0, 21220, 4139, 0, 0, 0, 79, 458398, 17.506447, 0.312600, 38491
2896, 0, 0, 0, 0, 0, 0, 21220, 4139, 0, 0, 0, 83, 521930, 17.542900, 0.385527, 41387
2809, 0, 0, 0, 0, 0, 0, 21220, 4139, 0, 0, 0, 85, 450033, 17.586245, 0.465978, 44196
2841, 0, 0, 0, 0, 0, 0, 21220, 4155, 0, 0, 0, 87, 527102, 17.636444, 0.553913, 47037
2753, 0, 0, 0, 0, 0, 0, 21220, 4155, 0, 0, 0, 96, 501269, 17.693464, 0.649291, 49790
2740, 0, 0, 0, 0, 0, 0, 21220, 4155, 0, 0, 0, 94, 532629, 17.757269, 0.752068, 52530
2696, 0, 0, 0, 0, 0, 0, 21220, 4163, 0, 0, 0, 92, 513166, 17.827820, 0.862197, 55226
2691, 0, 0, 0, 0, 0, 0, 21220, 4179, 0, 0, 0, 101, 512423, 17.905073, 0.979630, 57917
2758, 0, 0, 0, 0, 0, 0, 21220, 4219, 0, 0, 0, 97, 521263, 17.988991, 1.104315, 60675
2736, 0, 0, 0, 0, 0, 0, 21220, 4243, 0, 0, 0, 110, 594645, 18.079523, 1.236198, 63411
2701, 0, 0, 0, 0, 0, 0, 21220, 4283, 0, 0, 0, 107, 608496, 18.176622, 1.375224, 66112
2781, 0, 0, 0, 0, 0, 0, 21220, 4323, 0, 0, 0, 119, 618953, 18.280239, 1.521335, 68893
2715, 0, 0, 0, 0, 0, 0, 21220, 4355, 0, 0, 0, 111, 644565, 18.390326, 1.674471, 71608
2863, 0, 0, 0, 0, 0, 0, 21220, 4403, 0, 0, 0, 119, 707495, 18.506824, 1.834570, 74471
2787, 0, 0, 0, 0, 0, 0, 21220, 4427, 0, 0, 0, 131, 730388, 18.629681, 2.001568, 77258
2907, 0, 0, 0, 0, 0, 0, 21220, 4443, 0, 0, 0, 139, 776432, 18.758842, 2.175399, 80165
2883, 0, 0, 0, 0, 0, 0, 21220, 4467, 0, 0, 0, 150, 832495, 18.894241, 2.355994, 83048
3064, 0, 0, 0, 0, 0, 0, 21220, 4467, 0, 0, 0, 153, 925792, 19.035824, 2.543284, 86112
3124, 0, 0, 0, 0, 0, 0, 21220, 4467, 0, 0, 0, 151, 990639, 19.183529, 2.737198, 89236
3195, 0, 0, 0, 0, 0, 0, 21220, 4547, 0, 0, 0, 163, 1081284, 19.337288, 2.937662, 92431
3347, 0, 0, 0, 0, 0, 0, 21220, 4603, 0, 0, 0, 168, 1191958, 19.497036, 3.144603, 95778
3871, 0, 0, 0, 0, 0, 0, 21220, 4635, 0, 0, 0, 204, 1624952, 19.662708, 3.357941, 99649
3476, 0, 0, 0, 0, 0, 0, 21220, 4683, 0, 0, 0, 186, 1372841, 19.834236, 3.577602, 103125
3694, 0, 0, 0, 0, 0, 0, 21220, 4731, 0, 0, 0, 199, 1464356, 20.011551, 3.803504, 106819
4041, 0, 0, 0, 0, 0, 0, 21220, 4755, 0, 0, 0, 226, 1656661, 20.194580, 4.035569, 110860
3935, 0, 0, 0, 0, 0, 0, 21220, 4787, 0, 0, 0, 230, 1785770, 20.383253, 4.273712, 114795
4160, 0, 0, 0, 0, 0, 0, 21220, 4819, 0, 0, 0, 248, 1929777, 20.577494, 4.517852, 118955
4345, 0, 0, 0, 0, 0, 0, 21220, 4835, 0, 0, 0, 268, 2067117, 20.777233, 4.767904, 123300
4555, 0, 0, 0, 0, 0, 0, 21220, 4923, 0, 0, 0, 275, 2227735, 20.982389, 5.023783, 127855
4825, 0, 0, 0, 0, 0, 0, 21220, 4987, 0, 0, 0, 316, 2440090, 21.192890, 5.285402, 132680
4953, 0, 0, 0, 0, 0, 0, 21220, 5571, 0, 0, 0, 823, 2574381, 24.086134, 5.552673, 137633
5105, 0, 0, 0, 0, 0, 0, 21220, 5587, 0, 0, 0, 877, 2799902, 24.253675, 5.825509, 142738
