querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
7947, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 18, 42377, 158.258011, 158.258011, 7947
13324, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 15, 49891, 200.822678, 181.711288, 21271
4410, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 19, 32620, 103.055588, 85.829338, 25681
4318, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 17, 34766, 101.962395, 101.962395, 29999
3067, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 11, 42122, 153.505920, 147.802338, 33066
3053, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 43, 43951, 193.552597, 183.378067, 36119
1915, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 4, 31288, 91.945015, 91.945015, 38034
2770, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 13, 41989, 164.944885, 135.380249, 40804
2209, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 21, 32573, 94.322311, 93.383331, 43013
2402, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 33, 48155, 182.048187, 143.090012, 45415
1851, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 17, 35598, 124.896606, 53.414455, 47266
2036, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 8, 19198, 44.603931, 44.603931, 49302
1804, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 9, 46450, 161.548401, 146.280670, 51106
2656, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 6, 47111, 182.686462, 116.066116, 53762
2070, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 18, 35448, 93.357925, 92.917755, 55832
2035, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 7, 36564, 111.920456, 111.920456, 57867
2142, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 18, 49144, 194.605774, 194.605774, 60009
1906, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 11, 36763, 111.665489, 111.665489, 61915
2056, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 6, 36146, 100.937386, 100.937386, 63971
1840, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 17, 38564, 100.603912, 100.603912, 65811
1440, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 4, 17647, 66.711548, 66.711548, 67251
1830, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 17, 31971, 80.351349, 80.351349, 69081
2050, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 20, 40130, 155.453400, 147.360214, 71131
1809, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 5, 33816, 91.316200, 91.316200, 72940
1903, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 9, 29973, 64.163742, 52.865437, 74843
1369, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 5, 8210, 34.020420, 34.020420, 76212
1354, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 7, 8162, 35.388451, 31.527185, 77566
1988, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 18, 34554, 99.781525, 75.281059, 79554
2028, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 18, 34775, 97.530563, 81.051636, 81582
1678, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 7, 39236, 127.326118, 127.326118, 83260
1990, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 31, 28334, 63.163536, 63.163536, 85250
1640, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 9, 41400, 113.241653, 113.241653, 86890
2002, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 20, 30417, 80.414719, 68.065414, 88892
2198, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 16, 40194, 167.773117, 144.007919, 91090
2055, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 20, 36565, 123.097984, 114.220665, 93145
1887, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 13, 37944, 132.838913, 132.838913, 95032
1612, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 23, 44092, 164.483215, 147.053467, 96644
1561, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 11, 32104, 91.486023, 76.447411, 98205
1746, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 5, 28932, 70.421349, 70.421349, 99951
1270, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 5, 6852, 21.959923, 21.959923, 101221
2069, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 15, 42403, 164.505310, 161.175446, 103290
1570, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 15, 22177, 79.465172, 75.852371, 104860
1818, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 16, 21753, 41.241043, 41.097656, 106678
2066, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 45, 44180, 142.621902, 125.284988, 108744
2047, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 8, 37316, 132.478882, 117.264275, 110791
1796, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 17, 44404, 139.189804, 131.785400, 112587
1172, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 7, 10739, 62.574036, 59.948265, 113759
1187, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 16, 7303, 23.911346, 22.664762, 114946
1999, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 20, 41648, 182.503082, 148.833740, 116945
1879, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 12, 45636, 162.269150, 162.269150, 118824
1905, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 13, 40460, 130.470291, 112.801460, 120729
1610, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 19, 32215, 71.750336, 71.750336, 122339
1872, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 17, 35049, 99.578957, 98.650513, 124211
1564, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 4, 45550, 153.105713, 153.105713, 125775
1932, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 17, 36519, 109.621956, 109.409790, 127707
