querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
5028, 0, 0, 0, 0, 0, 0, 33847, 1444, 0, 0, 0, 13, 896012, 12.447767, 12.447767, 5028
3820, 0, 0, 0, 0, 0, 0, 33847, 1386, 0, 0, 0, 203, 388992, 2.447333, 1.665452, 8848
24099, 0, 0, 0, 0, 0, 0, 33847, 2066, 0, 0, 0, 1526, 2021385, 22.647293, 20.164251, 32947
99135, 0, 0, 0, 0, 0, 0, 33847, 24606, 0, 0, 0, 2292161, 41224577, 239.650772, 213.470169, 132082
13209, 0, 0, 0, 0, 0, 0, 33847, 10082, 0, 0, 0, 62, 6796987, 71.942245, 49.990952, 145291
1453, 0, 0, 0, 0, 0, 0, 33847, 299, 0, 0, 0, 25, 22679, 0.419924, 0.179217, 146744
59414, 0, 0, 0, 0, 0, 0, 33847, 24615, 0, 0, 0, 137891, 34157925, 220.247284, 151.610733, 206158
38023, 0, 0, 0, 0, 0, 0, 33847, 27259, 0, 0, 0, 255, 26725872, 201.932129, 92.912659, 244181
38254, 0, 0, 0, 0, 0, 0, 33847, 8659, 0, 0, 0, 1314903, 11099661, 54.149212, 48.675865, 282435
1745, 0, 0, 0, 0, 0, 0, 33847, 388, 0, 0, 0, 55, 47449, 0.989567, 0.989567, 284180
6209, 0, 0, 0, 0, 0, 0, 33847, 3835, 0, 0, 0, 11413, 2674162, 19.023655, 14.495573, 290389
6189, 0, 0, 0, 0, 0, 0, 33847, 4859, 0, 0, 0, 9, 4018862, 55.950470, 55.950470, 296578
56925, 0, 0, 0, 0, 0, 0, 33847, 26356, 0, 0, 0, 285122, 38197224, 226.117935, 181.264847, 353503
1494, 0, 0, 0, 0, 0, 0, 33847, 440, 0, 0, 0, 16, 64065, 8.038117, 6.714112, 354997
7050, 0, 0, 0, 0, 0, 0, 33847, 6554, 0, 0, 0, 702, 4319986, 44.664818, 37.990635, 362047
29562, 0, 0, 0, 0, 0, 0, 33847, 4058, 0, 0, 0, 1105990, 6740464, 71.252777, 65.409508, 391609
49275, 0, 0, 0, 0, 0, 0, 33847, 20724, 0, 0, 0, 573091, 30259918, 180.872757, 141.049728, 440884
25688, 0, 0, 0, 0, 0, 0, 33847, 32067, 0, 0, 0, 262357, 14623374, 287.502289, 54.946808, 466572
38939, 0, 0, 0, 0, 0, 0, 33847, 22380, 0, 0, 0, 40, 33375525, 169.199509, 137.332855, 505511
40233, 0, 0, 0, 0, 0, 0, 33847, 26022, 0, 0, 0, 436754, 28250910, 204.291214, 126.871033, 545744
56389, 0, 0, 0, 0, 0, 0, 33847, 28625, 0, 0, 0, 87254, 40981970, 230.057434, 202.817993, 602133
1866, 0, 0, 0, 0, 0, 0, 33847, 1048, 0, 0, 0, 299, 183586, 0.854668, 0.770838, 603999
2315, 0, 0, 0, 0, 0, 0, 33847, 1114, 0, 0, 0, 16, 870913, 38.999683, 38.999683, 606314
1441, 0, 0, 0, 0, 0, 0, 33847, 486, 0, 0, 0, 28, 75688, 2.157823, 1.148669, 607755
25582, 0, 0, 0, 0, 0, 0, 33847, 13744, 0, 0, 0, 77638, 16916579, 99.644943, 82.649544, 633337
42568, 0, 0, 0, 0, 0, 0, 33847, 23019, 0, 0, 0, 789, 33826351, 196.973404, 150.033905, 675905
7111, 0, 0, 0, 0, 0, 0, 33847, 2029, 0, 0, 0, 33274, 1764466, 8.112069, 7.403674, 683016
27132, 0, 0, 0, 0, 0, 0, 33847, 21009, 0, 0, 0, 191, 24006182, 162.281464, 98.353348, 710148
47931, 0, 0, 0, 0, 0, 0, 33847, 24111, 0, 0, 0, 6539, 37763170, 210.710220, 175.922211, 758079
33858, 0, 0, 0, 0, 0, 0, 33847, 5154, 0, 0, 0, 1139237, 5349347, 15.496262, 14.879477, 791937
4664, 0, 0, 0, 0, 0, 0, 33847, 1542, 0, 0, 0, 14698, 1464772, 12.289924, 12.238750, 796601
