querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
27185, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 469560, 3999512, 243.993103, 243.993103, 27185
17306, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 439893, 3968616, 280.478729, 150.606812, 44491
12357, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 145952, 4000631, 230.623352, 218.079269, 56848
15345, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 398546, 4000972, 249.894012, 214.058029, 72193
13837, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 261068, 4003157, 268.665161, 239.503174, 86030
9581, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 2432, 3983607, 226.921356, 196.681717, 95611
9961, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 148135, 4001843, 250.336517, 228.887680, 105572
12377, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 211010, 3999346, 266.384155, 234.888672, 117949
6811, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 1847, 3975228, 223.215363, 160.424622, 124760
30824, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 1472691, 4000394, 306.940002, 231.059952, 155584
6844, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 346, 3941031, 200.709991, 178.847946, 162428
5972, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 41, 3712620, 139.258942, 113.034195, 168400
13577, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 378863, 4002215, 322.610901, 229.595108, 181977
9138, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 1881, 3987032, 211.941544, 175.587921, 191115
9061, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 26873, 3981623, 253.940567, 165.262955, 200176
10063, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 85099, 3995043, 237.613708, 219.725174, 210239
25213, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 1304093, 4003454, 297.677917, 255.989929, 235452
32368, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 1871280, 3998164, 298.641235, 236.959137, 267820
13729, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 254021, 4004101, 272.524109, 255.837006, 281549
19492, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 687382, 3997477, 280.675537, 216.517853, 301041
30967, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 1552691, 4002666, 331.327515, 255.991608, 332008
10124, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 76218, 3985866, 230.353012, 187.160278, 342132
19745, 0, 0, 0, 0, 0, 0, 1545, 1500, 0, 0, 0, 825002, 3998081, 322.294678, 232.524597, 361877
