querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
82708, 0, 0, 0, 0, 0, 0, 22192, 22083, 0, 0, 0, 6262, 63428863, 93.155975, 63.475746, 82708
10192, 0, 0, 0, 0, 0, 0, 22192, 4292, 0, 0, 0, 129, 3333218, 22.958139, 15.619765, 92900
17362, 0, 0, 0, 0, 0, 0, 22192, 9508, 0, 0, 0, 788, 15872901, 31.258190, 22.877386, 110262
3812, 0, 0, 0, 0, 0, 0, 22192, 708, 0, 0, 0, 39, 322462, 1.379703, 1.379703, 114074
48916, 0, 0, 0, 0, 0, 0, 22192, 18915, 0, 0, 0, 924, 59859433, 81.909348, 63.104500, 162990
5420, 0, 0, 0, 0, 0, 0, 22192, 1460, 0, 0, 0, 49, 2397078, 5.833897, 5.833897, 168410
6118, 0, 0, 0, 0, 0, 0, 22192, 2524, 0, 0, 0, 242, 1825739, 9.821677, 4.495729, 174528
33601, 0, 0, 0, 0, 0, 0, 22192, 17187, 0, 0, 0, 468, 39202115, 61.108131, 36.586964, 208129
8084, 0, 0, 0, 0, 0, 0, 22192, 2684, 0, 0, 0, 82, 3724722, 13.834515, 13.834515, 216213
15472, 0, 0, 0, 0, 0, 0, 22192, 13492, 0, 0, 0, 248, 20739689, 30.101994, 22.127977, 231685
40189, 0, 0, 0, 0, 0, 0, 22192, 16084, 0, 0, 0, 649, 50886941, 68.670311, 58.902103, 271874
6755, 0, 0, 0, 0, 0, 0, 22192, 5563, 0, 0, 0, 40, 8020435, 22.452415, 17.210236, 278629
17642, 0, 0, 0, 0, 0, 0, 22192, 13452, 0, 0, 0, 111, 22259428, 51.384575, 40.741020, 296271
21582, 0, 0, 0, 0, 0, 0, 22192, 14924, 0, 0, 0, 431, 30686121, 55.117767, 31.880358, 317853
6168, 0, 0, 0, 0, 0, 0, 22192, 1900, 0, 0, 0, 117, 3299396, 10.445631, 10.445631, 324021
55142, 0, 0, 0, 0, 0, 0, 22192, 19724, 0, 0, 0, 7032, 57526845, 82.067322, 71.535187, 379163
10819, 0, 0, 0, 0, 0, 0, 22192, 6612, 0, 0, 0, 79, 16780397, 29.525372, 23.247166, 389982
14373, 0, 0, 0, 0, 0, 0, 22192, 8028, 0, 0, 0, 171, 19598990, 29.765179, 26.051794, 404355
3541, 0, 0, 0, 0, 0, 0, 22192, 2924, 0, 0, 0, 125, 1655882, 8.296680, 5.066967, 407896
16712, 0, 0, 0, 0, 0, 0, 22192, 11028, 0, 0, 0, 304, 23676845, 40.533638, 30.577793, 424608
24159, 0, 0, 0, 0, 0, 0, 22192, 12764, 0, 0, 0, 1865, 33306321, 58.082119, 41.077839, 448767
