querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
9251, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 56988, 491356, 274.872864, 252.075409, 9251
13881, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 181299, 528810, 343.547119, 305.809296, 23132
7308, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 86516, 498878, 289.379425, 257.408691, 30440
4454, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 24677, 468552, 227.161224, 227.161224, 34894
4391, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 37076, 489895, 270.911957, 252.694427, 39285
3389, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 776, 487703, 266.905975, 239.022827, 42674
10174, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 188424, 537754, 359.954681, 330.186005, 52848
9308, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 148474, 511848, 313.108459, 295.016510, 62156
2844, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 214, 470566, 231.599503, 231.599503, 65000
2797, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 1497, 488081, 267.529114, 255.593002, 67797
10499, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 194830, 537012, 358.167175, 332.273407, 78296
3176, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 8120, 494929, 278.345703, 219.572067, 81472
8944, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 171647, 529353, 343.863464, 270.149353, 90416
11147, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 248498, 551092, 383.084686, 354.312714, 101563
7045, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 93311, 496425, 284.677368, 284.677368, 108608
9584, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 169878, 529766, 345.463959, 304.460144, 118192
2256, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 193, 454136, 195.381500, 185.877975, 120448
3306, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 2951, 504872, 301.554810, 261.093567, 123754
3052, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 1003, 481628, 254.266525, 184.020081, 126806
6104, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 69673, 498105, 288.163300, 274.723969, 132910
2825, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 1106, 493324, 276.716949, 258.643982, 135735
3049, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 654, 482525, 256.114502, 242.973755, 138784
3686, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 33384, 512309, 314.189758, 244.364624, 142470
2875, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 359, 479645, 250.209030, 212.744431, 145345
10138, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 186265, 524650, 336.467529, 336.467529, 155483
7747, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 108278, 503408, 298.238647, 298.238647, 163230
2184, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 387, 470529, 229.422272, 207.232269, 165414
5544, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 59216, 499710, 291.080475, 283.994293, 170958
4345, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 50005, 481788, 254.253815, 226.505020, 175303
2642, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 630, 477110, 244.194580, 210.800079, 177945
2786, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 120, 466314, 222.739563, 219.827896, 180731
3364, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 3400, 473604, 238.040848, 238.040848, 184095
4336, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 16894, 503224, 297.701355, 265.024353, 188431
7084, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 96700, 486038, 264.025208, 264.025208, 195515
1919, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 113, 374223, 137.577896, 137.577896, 197434
1658, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 373, 102718, 60.284969, 56.780586, 199092
1733, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 84, 459221, 201.813828, 183.246552, 200825
