querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
209985, 0, 0, 0, 0, 0, 0, 18295, 18198, 0, 0, 0, 93281, 139012, 368.939514, 17.696831, 209985
121856, 0, 0, 0, 0, 0, 0, 18295, 18209, 0, 0, 0, 100541, 279033, 379.079590, 14.898205, 331841
5151, 0, 0, 0, 0, 0, 0, 18295, 9255, 0, 0, 0, 775, 94413, 17.828831, 17.828831, 336992
40644, 0, 0, 0, 0, 0, 0, 18295, 18216, 0, 0, 0, 115725, 148063, 399.803070, 15.856451, 377636
7329, 0, 0, 0, 0, 0, 0, 18295, 3163, 0, 0, 0, 11190, 11857, 14.364670, 14.364670, 384965
29883, 0, 0, 0, 0, 0, 0, 18295, 18222, 0, 0, 0, 184747, 230825, 422.440735, 15.054003, 414848
14074, 0, 0, 0, 0, 0, 0, 18295, 18224, 0, 0, 0, 206211, 443950, 461.045685, 16.723976, 428922
4423, 0, 0, 0, 0, 0, 0, 18295, 6908, 0, 0, 0, 6419, 47081, 16.485149, 16.485149, 433345
8754, 0, 0, 0, 0, 0, 0, 18295, 18212, 0, 0, 0, 135561, 300674, 364.411438, 15.144853, 442099
11734, 0, 0, 0, 0, 0, 0, 18295, 18224, 0, 0, 0, 343579, 420620, 475.913116, 15.658474, 453833
2130, 0, 0, 0, 0, 0, 0, 18295, 4632, 0, 0, 0, 1945, 54103, 14.940657, 14.940657, 455963
9385, 0, 0, 0, 0, 0, 0, 18295, 18220, 0, 0, 0, 222560, 295139, 419.891266, 14.938226, 465348
10315, 0, 0, 0, 0, 0, 0, 18295, 18212, 0, 0, 0, 159586, 351010, 374.429443, 14.115511, 475663
10559, 0, 0, 0, 0, 0, 0, 18295, 18200, 0, 0, 0, 91698, 146438, 348.938904, 16.976395, 486222
5607, 0, 0, 0, 0, 0, 0, 18295, 17650, 0, 0, 0, 1897, 1094988, 129.868942, 15.534547, 491829
1008, 0, 0, 0, 0, 0, 0, 18295, 1177, 0, 0, 0, 4, 8628, 15.949064, 15.949064, 492837
1405, 0, 0, 0, 0, 0, 0, 18295, 1496, 0, 0, 0, 1595, 12650, 20.205748, 20.205748, 494242
1304, 0, 0, 0, 0, 0, 0, 18295, 1124, 0, 0, 0, 1392, 5376, 16.048643, 16.048643, 495546
926, 0, 0, 0, 0, 0, 0, 18295, 957, 0, 0, 0, 2, 5609, 15.684229, 15.684229, 496472
1297, 0, 0, 0, 0, 0, 0, 18295, 1490, 0, 0, 0, 1384, 10805, 16.539322, 16.539322, 497769
1309, 0, 0, 0, 0, 0, 0, 18295, 2786, 0, 0, 0, 969, 1119, 16.588625, 16.588625, 499078
9063, 0, 0, 0, 0, 0, 0, 18295, 18222, 0, 0, 0, 134048, 163464, 450.637329, 15.140232, 508141
10793, 0, 0, 0, 0, 0, 0, 18295, 18224, 0, 0, 0, 125427, 150119, 493.669434, 15.695456, 518934
1435, 0, 0, 0, 0, 0, 0, 18295, 2054, 0, 0, 0, 871, 7383, 14.916829, 14.916829, 520369
1321, 0, 0, 0, 0, 0, 0, 18295, 3043, 0, 0, 0, 795, 8408, 17.794754, 17.794754, 521690
1043, 0, 0, 0, 0, 0, 0, 18295, 2904, 0, 0, 0, 1, 10192, 16.199396, 16.199396, 522733
9506, 0, 0, 0, 0, 0, 0, 18295, 18220, 0, 0, 0, 143242, 184668, 429.154510, 15.173077, 532239
9254, 0, 0, 0, 0, 0, 0, 18295, 18222, 0, 0, 0, 117606, 208374, 461.875610, 15.217175, 541493
8781, 0, 0, 0, 0, 0, 0, 18295, 18213, 0, 0, 0, 196064, 253101, 401.771515, 14.971380, 550274
8730, 0, 0, 0, 0, 0, 0, 18295, 18220, 0, 0, 0, 166291, 225748, 432.960388, 16.667355, 559004
2111, 0, 0, 0, 0, 0, 0, 18295, 8002, 0, 0, 0, 975, 53031, 15.558431, 15.558431, 561115
12277, 0, 0, 0, 0, 0, 0, 18295, 18208, 0, 0, 0, 383002, 1158485, 395.333282, 13.905424, 573392
1607, 0, 0, 0, 0, 0, 0, 18295, 4497, 0, 0, 0, 13, 11794, 14.534403, 14.534403, 574999
1839, 0, 0, 0, 0, 0, 0, 18295, 9335, 0, 0, 0, 19, 105595, 17.560814, 17.560814, 576838
1321, 0, 0, 0, 0, 0, 0, 18295, 5545, 0, 0, 0, 16, 14506, 15.518349, 15.518349, 578159
11104, 0, 0, 0, 0, 0, 0, 18295, 18220, 0, 0, 0, 184155, 235356, 434.649780, 19.058027, 589263
8720, 0, 0, 0, 0, 0, 0, 18295, 18209, 0, 0, 0, 163257, 181439, 390.392181, 16.948715, 597983
2317, 0, 0, 0, 0, 0, 0, 18295, 11614, 0, 0, 0, 15, 221243, 17.251125, 17.251125, 600300
9403, 0, 0, 0, 0, 0, 0, 18295, 18224, 0, 0, 0, 217624, 448045, 438.139832, 16.809702, 609703
8767, 0, 0, 0, 0, 0, 0, 18295, 18222, 0, 0, 0, 153410, 177198, 419.693451, 15.718811, 618470
1486, 0, 0, 0, 0, 0, 0, 18295, 3365, 0, 0, 0, 188, 22872, 16.938984, 16.938984, 619956
1568, 0, 0, 0, 0, 0, 0, 18295, 5027, 0, 0, 0, 130, 30231, 15.584031, 15.584031, 621524
9064, 0, 0, 0, 0, 0, 0, 18295, 18214, 0, 0, 0, 130769, 170676, 393.284790, 15.348602, 630588
4364, 0, 0, 0, 0, 0, 0, 18295, 17220, 0, 0, 0, 190, 112169, 90.926331, 14.753499, 634952
3206, 0, 0, 0, 0, 0, 0, 18295, 15018, 0, 0, 0, 73, 92159, 84.568787, 15.072355, 638158
1096, 0, 0, 0, 0, 0, 0, 18295, 1918, 0, 0, 0, 16, 13520, 17.910051, 17.910051, 639254
1492, 0, 0, 0, 0, 0, 0, 18295, 832, 0, 0, 0, 1498, 6876, 16.090786, 16.090786, 640746
8278, 0, 0, 0, 0, 0, 0, 18295, 18214, 0, 0, 0, 138910, 688552, 399.019043, 14.569681, 649024
7428, 0, 0, 0, 0, 0, 0, 18295, 18205, 0, 0, 0, 80588, 108186, 379.080750, 17.636322, 656452
7905, 0, 0, 0, 0, 0, 0, 18295, 18205, 0, 0, 0, 165056, 207031, 375.979523, 18.431208, 664357
1834, 0, 0, 0, 0, 0, 0, 18295, 3932, 0, 0, 0, 807, 11235, 13.573877, 13.573877, 666191
8266, 0, 0, 0, 0, 0, 0, 18295, 18208, 0, 0, 0, 171590, 486136, 402.615326, 15.641743, 674457
9709, 0, 0, 0, 0, 0, 0, 18295, 18211, 0, 0, 0, 123385, 175255, 386.747040, 15.386155, 684166
2406, 0, 0, 0, 0, 0, 0, 18295, 7653, 0, 0, 0, 2642, 22782, 13.919651, 13.919651, 686572
1591, 0, 0, 0, 0, 0, 0, 18295, 7618, 0, 0, 0, 97, 37803, 17.596748, 17.596748, 688163
13320, 0, 0, 0, 0, 0, 0, 18295, 18222, 0, 0, 0, 183266, 217945, 454.681732, 16.382133, 701483
1420, 0, 0, 0, 0, 0, 0, 18295, 2898, 0, 0, 0, 67, 19912, 16.046892, 16.046892, 702903
1083, 0, 0, 0, 0, 0, 0, 18295, 707, 0, 0, 0, 59, 4306, 15.370667, 15.370667, 703986
8578, 0, 0, 0, 0, 0, 0, 18295, 18214, 0, 0, 0, 156033, 245734, 380.282288, 18.061527, 712564
8601, 0, 0, 0, 0, 0, 0, 18295, 18212, 0, 0, 0, 138314, 183231, 377.275848, 17.027607, 721165
7202, 0, 0, 0, 0, 0, 0, 18295, 18202, 0, 0, 0, 106608, 163822, 365.198425, 15.316600, 728367
8826, 0, 0, 0, 0, 0, 0, 18295, 18222, 0, 0, 0, 157457, 265250, 451.068146, 16.445269, 737193
8829, 0, 0, 0, 0, 0, 0, 18295, 18220, 0, 0, 0, 148584, 222636, 398.789398, 18.326166, 746022
2494, 0, 0, 0, 0, 0, 0, 18295, 11111, 0, 0, 0, 321, 285970, 15.216118, 15.216118, 748516
1475, 0, 0, 0, 0, 0, 0, 18295, 1820, 0, 0, 0, 1141, 1557, 16.022909, 16.022909, 749991
8519, 0, 0, 0, 0, 0, 0, 18295, 18218, 0, 0, 0, 142977, 158074, 429.608917, 19.809906, 758510
8302, 0, 0, 0, 0, 0, 0, 18295, 18218, 0, 0, 0, 107969, 341734, 406.318787, 18.029106, 766812
1439, 0, 0, 0, 0, 0, 0, 18295, 3552, 0, 0, 0, 8, 2771, 15.308311, 15.308311, 768251
8143, 0, 0, 0, 0, 0, 0, 18295, 18220, 0, 0, 0, 115507, 235823, 401.697357, 17.459818, 776394
7170, 0, 0, 0, 0, 0, 0, 18295, 18212, 0, 0, 0, 126930, 161431, 401.239258, 13.811754, 783564
10472, 0, 0, 0, 0, 0, 0, 18295, 18222, 0, 0, 0, 202677, 213153, 469.933594, 17.023436, 794036
8356, 0, 0, 0, 0, 0, 0, 18295, 18222, 0, 0, 0, 165641, 179481, 434.803314, 15.498199, 802392
10410, 0, 0, 0, 0, 0, 0, 18295, 18214, 0, 0, 0, 117152, 144959, 414.230621, 17.407354, 812802
1418, 0, 0, 0, 0, 0, 0, 18295, 2761, 0, 0, 0, 16, 7139, 15.396123, 15.396123, 814220
10704, 0, 0, 0, 0, 0, 0, 18295, 18222, 0, 0, 0, 230462, 341411, 449.418091, 16.361982, 824924
11494, 0, 0, 0, 0, 0, 0, 18295, 18222, 0, 0, 0, 197075, 224403, 464.986877, 16.583744, 836418
9871, 0, 0, 0, 0, 0, 0, 18295, 18224, 0, 0, 0, 212404, 279960, 485.627960, 17.470058, 846289
7963, 0, 0, 0, 0, 0, 0, 18295, 18196, 0, 0, 0, 119778, 175053, 378.663605, 14.321320, 854252
12694, 0, 0, 0, 0, 0, 0, 18295, 18224, 0, 0, 0, 142288, 251199, 520.566956, 16.927349, 866946
8540, 0, 0, 0, 0, 0, 0, 18295, 18214, 0, 0, 0, 152627, 188756, 392.386108, 15.349577, 875486
9328, 0, 0, 0, 0, 0, 0, 18295, 18214, 0, 0, 0, 136075, 179691, 422.801697, 16.572939, 884814
7925, 0, 0, 0, 0, 0, 0, 18295, 18218, 0, 0, 0, 137455, 179627, 457.126648, 14.662121, 892739
9596, 0, 0, 0, 0, 0, 0, 18295, 18222, 0, 0, 0, 252769, 393073, 444.459412, 14.226966, 902335
2045, 0, 0, 0, 0, 0, 0, 18295, 6566, 0, 0, 0, 1415, 10307, 16.510675, 16.510675, 904380
10452, 0, 0, 0, 0, 0, 0, 18295, 18209, 0, 0, 0, 200796, 1904558, 387.770630, 15.488451, 914832
10266, 0, 0, 0, 0, 0, 0, 18295, 18222, 0, 0, 0, 170815, 264223, 442.552216, 14.174274, 925098
1983, 0, 0, 0, 0, 0, 0, 18295, 6959, 0, 0, 0, 834, 46715, 14.521799, 14.521799, 927081
7724, 0, 0, 0, 0, 0, 0, 18295, 18208, 0, 0, 0, 99783, 126039, 381.562714, 14.666333, 934805
8133, 0, 0, 0, 0, 0, 0, 18295, 18205, 0, 0, 0, 110300, 194485, 378.727905, 14.173973, 942938
8829, 0, 0, 0, 0, 0, 0, 18295, 18216, 0, 0, 0, 122284, 216075, 432.905487, 13.861349, 951767
9161, 0, 0, 0, 0, 0, 0, 18295, 18224, 0, 0, 0, 194752, 271429, 456.838501, 16.379602, 960928
10326, 0, 0, 0, 0, 0, 0, 18295, 18224, 0, 0, 0, 224242, 282102, 425.097778, 16.177557, 971254
2094, 0, 0, 0, 0, 0, 0, 18295, 3666, 0, 0, 0, 1801, 35503, 13.475740, 13.475740, 973348
9065, 0, 0, 0, 0, 0, 0, 18295, 18224, 0, 0, 0, 233332, 316928, 424.715057, 15.751816, 982413
1936, 0, 0, 0, 0, 0, 0, 18295, 6333, 0, 0, 0, 16, 118088, 15.812916, 15.812916, 984349
7781, 0, 0, 0, 0, 0, 0, 18295, 18220, 0, 0, 0, 130942, 330417, 426.312775, 17.136253, 992130
8906, 0, 0, 0, 0, 0, 0, 18295, 18212, 0, 0, 0, 220174, 333458, 380.954315, 16.815243, 1001036
8759, 0, 0, 0, 0, 0, 0, 18295, 18216, 0, 0, 0, 187887, 259366, 402.244049, 17.391193, 1009795
7561, 0, 0, 0, 0, 0, 0, 18295, 18194, 0, 0, 0, 93277, 155101, 335.731812, 16.385288, 1017356
10306, 0, 0, 0, 0, 0, 0, 18295, 18224, 0, 0, 0, 156323, 191520, 442.136383, 14.297861, 1027662
