querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
124242, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 3561079, 84263954, 264.628754, 217.268494, 124242
68835, 0, 0, 0, 0, 0, 0, 34169, 34119, 0, 0, 0, 613, 81570592, 199.011993, 147.639908, 193077
57222, 0, 0, 0, 0, 0, 0, 34169, 34121, 0, 0, 0, 2457, 80041603, 213.073303, 124.486542, 250299
63074, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 11647, 83348584, 223.257309, 184.155121, 313373
33858, 0, 0, 0, 0, 0, 0, 34169, 31819, 0, 0, 0, 265, 61436557, 140.915100, 120.844978, 347231
50463, 0, 0, 0, 0, 0, 0, 34169, 33865, 0, 0, 0, 192, 79961424, 151.953918, 127.045845, 397694
60637, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 26902, 82559158, 238.201248, 167.251038, 458331
50400, 0, 0, 0, 0, 0, 0, 34169, 33805, 0, 0, 0, 24215, 79286118, 206.716675, 154.674896, 508731
58198, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 14752, 82439862, 221.417252, 162.522446, 566929
2923, 0, 0, 0, 0, 0, 0, 34169, 3156, 0, 0, 0, 36, 2328294, 51.312717, 41.256969, 569852
61406, 0, 0, 0, 0, 0, 0, 34169, 33715, 0, 0, 0, 4458, 80719087, 206.011368, 165.862076, 631258
64258, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 38115, 83279932, 242.691101, 184.297760, 695516
59819, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 19621, 82075123, 230.186310, 157.931213, 755335
53830, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 8916, 80247937, 252.439301, 130.274887, 809165
50718, 0, 0, 0, 0, 0, 0, 34169, 34085, 0, 0, 0, 6250, 79053914, 213.301147, 127.069702, 859883
57708, 0, 0, 0, 0, 0, 0, 34169, 33989, 0, 0, 0, 13569, 82615436, 216.854462, 179.548904, 917591
59352, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 77027, 82628643, 263.989716, 170.973923, 976943
136364, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 6762859, 85099993, 292.233612, 248.867752, 1113307
53769, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 15782, 81449061, 230.555664, 143.385269, 1167076
85276, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 2130985, 84075199, 281.299683, 205.413025, 1252352
55515, 0, 0, 0, 0, 0, 0, 34169, 34042, 0, 0, 0, 8132, 82615153, 197.846573, 182.777618, 1307867
59292, 0, 0, 0, 0, 0, 0, 34169, 33892, 0, 0, 0, 4402, 82719453, 209.854355, 190.047455, 1367159
57878, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 46495, 82947265, 256.672577, 175.201584, 1425037
50461, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 7460, 81012314, 233.317551, 141.163986, 1475498
59748, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 76771, 82836936, 277.086761, 171.076935, 1535246
91544, 0, 0, 0, 0, 0, 0, 34169, 33959, 0, 0, 0, 3402204, 83371863, 250.031143, 201.524429, 1626790
54903, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 36270, 82037419, 261.577454, 162.945328, 1681693
80086, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 1576079, 83748964, 245.671265, 194.481155, 1761779
86566, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 2407650, 84236486, 284.074677, 209.982590, 1848345
54702, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 50248, 81858433, 243.016357, 157.164444, 1903047
51745, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 1564, 80538176, 221.773544, 131.958099, 1954792
61272, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 169882, 82456931, 270.430176, 176.389191, 2016064
55124, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 43285, 82497932, 242.602142, 175.430099, 2071188
54351, 0, 0, 0, 0, 0, 0, 34169, 33939, 0, 0, 0, 4137, 83528316, 192.520355, 191.212799, 2125539
53646, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 8547, 82234700, 233.998154, 163.357971, 2179185
56372, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 17455, 82952768, 227.236298, 183.865067, 2235557
46267, 0, 0, 0, 0, 0, 0, 34169, 33782, 0, 0, 0, 6169, 78731418, 194.366318, 154.893814, 2281824
53098, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 3515, 82764945, 206.762711, 174.735184, 2334922
52331, 0, 0, 0, 0, 0, 0, 34169, 33890, 0, 0, 0, 45997, 82080694, 225.582474, 174.501190, 2387253
66111, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 245568, 83472770, 296.380310, 190.393585, 2453364
45470, 0, 0, 0, 0, 0, 0, 34169, 33860, 0, 0, 0, 36, 78911057, 144.783508, 106.782005, 2498834
49665, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 6799, 81543793, 210.394073, 163.529907, 2548499
52756, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 10048, 80753612, 225.622910, 140.182251, 2601255
45914, 0, 0, 0, 0, 0, 0, 34169, 34051, 0, 0, 0, 264, 79481712, 173.643204, 119.883598, 2647169
40511, 0, 0, 0, 0, 0, 0, 34169, 32523, 0, 0, 0, 47, 74296758, 136.432861, 136.432861, 2687680
70739, 0, 0, 0, 0, 0, 0, 34169, 34007, 0, 0, 0, 917104, 83612991, 206.949310, 206.949310, 2758419
53652, 0, 0, 0, 0, 0, 0, 34169, 33897, 0, 0, 0, 2606, 82088195, 175.658585, 175.126724, 2812071
51459, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 18305, 81926435, 253.983017, 155.385574, 2863530
42550, 0, 0, 0, 0, 0, 0, 34169, 33763, 0, 0, 0, 89, 76378225, 153.292328, 109.062462, 2906080
48188, 0, 0, 0, 0, 0, 0, 34169, 33999, 0, 0, 0, 943, 78391426, 184.488602, 107.266907, 2954268
56676, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 43595, 82386073, 233.099121, 167.964569, 3010944
51303, 0, 0, 0, 0, 0, 0, 34169, 34007, 0, 0, 0, 12182, 81402885, 222.296265, 176.333313, 3062247
61937, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 145133, 83686223, 272.376862, 192.752533, 3124184
65912, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 328707, 83810976, 241.336777, 209.436707, 3190096
48834, 0, 0, 0, 0, 0, 0, 34169, 33995, 0, 0, 0, 2285, 79560639, 190.391754, 125.747108, 3238930
81619, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 2307588, 84188352, 209.595230, 209.595230, 3320549
48444, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 1179, 78844970, 228.516541, 115.334541, 3368993
58703, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 26950, 83500261, 246.037567, 186.990906, 3427696
46975, 0, 0, 0, 0, 0, 0, 34169, 33919, 0, 0, 0, 195, 80649253, 163.217545, 136.315247, 3474671
89662, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 2645450, 84627805, 292.583618, 224.671631, 3564333
58038, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 119472, 82891335, 222.130188, 180.247009, 3622371
39985, 0, 0, 0, 0, 0, 0, 34169, 33976, 0, 0, 0, 687, 72140845, 168.195160, 118.555550, 3662356
51396, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 11071, 80932858, 228.478104, 138.261108, 3713752
61774, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 108013, 83487432, 212.452499, 188.258484, 3775526
60115, 0, 0, 0, 0, 0, 0, 34169, 34109, 0, 0, 0, 96866, 83267094, 239.809601, 187.001068, 3835641
49430, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 46537, 79499966, 273.224792, 114.894836, 3885071
134326, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 7766845, 84438671, 300.263641, 221.502960, 4019397
46250, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 2224, 78340834, 196.910477, 107.997246, 4065647
47933, 0, 0, 0, 0, 0, 0, 34169, 34119, 0, 0, 0, 981, 80173455, 203.142471, 123.035782, 4113580
55102, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 4569, 82228340, 222.559006, 167.876678, 4168682
58784, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 81493, 83394058, 251.740753, 186.172546, 4227466
63206, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 175186, 83586455, 222.408493, 191.371338, 4290672
54582, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 92033, 81672986, 267.057953, 151.143890, 4345254
48737, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 570, 80621523, 210.708603, 130.267105, 4393991
51900, 0, 0, 0, 0, 0, 0, 34169, 34059, 0, 0, 0, 637, 82328362, 192.692734, 169.752426, 4445891
54130, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 27085, 82406412, 245.501358, 164.245041, 4500021
123625, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 7254987, 84537264, 295.132355, 219.017151, 4623646
53637, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 2785, 82829897, 217.677872, 176.772247, 4677283
59124, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 100402, 83760910, 278.340149, 195.026550, 4736407
47791, 0, 0, 0, 0, 0, 0, 34169, 33696, 0, 0, 0, 4216, 80655343, 185.667633, 158.856476, 4784198
61570, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 173392, 82829135, 262.654114, 179.052505, 4845768
46980, 0, 0, 0, 0, 0, 0, 34169, 34001, 0, 0, 0, 1201, 79438390, 181.913010, 158.955872, 4892748
56582, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 30455, 82699041, 233.522079, 171.779510, 4949330
55082, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 17043, 83123933, 224.270721, 179.845016, 5004412
65788, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 434412, 83816226, 263.038696, 202.079788, 5070200
43102, 0, 0, 0, 0, 0, 0, 34169, 33012, 0, 0, 0, 1590, 76475681, 158.468369, 146.697952, 5113302
38943, 0, 0, 0, 0, 0, 0, 34169, 33488, 0, 0, 0, 112, 67959782, 154.254669, 76.439560, 5152245
60420, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 170271, 82678346, 279.108978, 174.935074, 5212665
53930, 0, 0, 0, 0, 0, 0, 34169, 34007, 0, 0, 0, 1117, 82124485, 189.264618, 165.860382, 5266595
67078, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 551060, 83239215, 282.979614, 184.345901, 5333673
47171, 0, 0, 0, 0, 0, 0, 34169, 33927, 0, 0, 0, 414, 80558780, 176.266785, 133.943024, 5380844
54722, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 19869, 82640922, 245.791946, 168.296204, 5435566
52968, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 8265, 82272439, 235.612854, 158.662659, 5488534
53999, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 12077, 81942142, 220.858276, 158.284973, 5542533
63932, 0, 0, 0, 0, 0, 0, 34169, 34079, 0, 0, 0, 331620, 83757133, 229.936844, 206.137054, 5606465
56673, 0, 0, 0, 0, 0, 0, 34169, 34121, 0, 0, 0, 58275, 81030182, 266.066956, 151.097610, 5663138
1639, 0, 0, 0, 0, 0, 0, 34169, 763, 0, 0, 0, 50, 960975, 45.974678, 43.724995, 5664777
54844, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 22192, 82840864, 271.702240, 172.809631, 5719621
62774, 0, 0, 0, 0, 0, 0, 34169, 34067, 0, 0, 0, 86150, 83969719, 202.941681, 202.941681, 5782395
49935, 0, 0, 0, 0, 0, 0, 34169, 34127, 0, 0, 0, 4711, 80921569, 225.058578, 136.343750, 5832330
58323.300000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 34169, 33373.700000, 0.000000, 0.000000, 0.000000, 451720.100000, 79856380.470000, 222.593323, 162.921053, 5832330.000000
