querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
103444, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 6671877, 35615094, 261.374878, 197.435654, 103444
19323, 0, 0, 0, 0, 0, 0, 13811, 13423, 0, 0, 0, 63, 30090734, 109.674217, 104.374054, 122767
25902, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 15416, 35536977, 234.889832, 180.244339, 148669
26887, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 28127, 35609790, 233.032730, 197.705124, 175556
19040, 0, 0, 0, 0, 0, 0, 13811, 13757, 0, 0, 0, 110, 35011318, 150.312317, 143.106445, 194596
166772, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 19023566, 35751554, 332.272064, 252.393997, 361368
27919, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 75241, 35371305, 271.722839, 161.773743, 389287
221611, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 22035861, 35759658, 295.834869, 255.999405, 610898
89772, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 8219167, 35675644, 297.297638, 226.760910, 700670
86337, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 9934982, 35411582, 200.013321, 149.130676, 787007
102585, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 10422344, 35532194, 235.697235, 177.441101, 889592
13271, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 31962, 14651122, 154.924591, 25.845432, 902863
283255, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 31033466, 35775620, 358.805908, 255.999298, 1186118
53496, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 3222539, 35703941, 278.197876, 226.074768, 1239614
20905, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 948, 35461539, 186.185135, 169.612061, 1260519
24165, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 36163, 35597062, 239.855515, 196.722870, 1284684
99152, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 9759982, 35759512, 279.620148, 250.125214, 1383836
21230, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 3825, 35534090, 210.331680, 180.750015, 1405066
149006, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 15022847, 35770905, 320.593323, 255.998138, 1554072
48465, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 2790691, 35699422, 238.229599, 226.219116, 1602537
