querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
71900, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 4146896, 4980013, 358.011383, 339.123413, 71900
1637, 0, 0, 0, 0, 0, 0, 1128, 276, 0, 0, 0, 14, 47514, 0.655206, 0.365176, 73537
58282, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 3732985, 4906385, 334.399445, 304.093292, 131819
2243, 0, 0, 0, 0, 0, 0, 1128, 276, 0, 0, 0, 1, 38353, 1.638407, 1.638407, 134062
24008, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 1295926, 3767888, 215.852890, 194.679367, 158070
17545, 0, 0, 0, 0, 0, 0, 1128, 1011, 0, 0, 0, 720665, 3518018, 191.787735, 187.058197, 175615
1967, 0, 0, 0, 0, 0, 0, 1128, 292, 0, 0, 0, 16, 44760, 4.338750, 3.834274, 177582
1967, 0, 0, 0, 0, 0, 0, 1128, 260, 0, 0, 0, 2, 36856, 1.939525, 1.939525, 179549
1823, 0, 0, 0, 0, 0, 0, 1128, 268, 0, 0, 0, 44, 38144, 1.046239, 0.892898, 181372
26298, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 1233245, 4883113, 311.548096, 251.283997, 207670
2124, 0, 0, 0, 0, 0, 0, 1128, 284, 0, 0, 0, 2, 65384, 1.697101, 1.697101, 209794
2016, 0, 0, 0, 0, 0, 0, 1128, 268, 0, 0, 0, 3, 31281, 0.119568, 0.119568, 211810
61581, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 3793676, 4975279, 340.882843, 322.906403, 273391
2315, 0, 0, 0, 0, 0, 0, 1128, 276, 0, 0, 0, 13, 111422, 3.684936, 3.514809, 275706
2556, 0, 0, 0, 0, 0, 0, 1128, 308, 0, 0, 0, 9, 289448, 7.109738, 6.178798, 278262
1854, 0, 0, 0, 0, 0, 0, 1128, 300, 0, 0, 0, 14, 185635, 4.848814, 4.848814, 280116
3456, 0, 0, 0, 0, 0, 0, 1128, 771, 0, 0, 0, 84, 1841511, 102.810837, 102.810837, 283572
3743, 0, 0, 0, 0, 0, 0, 1128, 340, 0, 0, 0, 27, 497986, 13.943946, 12.769118, 287315
24052, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 1051444, 4881772, 271.768250, 253.340530, 311367
2299, 0, 0, 0, 0, 0, 0, 1128, 292, 0, 0, 0, 1, 101938, 5.605164, 5.605164, 313666
1951, 0, 0, 0, 0, 0, 0, 1128, 276, 0, 0, 0, 23, 84899, 2.413368, 2.319895, 315617
13101, 0, 0, 0, 0, 0, 0, 1128, 1083, 0, 0, 0, 548335, 3149116, 219.243408, 151.521973, 328718
62903, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 3939968, 4993291, 372.191162, 338.448669, 391621
2105, 0, 0, 0, 0, 0, 0, 1128, 260, 0, 0, 0, 19, 33843, 1.670906, 1.670906, 393726
12030, 0, 0, 0, 0, 0, 0, 1128, 420, 0, 0, 0, 209166, 1130126, 112.728157, 108.396278, 405756
2265, 0, 0, 0, 0, 0, 0, 1128, 276, 0, 0, 0, 23, 47583, 0.887677, 0.887677, 408021
1779, 0, 0, 0, 0, 0, 0, 1128, 292, 0, 0, 0, 6, 113093, 5.915697, 5.915697, 409800
1748, 0, 0, 0, 0, 0, 0, 1128, 268, 0, 0, 0, 119, 41032, 0.362603, 0.362603, 411548
1270, 0, 0, 0, 0, 0, 0, 1128, 268, 0, 0, 0, 4, 23472, 0.480697, 0.480697, 412818
58582, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 3242904, 4993339, 347.777985, 325.659454, 471400
8740, 0, 0, 0, 0, 0, 0, 1128, 348, 0, 0, 0, 46860, 564522, 38.665005, 35.937550, 480140
6188, 0, 0, 0, 0, 0, 0, 1128, 612, 0, 0, 0, 7534, 1467499, 120.974510, 114.644341, 486328
5091, 0, 0, 0, 0, 0, 0, 1128, 835, 0, 0, 0, 30, 2680816, 115.778427, 115.778427, 491419
3061, 0, 0, 0, 0, 0, 0, 1128, 308, 0, 0, 0, 769, 98045, 19.180492, 18.711531, 494480
12063, 0, 0, 0, 0, 0, 0, 1128, 388, 0, 0, 0, 109832, 936411, 99.796188, 95.383003, 506543
12052, 0, 0, 0, 0, 0, 0, 1128, 364, 0, 0, 0, 46575, 690619, 18.398319, 17.472527, 518595
3593, 0, 0, 0, 0, 0, 0, 1128, 292, 0, 0, 0, 433, 90619, 1.711777, 1.470447, 522188
13909, 0, 0, 0, 0, 0, 0, 1128, 396, 0, 0, 0, 178740, 990960, 69.170433, 67.701973, 536097
1923, 0, 0, 0, 0, 0, 0, 1128, 276, 0, 0, 0, 112, 68750, 1.798468, 1.755522, 538020
1868, 0, 0, 0, 0, 0, 0, 1128, 308, 0, 0, 0, 46, 172986, 27.142735, 26.423361, 539888
73029, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 4999615, 4999682, 381.371918, 345.895233, 612917
4118, 0, 0, 0, 0, 0, 0, 1128, 452, 0, 0, 0, 16029, 827793, 64.435608, 53.962894, 617035
11683, 0, 0, 0, 0, 0, 0, 1128, 819, 0, 0, 0, 113548, 2240070, 135.252060, 126.116547, 628718
7736, 0, 0, 0, 0, 0, 0, 1128, 372, 0, 0, 0, 62499, 499736, 36.093689, 34.010883, 636454
53387, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 3339957, 4942085, 372.447144, 258.337555, 689841
66732, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 4459269, 4992272, 353.291229, 321.179871, 756573
36076, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 1971827, 4767995, 309.819824, 243.376450, 792649
9678, 0, 0, 0, 0, 0, 0, 1128, 971, 0, 0, 0, 34945, 3913201, 210.081512, 204.954391, 802327
73618, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 4991493, 4991510, 362.417297, 323.347076, 875945
