querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
74283, 0, 0, 0, 0, 0, 0, 1776, 1729, 0, 0, 0, 4129981, 4998081, 357.186920, 339.123413, 74283
1728, 0, 0, 0, 0, 0, 0, 1776, 262, 0, 0, 0, 19, 10865, 0.365176, 0.365176, 76011
58650, 0, 0, 0, 0, 0, 0, 1776, 1729, 0, 0, 0, 3572137, 4927992, 354.278442, 304.093292, 134661
1591, 0, 0, 0, 0, 0, 0, 1776, 262, 0, 0, 0, 11, 10436, 1.638407, 1.638407, 136252
22569, 0, 0, 0, 0, 0, 0, 1776, 1671, 0, 0, 0, 1203759, 3595268, 227.377075, 194.679367, 158821
18874, 0, 0, 0, 0, 0, 0, 1776, 1550, 0, 0, 0, 751097, 3340284, 210.345245, 187.058197, 177695
1161, 0, 0, 0, 0, 0, 0, 1776, 290, 0, 0, 0, 8, 17219, 3.834274, 3.834274, 178856
1296, 0, 0, 0, 0, 0, 0, 1776, 262, 0, 0, 0, 6, 21452, 1.939525, 1.939525, 180152
2447, 0, 0, 0, 0, 0, 0, 1776, 268, 0, 0, 0, 174, 40578, 0.892898, 0.892898, 182599
24580, 0, 0, 0, 0, 0, 0, 1776, 1729, 0, 0, 0, 1218233, 4845111, 323.156738, 251.283997, 207179
2748, 0, 0, 0, 0, 0, 0, 1776, 278, 0, 0, 0, 175, 44541, 1.697101, 1.697101, 209927
2362, 0, 0, 0, 0, 0, 0, 1776, 294, 0, 0, 0, 377, 85811, 0.164868, 0.119568, 212289
59375, 0, 0, 0, 0, 0, 0, 1776, 1729, 0, 0, 0, 3650148, 4996282, 330.504272, 322.906403, 271664
2334, 0, 0, 0, 0, 0, 0, 1776, 345, 0, 0, 0, 282, 154107, 3.684936, 3.514809, 273998
2591, 0, 0, 0, 0, 0, 0, 1776, 379, 0, 0, 0, 122, 298538, 7.634725, 6.178798, 276589
2806, 0, 0, 0, 0, 0, 0, 1776, 303, 0, 0, 0, 246, 159312, 4.848814, 4.848814, 279395
3655, 0, 0, 0, 0, 0, 0, 1776, 1074, 0, 0, 0, 23, 1928949, 102.810837, 102.810837, 283050
3651, 0, 0, 0, 0, 0, 0, 1776, 395, 0, 0, 0, 148, 382553, 13.873386, 12.769118, 286701
28378, 0, 0, 0, 0, 0, 0, 1776, 1729, 0, 0, 0, 1092839, 4871822, 298.859314, 253.340530, 315079
2971, 0, 0, 0, 0, 0, 0, 1776, 268, 0, 0, 0, 113, 75894, 5.605164, 5.605164, 318050
