querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
145299, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 6609352, 35793193, 261.374878, 197.435654, 145299
32139, 0, 0, 0, 0, 0, 0, 13811, 13423, 0, 0, 0, 48, 30956141, 109.674217, 104.374054, 177438
58321, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 19907, 35771302, 234.889832, 180.244339, 235759
67085, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 29641, 35812470, 233.032730, 197.705124, 302844
36427, 0, 0, 0, 0, 0, 0, 13811, 13757, 0, 0, 0, 98, 35206036, 150.312317, 143.106445, 339271
279403, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 19220317, 35845052, 332.272064, 252.393997, 618674
62938, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 78813, 35665539, 271.722839, 161.773743, 681612
296460, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 21068638, 35846590, 295.834869, 255.999405, 978072
144086, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 8636205, 35763141, 297.297638, 226.760910, 1122158
143486, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 10007513, 35740807, 200.013321, 149.130676, 1265644
158291, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 10843700, 35710464, 235.697235, 177.441101, 1423935
39344, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 29548, 17987318, 154.924591, 25.845432, 1463279
374297, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 30884521, 35850430, 358.805908, 255.999298, 1837576
101884, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 3313150, 35836871, 278.197876, 226.074768, 1939460
53855, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 613, 35707732, 186.185135, 169.612061, 1993315
64883, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 30785, 35798150, 239.855515, 196.722870, 2058198
149797, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 9798732, 35845914, 279.620148, 250.125214, 2207995
52143, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 4123, 35760374, 210.331680, 180.750015, 2260138
215869, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 15369251, 35847166, 320.593323, 255.998138, 2476007
92559, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 2606043, 35830902, 238.229599, 226.219116, 2568566
71272, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 220404, 35804877, 259.783508, 191.079590, 2639838
67004, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 45320, 35798396, 243.042770, 183.750427, 2706842
136129, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 6432465, 35824020, 318.490967, 191.238434, 2842971
48961, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 5063, 35719656, 233.326416, 169.300980, 2891932
46471, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 3705, 35404769, 174.551331, 147.729996, 2938403
16467, 0, 0, 0, 0, 0, 0, 13811, 10102, 0, 0, 0, 225, 14635648, 132.428787, 88.271446, 2954870
138010, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 7437100, 35847154, 257.420990, 237.982239, 3092880
51032, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 17256, 35681417, 235.521729, 162.195740, 3143912
66990, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 38413, 35787776, 238.404831, 173.879700, 3210902
98839, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 4029022, 35842546, 252.134674, 219.060059, 3309741
50366, 0, 0, 0, 0, 0, 0, 13811, 13743, 0, 0, 0, 176, 35449931, 174.843048, 174.843048, 3360107
234661, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 17689571, 35849210, 339.759094, 255.998871, 3594768
107145, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 4235072, 35834879, 244.663422, 230.416183, 3701913
157689, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 9240276, 35831475, 276.165161, 255.999191, 3859602
56698, 0, 0, 0, 0, 0, 0, 13811, 13714, 0, 0, 0, 15765, 35132993, 151.259476, 136.511703, 3916300
67616, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 110744, 35825244, 239.781219, 211.081268, 3983916
48850, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 4578, 35339105, 205.268082, 154.440582, 4032766
111572, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 5477962, 35322397, 218.896301, 178.396225, 4144338
34417, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 174, 33538725, 175.837784, 123.541138, 4178755
77776, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 1188883, 35808334, 227.343323, 202.385361, 4256531
59564, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 11064, 35768206, 248.695648, 172.721222, 4316095
158512, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 8910016, 35848120, 301.802368, 239.335861, 4474607
65474, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 10135, 35783619, 228.722214, 187.490829, 4540081
94330, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 2639268, 35837845, 283.842102, 216.625839, 4634411
154864, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 8465186, 35848426, 299.515259, 253.178970, 4789275
75067, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 293458, 35822215, 283.295990, 204.300858, 4864342
280210, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 21081288, 35841706, 346.493713, 255.997589, 5144552
69545, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 313461, 35745536, 283.384094, 167.752960, 5214097
70720, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 83227, 35665022, 202.457626, 133.815704, 5284817
72751, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 172350, 35813405, 254.966797, 187.660080, 5357568
63652, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 153414, 35801868, 278.238861, 198.576431, 5421220
47037, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 14013, 35484516, 223.709015, 130.333771, 5468257
56027, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 4867, 35591801, 173.535995, 163.139114, 5524284
62980, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 43557, 35708888, 252.118759, 165.903503, 5587264
92404, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 2284662, 35833744, 265.872253, 218.450836, 5679668
109990, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 3798004, 35768448, 270.005066, 165.466095, 5789658
53159, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 17763, 35757091, 241.569580, 169.437149, 5842817
56815, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 3956, 35351168, 202.678452, 156.284103, 5899632
58974, 0, 0, 0, 0, 0, 0, 13811, 13754, 0, 0, 0, 172, 32963290, 68.375870, 62.225811, 5958606
65232, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 118976, 35814657, 275.111877, 193.379730, 6023838
63468, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 258110, 35806746, 196.455002, 193.958160, 6087306
69977, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 129680, 35815952, 259.684509, 214.270874, 6157283
125783, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 7044952, 35842550, 308.679382, 225.187195, 6283066
49854, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 3210, 35599030, 200.566528, 155.138031, 6332920
167423, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 10707690, 35849493, 305.647888, 255.996674, 6500343
58480, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 2101, 34622315, 196.022369, 78.389557, 6558823
34225, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 545, 33306013, 193.998871, 113.621574, 6593048
69339, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 232373, 35817733, 280.247253, 197.244995, 6662387
55758, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 19963, 35728489, 246.489288, 169.189667, 6718145
182689, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 11626365, 35848515, 272.806122, 252.332520, 6900834
35103, 0, 0, 0, 0, 0, 0, 13811, 13757, 0, 0, 0, 79, 34251642, 144.869751, 122.196739, 6935937
77466, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 942216, 35811346, 241.591171, 204.020828, 7013403
51841, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 10529, 35727618, 216.745087, 166.732559, 7065244
95712, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 2771829, 35834172, 295.034668, 213.671967, 7160956
64773, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 45494, 35800541, 239.534286, 204.895477, 7225729
93163, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 2379658, 35834351, 233.479248, 224.813187, 7318892
52462, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 5935, 35665402, 224.852112, 160.445114, 7371354
274159, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 20180834, 35849703, 328.376587, 255.173920, 7645513
244910, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 17902887, 35849456, 347.058685, 255.994980, 7890423
118920, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 5414083, 35841659, 311.028168, 222.960693, 8009343
69421, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 306516, 35775525, 309.965942, 165.160995, 8078764
55363, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 12058, 35742385, 220.999954, 157.736328, 8134127
42623, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 1301, 35386395, 170.622009, 157.202621, 8176750
33346, 0, 0, 0, 0, 0, 0, 13811, 13738, 0, 0, 0, 1214, 33893834, 136.594147, 114.264801, 8210096
301612, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 24739845, 35850338, 334.831207, 255.997940, 8511708
35843, 0, 0, 0, 0, 0, 0, 13811, 13183, 0, 0, 0, 46522, 31782518, 105.602623, 96.261658, 8547551
95533, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 5092662, 35106307, 171.899536, 87.215500, 8643084
47874, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 7596, 35475777, 166.348434, 164.579025, 8690958
96330, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 3223304, 35823999, 308.128357, 212.936569, 8787288
358833, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 33235057, 35850416, 338.621033, 255.999832, 9146121
210951, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 14990054, 35847723, 324.769775, 255.999100, 9357072
92558, 0, 0, 0, 0, 0, 0, 13811, 13765, 0, 0, 0, 2961696, 35495915, 107.074547, 107.074547, 9449630
253608, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 18182203, 35847675, 298.272400, 255.998810, 9703238
163880, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 10975453, 35720725, 240.440002, 221.816986, 9867118
35787, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 2824, 35339226, 193.399872, 142.002380, 9902905
56817, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 1127, 35646449, 193.143936, 170.746017, 9959722
