querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
171073, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 10880, 99856225, 86.556778, 58.313072, 171073
151720, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 51398, 99855310, 96.694626, 50.527905, 322793
118878, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 52665, 98970745, 82.773972, 27.719852, 441671
77492, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 29144, 74968324, 85.016380, 18.846325, 519163
110508, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 38747, 99806037, 94.084480, 41.486568, 629671
64735, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 36182, 62674102, 87.428024, 17.505371, 694406
124501, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 32317, 99733255, 83.051964, 44.488045, 818907
59207, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 3211, 56778181, 83.980316, 13.696171, 878114
108164, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 21865, 99155131, 93.794662, 27.487129, 986278
134862, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 651, 99597306, 57.810627, 45.055252, 1121140
118250, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 35777, 98985915, 106.484306, 27.855703, 1239390
116480, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 75176, 99211247, 88.785484, 31.738077, 1355870
98399, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 30626, 89607566, 91.801849, 23.492710, 1454269
19192, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 88313, 11943444, 120.262589, 4.571397, 1473461
63263, 0, 0, 0, 0, 0, 0, 29697, 29604, 0, 0, 0, 17911, 53799305, 52.053543, 28.195803, 1536724
72271, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 17778, 70282735, 88.053391, 13.704042, 1608995
70172, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 6921, 65258010, 76.905052, 17.797745, 1679167
169806, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 10174, 99772901, 73.468407, 65.592468, 1848973
111389, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 47049, 99197293, 123.467743, 27.723686, 1960362
129948, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 20787, 99511188, 105.266647, 31.704725, 2090310
118081, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 30191, 99734256, 87.860947, 41.321342, 2208391
135424, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 37657, 98804220, 98.807945, 41.904877, 2343815
135677, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 40933, 99451794, 93.802750, 35.668541, 2479492
65087, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 12320, 60101527, 88.680298, 22.799049, 2544579
164339, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 88200, 99776717, 106.597939, 60.373016, 2708918
115151, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 6709, 96462916, 71.366241, 36.560379, 2824069
111774, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 11756, 99001791, 81.954704, 38.064644, 2935843
97153, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 24030, 95130099, 96.310219, 22.678827, 3032996
136546, 0, 0, 0, 0, 0, 0, 29697, 29660, 0, 0, 0, 20743, 99757196, 84.194489, 44.528969, 3169542
