querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
2973, 0, 0, 0, 0, 0, 0, 21220, 283, 0, 0, 0, 1, 4447, 0.000000, 0.000000, 2973
11858, 0, 0, 0, 0, 0, 0, 21220, 4123, 0, 0, 0, 42, 720635, 17.465837, 0.003883, 14831
8589, 0, 0, 0, 0, 0, 0, 21220, 4123, 0, 0, 0, 39, 680247, 17.446320, 0.015523, 23420
6329, 0, 0, 0, 0, 0, 0, 21220, 4123, 0, 0, 0, 41, 598246, 17.433861, 0.034906, 29749
5302, 0, 0, 0, 0, 0, 0, 21220, 4115, 0, 0, 0, 42, 579422, 17.428446, 0.062013, 35051
4957, 0, 0, 0, 0, 0, 0, 21220, 4115, 0, 0, 0, 37, 661572, 17.430061, 0.096824, 40008
4230, 0, 0, 0, 0, 0, 0, 21220, 4115, 0, 0, 0, 46, 562393, 17.438694, 0.139316, 44238
3893, 0, 0, 0, 0, 0, 0, 21220, 4123, 0, 0, 0, 43, 608492, 17.454315, 0.189462, 48131
3509, 0, 0, 0, 0, 0, 0, 21220, 4131, 0, 0, 0, 43, 610610, 17.476906, 0.247234, 51640
3450, 0, 0, 0, 0, 0, 0, 21220, 4139, 0, 0, 0, 41, 493110, 17.506445, 0.312600, 55090
3721, 0, 0, 0, 0, 0, 0, 21220, 4139, 0, 0, 0, 48, 639347, 17.542900, 0.385527, 58811
3677, 0, 0, 0, 0, 0, 0, 21220, 4139, 0, 0, 0, 50, 520390, 17.586245, 0.465978, 62488
3488, 0, 0, 0, 0, 0, 0, 21220, 4155, 0, 0, 0, 52, 607556, 17.636444, 0.553913, 65976
3695, 0, 0, 0, 0, 0, 0, 21220, 4155, 0, 0, 0, 53, 561628, 17.693462, 0.649291, 69671
3517, 0, 0, 0, 0, 0, 0, 21220, 4155, 0, 0, 0, 55, 699238, 17.757267, 0.752068, 73188
3799, 0, 0, 0, 0, 0, 0, 21220, 4163, 0, 0, 0, 56, 694254, 17.827820, 0.862197, 76987
3859, 0, 0, 0, 0, 0, 0, 21220, 4179, 0, 0, 0, 59, 731588, 17.905075, 0.979630, 80846
3641, 0, 0, 0, 0, 0, 0, 21220, 4219, 0, 0, 0, 62, 763281, 17.988991, 1.104315, 84487
3666, 0, 0, 0, 0, 0, 0, 21220, 4243, 0, 0, 0, 56, 740342, 18.079525, 1.236198, 88153
