querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
4403, 0, 0, 0, 0, 0, 0, 36844, 734, 0, 0, 0, 37, 742450, 7.589795, 6.812838, 4403
7304, 0, 0, 0, 0, 0, 0, 36844, 279, 0, 0, 0, 33, 49166, 1.347354, 1.293659, 11707
19778, 0, 0, 0, 0, 0, 0, 36844, 1376, 0, 0, 0, 767, 986758, 0.411729, 0.411729, 31485
37332, 0, 0, 0, 0, 0, 0, 36844, 2018, 0, 0, 0, 2878, 2168245, 0.765964, 0.550013, 68817
3807, 0, 0, 0, 0, 0, 0, 36844, 511, 0, 0, 0, 29, 316919, 1.929553, 1.692372, 72624
7979, 0, 0, 0, 0, 0, 0, 36844, 351, 0, 0, 0, 33, 187556, 0.407790, 0.407790, 80603
98392, 0, 0, 0, 0, 0, 0, 36844, 1806, 0, 0, 0, 5968, 1342256, 0.226137, 0.085353, 178995
18117, 0, 0, 0, 0, 0, 0, 36844, 589, 0, 0, 0, 444, 397728, 1.085684, 0.611919, 197112
16561, 0, 0, 0, 0, 0, 0, 36844, 1011, 0, 0, 0, 731, 674018, 0.447677, 0.404469, 213673
4075, 0, 0, 0, 0, 0, 0, 36844, 427, 0, 0, 0, 63, 279199, 11.225079, 11.225079, 217748
7967, 0, 0, 0, 0, 0, 0, 36844, 1231, 0, 0, 0, 242, 692861, 0.413171, 0.301291, 225715
5374, 0, 0, 0, 0, 0, 0, 36844, 435, 0, 0, 0, 268, 428282, 1.555297, 0.482695, 231089
8352, 0, 0, 0, 0, 0, 0, 36844, 775, 0, 0, 0, 316, 495116, 0.555291, 0.419714, 239441
20495, 0, 0, 0, 0, 0, 0, 36844, 586, 0, 0, 0, 1085, 645155, 0.353815, 0.116234, 259936
3422, 0, 0, 0, 0, 0, 0, 36844, 1133, 0, 0, 0, 60, 367000, 0.279175, 0.239017, 263358
12608, 0, 0, 0, 0, 0, 0, 36844, 736, 0, 0, 0, 582, 696390, 1.325828, 0.688139, 275966
3380, 0, 0, 0, 0, 0, 0, 36844, 685, 0, 0, 0, 97, 343239, 0.176631, 0.058809, 279346
6788, 0, 0, 0, 0, 0, 0, 36844, 802, 0, 0, 0, 116, 853577, 0.166407, 0.097089, 286134
8630, 0, 0, 0, 0, 0, 0, 36844, 558, 0, 0, 0, 119, 296028, 0.210868, 0.207114, 294764
5235, 0, 0, 0, 0, 0, 0, 36844, 570, 0, 0, 0, 187, 432679, 0.385891, 0.282896, 299999
10458, 0, 0, 0, 0, 0, 0, 36844, 1180, 0, 0, 0, 408, 536233, 0.290489, 0.156645, 310457
3169, 0, 0, 0, 0, 0, 0, 36844, 430, 0, 0, 0, 8, 188883, 0.741146, 0.741146, 313626
