querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
8802, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 48961, 568703, 258.584198, 252.075409, 8802
19151, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 570113, 578840, 356.840057, 305.809326, 27953
7481, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 94216, 576802, 289.379425, 257.408691, 35434
5943, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 48109, 572786, 257.914490, 227.161224, 41377
5523, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 37977, 572784, 254.796448, 252.694443, 46900
4672, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 17724, 570725, 259.693909, 239.022842, 51572
17081, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 548660, 578839, 364.658691, 330.186005, 68653
16742, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 535689, 578837, 370.574036, 295.016541, 85395
4974, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 9865, 566400, 231.599518, 231.599518, 90369
5122, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 36976, 577797, 289.835449, 255.593018, 95491
17671, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 567338, 578839, 367.796265, 332.273438, 113162
5808, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 12183, 555929, 219.572052, 219.572052, 118970
16636, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 446452, 578837, 343.863464, 270.149384, 135606
17410, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 578853, 578853, 364.843323, 354.312683, 153016
9302, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 135897, 578828, 302.205627, 284.677368, 162318
12866, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 306833, 578833, 328.625763, 304.460144, 175184
4427, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 11850, 569345, 222.469269, 185.877975, 179611
3347, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 28424, 576713, 290.386475, 261.093567, 182958
5579, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 23916, 569216, 279.192535, 184.020081, 188537
6798, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 85602, 578831, 300.376495, 274.723969, 195335
5031, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 26424, 575764, 280.793579, 258.643982, 200366
5003, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 27397, 576773, 275.879150, 242.973755, 205369
5761, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 55088, 578828, 325.897583, 244.364624, 211130
4053, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 11937, 566495, 250.209015, 212.744431, 215183
16231, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 577546, 578842, 336.467499, 336.467499, 231414
9655, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 148865, 578837, 299.803467, 298.238678, 241069
8533, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 9227, 570022, 244.704987, 207.232254, 249602
7076, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 92634, 578828, 332.560822, 283.994263, 256678
6173, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 67097, 577788, 278.813965, 226.505020, 262851
4091, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 8804, 567212, 237.165253, 210.800095, 266942
3567, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 7277, 566377, 253.333649, 219.827911, 270509
4399, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 24077, 569512, 238.040848, 238.040848, 274908
4861, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 44771, 578828, 302.869873, 265.024353, 279769
7573, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 127812, 571286, 264.025208, 264.025208, 287342
2522, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 301, 392883, 144.687119, 137.577911, 289864
4543, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 2157, 105199, 56.780586, 56.780586, 294407
2736, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 90, 513401, 183.246552, 183.246552, 297143
14751, 0, 0, 0, 0, 0, 0, 197, 172, 0, 0, 0, 561878, 578839, 360.740234, 320.937561, 311894
