querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
22799, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 8, 58580, 180.068695, 160.474457, 22799
3455, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 5, 58585, 145.558014, 140.200012, 26254
2153, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 1, 4283, 8.134409, 8.134409, 28407
1620, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 1, 1424, 6.328070, 6.328070, 30027
3997, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 3, 58852, 155.783188, 107.638672, 34024
1529, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 5, 2633, 29.842979, 29.842979, 35553
1417, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 1, 2633, 11.716393, 11.716393, 36970
1443, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 8, 2633, 9.954462, 9.954462, 38413
2262, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 1, 54949, 64.074570, 64.074570, 40675
1456, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 5, 1486, 10.271837, 10.271837, 42131
1397, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 3, 2675, 25.018692, 25.018692, 43528
2719, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 4, 57290, 119.042511, 102.369072, 46247
2432, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 5, 57195, 127.930077, 121.175705, 48679
1658, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 2, 29159, 73.848831, 73.848831, 50337
2347, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 8, 58793, 173.896805, 127.825333, 52684
1490, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 1, 4283, 7.556456, 7.556456, 54174
1337, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 1, 1424, 1.750371, 1.750371, 55511
2895, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 5, 57422, 190.982849, 145.661316, 58406
2158, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 3, 55688, 105.415886, 105.415886, 60564
2742, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 5, 54033, 172.468964, 158.617157, 63306
1819, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 3, 57077, 133.686996, 133.686996, 65125
2110, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 4, 56936, 126.150261, 101.880661, 67235
2056, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 4, 56924, 125.038986, 125.038986, 69291
1925, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 4, 58592, 142.428589, 142.428589, 71216
2834, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 14, 57410, 180.111801, 108.611481, 74050
2649, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 7, 58706, 156.016769, 102.284157, 76699
1384, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 2, 1486, 3.007715, 3.007715, 78083
2282, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 18, 58421, 135.470551, 135.470551, 80365
1340, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 2, 8337, 34.015839, 34.015839, 81705
2043, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 5, 55091, 74.786240, 74.786240, 83748
1914, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 7, 43870, 84.753769, 84.753769, 85662
1302, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 2, 5707, 12.021811, 12.021811, 86964
1329, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 11, 1486, 1.861399, 1.861399, 88293
1327, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 9, 5573, 30.488173, 30.488173, 89620
1381, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 3, 5573, 30.015631, 30.015631, 91001
2748, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 12, 60286, 185.140625, 133.739029, 93749
1588, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 8, 16420, 43.784389, 40.502659, 95337
1961, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 4, 56309, 111.958939, 81.870438, 97298
2669, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 13, 58504, 182.806335, 76.576378, 99967
1239, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 2, 13776, 62.829517, 62.829517, 101206
2634, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 18, 58857, 175.623459, 69.948853, 103840
1987, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 1, 58867, 206.932327, 206.932327, 105827
1579, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 1, 4283, 6.080229, 6.080229, 107406
2621, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 17, 57657, 211.271484, 118.657875, 110027
2554, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 7, 58833, 138.749329, 109.988235, 112581
2228, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 7, 58867, 206.187408, 205.662186, 114809
1550, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 7, 8320, 28.794239, 26.828445, 116359
1311, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 4, 1486, 7.392575, 7.392575, 117670
1307, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 3, 1486, 7.952715, 7.952715, 118977
2108, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 4, 59850, 179.253540, 168.719696, 121085
1308, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 2, 2675, 2.912157, 2.912157, 122393
1344, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 4, 5707, 21.497225, 21.497225, 123737
1286, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 3, 5707, 50.463993, 50.463993, 125023
1306, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 4, 1486, 4.195183, 4.195183, 126329
1276, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 1, 1424, 5.618197, 5.618197, 127605
1293, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 5, 2633, 7.487675, 7.487675, 128898
1841, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 1, 22023, 79.015854, 79.015854, 130739
1337, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 1, 4087, 5.449316, 5.449316, 132076
1289, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 1, 1424, 2.099312, 2.099312, 133365
1300, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 1, 1424, 2.960320, 2.960320, 134665
8635522, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 37284970, 37344885, 254.401398, 221.596924, 8770187
4783, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 1, 47042, 41.022179, 41.022179, 8774970
4710, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 1, 17170, 36.958199, 36.958199, 8779680
3468, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 7, 58818, 147.084564, 87.935196, 8783148
2842, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 1, 5573, 6.790059, 6.790059, 8785990
3122, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 5, 51868, 111.233170, 104.056076, 8789112
2079, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 1, 1486, 3.428796, 3.428796, 8791191
3042, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 2, 57278, 138.741364, 131.509552, 8794233
11938026, 0, 0, 0, 0, 0, 0, 81, 68, 0, 0, 0, 37284982, 37343827, 267.059998, 157.545837, 20732259
