querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
18602, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 3, 62994, 158.258011, 158.258011, 18602
3869, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 7, 86917, 200.822662, 181.711304, 22471
3456, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 6, 51326, 103.055595, 85.829346, 25927
3477, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 2, 53817, 101.962410, 101.962410, 29404
3901, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 4, 63536, 153.505920, 147.802338, 33305
3930, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 4, 61219, 193.552612, 183.378067, 37235
1904, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 6, 49129, 91.945015, 91.945015, 39139
1914, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 10, 60689, 164.944885, 135.380249, 41053
1901, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 7, 48410, 94.322311, 93.383339, 42954
2162, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 21, 64367, 182.048187, 143.090012, 45116
1786, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 5, 57562, 124.896606, 53.414459, 46902
1847, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 2, 26303, 44.603931, 44.603931, 48749
2595, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 9, 84779, 161.548401, 146.280670, 51344
2327, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 6, 74625, 182.686462, 116.066116, 53671
1867, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 7, 53206, 93.357925, 92.917747, 55538
2000, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 3, 56122, 111.920456, 111.920456, 57538
1982, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 5, 80042, 194.605789, 194.605789, 59520
1950, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 1, 54260, 111.665489, 111.665489, 61470
3383, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 4, 54878, 100.937393, 100.937393, 64853
1835, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 4, 60240, 100.603920, 100.603920, 66688
1744, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 2, 35496, 66.711548, 66.711548, 68432
2038, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 10, 46353, 80.351349, 80.351349, 70470
1882, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 7, 59552, 155.453400, 147.360214, 72352
1804, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 3, 55420, 91.316200, 91.316200, 74156
1839, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 6, 42770, 64.163742, 52.865437, 75995
1519, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 1, 20065, 34.020420, 34.020420, 77514
1505, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 2, 20321, 35.388451, 31.527187, 79019
1918, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 11, 52008, 99.781525, 75.281059, 80937
2727, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 6, 51627, 97.530571, 81.051636, 83664
1821, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 4, 57922, 127.326118, 127.326118, 85485
1999, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 7, 40507, 63.163536, 63.163536, 87484
1803, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 1, 71551, 113.241653, 113.241653, 89287
2472, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 12, 44477, 80.414719, 68.065414, 91759
2997, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 5, 61613, 167.773102, 144.007919, 94756
1887, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 6, 57926, 123.097992, 114.220665, 96643
2219, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 6, 57319, 132.838913, 132.838913, 98862
1586, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 16, 62664, 164.483215, 147.053467, 100448
1593, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 5, 49516, 91.486015, 76.447418, 102041
1867, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 1, 41340, 70.421349, 70.421349, 103908
1292, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 3, 19690, 21.959925, 21.959925, 105200
1887, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 5, 62144, 164.505310, 161.175446, 107087
1944, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 4, 49623, 79.465179, 75.852371, 109031
1670, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 6, 32199, 41.241043, 41.097656, 110701
2030, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 12, 71014, 142.621902, 125.284988, 112731
2014, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 6, 58844, 132.478882, 117.264259, 114745
1820, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 9, 72763, 139.189789, 131.785400, 116565
1964, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 5, 32858, 62.574039, 59.948273, 118529
1623, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 8, 26961, 23.911346, 22.664764, 120152
2647, 0, 0, 0, 0, 0, 0, 86, 69, 0, 0, 0, 14, 64530, 182.503082, 148.833740, 122799
